season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,window_size,kernel_size,num_filters,num_dense,conv_activation,dense_activation,drop_low_playtime,low_playtime_cutoff,optimizer,learning_rate,loss,metrics,regularization,early_stopping,tolerance,patience,standardize
"['2020-21', '2021-22']",GK,7.75014591217041,6.163150310516357,7.635606288909912,2.2258803844451904,1.9805067777633667,2.1792409420013428,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.2249932289123535,8.627771377563477,7.838789463043213,1.841152310371399,2.2540786266326904,2.0040502548217773,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.414943695068359,7.502594947814941,6.586426734924316,2.1621572971343994,2.0963447093963623,2.0213444232940674,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.122135162353516,7.065230846405029,8.6151704788208,2.1072168350219727,2.0724425315856934,2.1752474308013916,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.263406753540039,6.664995193481445,8.735031127929688,2.1296708583831787,1.8787426948547363,2.3071537017822266,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.935744285583496,7.088660717010498,7.927790641784668,1.9904128313064575,1.9713819026947021,2.0613842010498047,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.65434455871582,7.655154705047607,8.214120864868164,1.9446570873260498,2.1649534702301025,2.191851854324341,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.052353382110596,7.163276672363281,9.03084945678711,2.143653154373169,1.9936217069625854,2.465684413909912,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.133562088012695,8.004254341125488,7.089103698730469,2.0405149459838867,2.2420260906219482,2.1000401973724365,False,3,1,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.129638671875,7.333011150360107,7.072795867919922,2.0494327545166016,2.190938949584961,1.9899169206619263,False,3,1,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.345335483551025,7.347058296203613,8.136322021484375,2.2013211250305176,2.1298840045928955,2.221600294113159,False,3,1,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.897241592407227,5.641417503356934,7.780763149261475,2.0862157344818115,1.6760050058364868,2.013981342315674,False,3,1,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.531766414642334,6.0798540115356445,8.407387733459473,2.080188274383545,1.8140535354614258,2.1430938243865967,False,3,1,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.683125972747803,6.360945701599121,6.90851354598999,2.0087952613830566,1.842678427696228,1.9944159984588623,False,3,1,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.856601238250732,7.792346000671387,8.313112258911133,1.8631892204284668,1.8957806825637817,2.0659124851226807,False,3,1,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.685794353485107,8.339347839355469,7.823314189910889,1.8649193048477173,2.2103793621063232,2.0419745445251465,False,3,1,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.328892707824707,8.086892127990723,6.54892110824585,2.2095284461975098,2.292245626449585,1.9002383947372437,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.223104000091553,6.690011501312256,7.141008377075195,2.021489381790161,1.8585716485977173,2.034611225128174,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,5.896912574768066,8.721357345581055,7.836952209472656,1.7452740669250488,2.167588949203491,2.077700138092041,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.488682270050049,8.784005165100098,7.4526143074035645,1.9403995275497437,2.220536947250366,2.1004648208618164,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.029524326324463,7.7732625007629395,7.5462141036987305,1.8969634771347046,2.0936954021453857,1.993500828742981,False,3,2,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.912372589111328,8.178125381469727,6.470707893371582,2.0657198429107666,2.2478489875793457,1.8744239807128906,False,3,2,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
