season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,window_size,kernel_size,num_filters,num_dense,conv_activation,dense_activation,drop_low_playtime,low_playtime_cutoff,optimizer,learning_rate,loss,metrics,regularization,early_stopping,tolerance,patience,standardize,amt_num_features
"['2020-21', '2021-22']",GK,3.2235543727874756,1.7027760744094849,2.5744194984436035,0.8588021993637085,0.4964377284049988,0.6704383492469788,False,3,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.906639099121094,7.993551731109619,6.701751708984375,1.9056769609451294,2.2035255432128906,1.7925251722335815,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,3.2865498065948486,1.778424620628357,2.177358627319336,0.9265896677970886,0.5253971219062805,0.6971718668937683,False,3,2,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.965346813201904,7.507767677307129,7.612298488616943,1.9000248908996582,1.981732726097107,2.132873296737671,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.660658597946167,3.829055070877075,2.072895050048828,1.0489681959152222,1.2995355129241943,0.950105607509613,False,6,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.882271766662598,8.411086082458496,6.758452415466309,2.007918357849121,2.1320137977600098,2.0440194606781006,False,6,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,1.7387884855270386,4.615135192871094,3.376237154006958,0.5102554559707642,1.2139573097229004,0.8567342162132263,False,6,2,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.65318489074707,8.628484725952148,7.2664794921875,1.9235599040985107,2.333232879638672,2.057671070098877,False,6,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.7159535884857178,2.9371135234832764,2.5698466300964355,0.8299464583396912,0.8363763093948364,0.8447333574295044,False,6,3,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.897761821746826,8.088269233703613,6.053677082061768,2.001772165298462,2.193275213241577,1.7458202838897705,False,6,3,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.4658920764923096,2.591092348098755,3.6447856426239014,0.7902523279190063,0.7968730926513672,1.0190097093582153,False,6,4,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.077896595001221,8.59531307220459,7.570189476013184,1.7559716701507568,2.203798532485962,1.9632744789123535,False,6,4,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,3.0811545848846436,2.412914752960205,2.4565086364746094,0.9900234937667847,0.8644933104515076,0.9290885925292969,False,9,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.678387641906738,7.766232967376709,8.336304664611816,1.906760811805725,1.9907037019729614,2.234023332595825,False,9,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.917815923690796,2.0888540744781494,3.1183831691741943,0.8597055077552795,0.6036631464958191,0.8273599743843079,False,9,2,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,5.800421714782715,7.68933629989624,10.3323335647583,1.7422661781311035,2.047943592071533,2.4366567134857178,False,9,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,3.264033079147339,1.4727669954299927,3.0870754718780518,1.099921464920044,0.6773864030838013,0.9963287115097046,False,9,3,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.243398666381836,8.809367179870605,7.68178653717041,1.7173681259155273,2.2822489738464355,1.893383502960205,False,9,3,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.537189483642578,2.039834976196289,4.577071666717529,0.8369218111038208,0.6808186769485474,1.2227410078048706,False,9,4,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,5.94697904586792,9.948780059814453,7.576194763183594,1.8296782970428467,2.430187225341797,1.958370327949524,False,9,4,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,4.728464603424072,4.551486492156982,5.196026802062988,1.2936204671859741,1.2492685317993164,1.3989412784576416,False,3,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
