name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Andrew Robertson,DEF,Liverpool,Leeds,90,0,1,3,0,20,0,0,0,0,0,0,4.7,23.4,19.6,4.0,True,4,3.0,3.0,0.0
Andrew Robertson,DEF,Liverpool,Chelsea,90,0,0,0,1,26,0,0,0,0,0,0,5.1,10.6,14.3,26.0,False,6,3.0,4.0,-1.0
Andrew Robertson,DEF,Liverpool,Arsenal,90,1,0,1,0,29,0,0,0,0,0,0,9.6,41.0,31.5,23.0,True,10,3.0,4.0,-1.0
Andrew Robertson,DEF,Liverpool,Aston Villa,90,0,0,7,0,13,0,0,0,0,0,0,8.3,24.4,27.2,31.0,False,-1,3.0,3.0,0.0
Andrew Robertson,DEF,Liverpool,Everton,90,0,1,2,0,33,0,0,0,0,0,0,8.6,35.0,43.4,8.0,False,6,3.0,3.0,0.0
Andrew Robertson,DEF,Liverpool,Sheffield Utd,90,0,0,1,0,16,0,0,0,0,0,0,6.7,18.2,26.4,22.0,True,2,3.0,2.0,1.0
Andrew Robertson,DEF,Liverpool,West Ham,90,0,0,1,0,11,0,0,0,0,0,0,2.9,8.6,10.2,10.0,True,2,3.0,4.0,-1.0
Andrew Robertson,DEF,Liverpool,Man City,90,0,0,1,0,13,0,0,0,0,0,0,2.5,8.4,12.3,4.0,False,2,3.0,5.0,-2.0
Andrew Robertson,DEF,Liverpool,Leicester,90,0,1,0,1,45,0,0,0,0,0,0,8.6,33.8,49.3,3.0,True,12,3.0,4.0,-1.0
Andrew Robertson,DEF,Liverpool,Brighton,90,0,0,1,0,14,0,0,0,0,0,0,3.9,17.4,19.5,2.0,False,2,3.0,3.0,0.0
Andrew Robertson,DEF,Liverpool,Wolves,90,0,0,0,1,24,0,0,0,0,0,0,5.9,19.8,31.3,8.0,True,6,3.0,3.0,0.0
Andrew Robertson,DEF,Liverpool,Fulham,90,0,0,1,0,17,0,0,0,0,0,0,5.2,15.2,29.0,8.0,False,2,3.0,2.0,1.0
Andrew Robertson,DEF,Liverpool,Spurs,90,0,1,1,0,25,0,0,0,0,0,0,10.5,36.4,62.7,6.0,True,5,3.0,4.0,-1.0
Andrew Robertson,DEF,Liverpool,Crystal Palace,90,0,1,0,1,50,0,0,0,0,0,0,9.6,41.4,54.4,0.0,False,10,3.0,3.0,0.0
Andrew Robertson,DEF,Liverpool,West Brom,90,0,0,1,0,11,0,0,0,0,0,0,5.0,11.6,32.4,6.0,True,2,3.0,2.0,1.0
Andrew Robertson,DEF,Liverpool,Newcastle,90,0,0,0,1,33,0,0,0,0,0,0,6.7,19.2,45.4,2.0,False,9,3.0,2.0,1.0
Andrew Robertson,DEF,Liverpool,Southampton,90,0,0,1,0,16,1,0,0,0,0,0,10.1,20.4,66.2,14.0,False,1,3.0,2.0,1.0
Andrew Robertson,DEF,Liverpool,Man Utd,90,0,0,0,1,28,0,0,0,0,0,0,5.2,11.6,34.3,6.0,True,6,3.0,4.0,-1.0
Andrew Robertson,DEF,Liverpool,Burnley,90,0,0,1,0,14,0,0,0,0,0,0,8.8,14.0,38.6,35.0,True,2,3.0,2.0,1.0
Andrew Robertson,DEF,Liverpool,Spurs,90,0,0,1,0,16,0,0,0,0,0,0,2.6,10.2,15.8,0.0,False,2,3.0,4.0,-1.0
Andrew Robertson,DEF,Liverpool,West Ham,90,0,0,1,0,13,0,0,0,0,0,0,2.8,18.8,7.2,2.0,False,2,3.0,4.0,-1.0
