name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
César Azpilicueta,DEF,Chelsea,Brighton,5,0,0,0,0,3,0,0,0,0,0,0,0.3,0.4,0.5,2.0,False,1,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,West Brom,45,0,1,0,0,18,0,0,0,0,0,0,5.4,29.4,13.7,11.0,False,4,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Crystal Palace,90,0,0,0,1,17,1,0,0,0,0,0,4.2,7.6,16.0,18.0,True,5,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,Southampton,90,0,0,3,0,10,0,0,0,0,0,0,2.7,18.0,7.0,2.0,True,1,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Man Utd,90,0,0,0,1,24,0,0,0,0,0,0,1.8,16.4,2.0,0.0,False,6,4.0,4.0,0.0
César Azpilicueta,DEF,Chelsea,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
César Azpilicueta,DEF,Chelsea,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,West Ham,90,0,0,0,1,32,0,0,0,0,0,0,3.4,28.6,3.5,2.0,True,7,4.0,4.0,0.0
César Azpilicueta,DEF,Chelsea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
César Azpilicueta,DEF,Chelsea,Aston Villa,90,0,0,1,0,8,1,0,0,0,0,0,4.3,17.4,25.9,0.0,True,1,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,Man City,90,0,0,3,0,16,0,0,0,0,0,0,5.4,18.0,17.3,19.0,True,1,4.0,5.0,-1.0
César Azpilicueta,DEF,Chelsea,Fulham,90,0,0,0,1,18,1,0,0,0,0,0,4.6,12.6,17.2,16.0,False,5,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
César Azpilicueta,DEF,Chelsea,Wolves,90,0,0,0,1,28,0,0,0,0,0,0,5.1,19.2,29.3,2.0,True,7,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,Burnley,90,1,0,0,1,42,0,0,0,0,0,0,8.8,49.8,18.7,19.0,True,15,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Spurs,90,0,0,0,1,22,1,0,0,0,0,0,2.8,8.0,14.2,6.0,False,5,4.0,4.0,0.0
César Azpilicueta,DEF,Chelsea,Sheffield Utd,90,0,0,1,0,14,0,0,0,0,0,0,3.7,15.0,14.3,8.0,False,2,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Newcastle,90,0,0,0,1,24,0,0,0,0,0,0,5.5,23.2,11.9,20.0,True,6,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Southampton,90,0,0,1,0,17,0,0,0,0,0,0,2.2,19.6,2.4,0.0,False,3,4.0,2.0,2.0
César Azpilicueta,DEF,Chelsea,Man Utd,90,0,0,0,1,29,0,0,0,0,0,0,5.0,30.0,13.4,7.0,True,6,4.0,4.0,0.0
César Azpilicueta,DEF,Chelsea,Liverpool,90,0,0,0,1,30,0,0,0,0,0,0,4.8,22.2,24.4,1.0,False,7,4.0,3.0,1.0
César Azpilicueta,DEF,Chelsea,Everton,90,0,0,0,1,30,0,0,0,0,0,0,4.9,23.4,26.0,0.0,True,9,4.0,3.0,1.0
