name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jamal Lewis,DEF,Newcastle,West Ham,90,0,0,0,1,31,0,0,0,0,0,0,5.9,19.4,39.8,0.0,False,7,2.0,4.0,-2.0
Jamal Lewis,DEF,Newcastle,Brighton,90,0,0,3,0,3,1,0,0,0,0,0,0.3,2.0,1.2,0.0,True,0,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Spurs,21,0,0,0,0,-1,1,0,0,0,0,0,0.0,0.0,0.2,0.0,False,0,2.0,4.0,-2.0
Jamal Lewis,DEF,Newcastle,Burnley,90,0,0,1,0,1,1,0,0,0,0,0,0.5,0.0,1.6,4.0,True,1,2.0,2.0,0.0
Jamal Lewis,DEF,Newcastle,Man Utd,90,0,0,4,0,12,0,0,0,0,0,0,4.7,23.0,22.3,2.0,True,0,2.0,4.0,-2.0
Jamal Lewis,DEF,Newcastle,Wolves,90,0,0,1,0,14,0,0,0,0,0,0,2.4,17.8,5.7,0.0,False,2,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Everton,90,0,0,1,0,18,0,0,0,0,0,0,3.2,16.4,15.8,0.0,True,2,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Southampton,90,0,0,2,0,22,0,0,0,0,0,0,5.1,20.8,29.7,0.0,False,1,2.0,2.0,0.0
Jamal Lewis,DEF,Newcastle,Chelsea,90,0,0,2,0,5,0,0,0,0,0,0,1.7,11.8,5.0,0.0,True,1,2.0,4.0,-2.0
Jamal Lewis,DEF,Newcastle,Crystal Palace,90,0,0,0,1,23,0,0,0,0,0,0,5.6,22.6,26.0,7.0,False,6,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,West Brom,68,0,0,1,0,1,1,0,0,0,0,0,0.9,8.2,1.0,0.0,True,1,2.0,2.0,0.0
Jamal Lewis,DEF,Newcastle,Leeds,90,0,0,5,0,9,0,0,0,0,0,0,1.2,9.6,0.7,2.0,False,0,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jamal Lewis,DEF,Newcastle,Man City,24,0,0,0,0,4,0,0,0,0,0,0,0.3,1.8,0.8,0.0,False,1,2.0,5.0,-3.0
Jamal Lewis,DEF,Newcastle,Liverpool,4,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Jamal Lewis,DEF,Newcastle,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jamal Lewis,DEF,Newcastle,Arsenal,90,0,0,3,0,6,0,0,0,0,0,0,1.0,9.2,1.0,0.0,False,1,2.0,4.0,-2.0
Jamal Lewis,DEF,Newcastle,Aston Villa,90,0,0,2,0,2,0,0,0,0,0,0,0.3,0.0,1.1,4.0,False,1,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Leeds,90,0,0,2,0,11,0,0,0,0,0,0,3.0,14.2,11.7,4.0,True,1,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Everton,90,0,1,0,1,40,0,0,0,0,0,0,4.6,27.0,16.7,2.0,False,11,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Crystal Palace,90,0,0,2,0,15,0,0,0,0,0,0,4.6,17.6,28.6,0.0,True,1,2.0,3.0,-1.0
Jamal Lewis,DEF,Newcastle,Southampton,90,0,0,2,0,15,0,0,0,0,0,0,1.5,14.2,0.5,0.0,True,1,2.0,2.0,0.0
Jamal Lewis,DEF,Newcastle,Chelsea,90,0,0,2,0,6,0,0,0,0,0,0,3.0,16.6,11.6,2.0,False,1,2.0,4.0,-2.0
