name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jan Bednarek,DEF,Southampton,Crystal Palace,45,0,0,1,0,11,0,0,0,0,0,0,1.0,8.8,1.3,0.0,False,1,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Spurs,90,0,0,5,0,13,0,0,0,0,0,0,1.4,12.4,1.5,0.0,True,0,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Burnley,90,0,0,0,1,28,0,0,0,0,0,0,3.0,25.8,0.1,4.0,False,8,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,West Brom,90,0,0,0,1,25,0,0,0,0,0,0,2.8,10.4,0.7,17.0,True,6,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,Chelsea,90,0,0,3,0,12,0,0,0,0,0,0,2.3,12.4,10.8,0.0,False,1,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Everton,90,0,0,0,1,27,0,0,0,0,0,0,2.1,18.6,0.0,2.0,True,6,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Aston Villa,45,0,0,0,0,6,0,0,0,0,0,0,1.0,10.4,0.0,0.0,False,1,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Newcastle,90,0,0,0,1,25,0,0,0,0,0,0,5.2,16.8,0.2,35.0,True,6,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,Wolves,90,0,0,1,0,15,0,0,0,0,0,0,2.1,21.2,0.2,0.0,False,2,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Man Utd,90,1,0,3,0,28,0,0,0,0,0,0,9.4,60.4,0.4,33.0,True,8,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Brighton,90,0,0,1,0,16,0,0,0,0,0,0,1.4,13.6,0.5,0.0,False,2,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Sheffield Utd,90,0,1,0,1,43,0,0,0,0,0,0,5.6,41.0,10.8,4.0,True,12,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,Arsenal,90,0,0,1,0,14,1,0,0,0,0,0,2.4,21.8,1.9,0.0,False,1,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Man City,90,0,0,1,0,14,0,0,0,0,0,0,0.9,8.0,1.0,0.0,True,2,2.0,5.0,-3.0
Jan Bednarek,DEF,Southampton,Fulham,90,0,0,0,1,27,0,0,0,0,0,0,3.4,33.4,0.5,0.0,False,9,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,West Ham,90,0,0,0,1,26,0,0,0,0,0,0,2.7,15.4,11.3,0.0,True,7,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Liverpool,90,0,0,0,1,29,0,0,0,0,0,0,2.3,23.0,0.0,0.0,True,7,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Leicester,90,0,0,2,0,13,0,0,0,0,0,0,2.4,22.8,0.8,0.0,False,1,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Arsenal,90,0,0,3,0,11,0,0,0,0,0,0,1.8,17.0,0.7,0.0,True,1,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Aston Villa,90,0,0,1,0,14,0,0,0,0,0,0,4.9,14.4,0.3,34.0,True,2,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Man Utd,85,0,0,9,0,-5,0,1,1,0,0,0,0.4,4.4,0.0,0.0,False,-7,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Newcastle,90,0,0,3,0,10,1,0,0,0,0,0,1.5,9.0,2.0,4.0,False,0,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,Wolves,90,0,0,2,0,9,1,0,0,0,0,0,1.5,14.2,0.3,0.0,True,0,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Chelsea,90,0,0,1,0,8,0,0,0,0,0,0,1.7,12.8,0.5,4.0,True,2,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Leeds,90,0,0,3,0,19,0,0,0,0,0,0,2.7,14.0,11.4,2.0,False,1,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Everton,90,0,0,1,0,15,0,0,0,0,0,0,3.3,32.0,1.2,0.0,False,2,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Sheffield Utd,90,0,0,0,1,23,0,0,0,0,0,0,2.7,26.8,0.4,0.0,False,6,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,Man City,90,0,0,5,0,17,0,0,0,0,0,0,2.3,22.0,0.9,0.0,False,0,2.0,5.0,-3.0
Jan Bednarek,DEF,Southampton,Brighton,90,0,0,2,0,12,0,0,0,0,0,0,2.1,17.4,1.4,2.0,True,1,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Burnley,90,0,0,2,0,17,0,0,0,0,0,0,4.4,27.0,10.8,6.0,True,1,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,West Brom,90,0,0,3,0,11,0,0,0,0,0,0,1.4,14.2,0.2,0.0,False,1,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,Spurs,90,0,0,2,0,15,0,0,0,0,0,0,2.5,24.6,0.4,0.0,False,1,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Leicester,90,0,0,1,0,9,0,0,0,0,0,0,1.7,17.0,0.1,0.0,True,2,2.0,4.0,-2.0
Jan Bednarek,DEF,Southampton,Liverpool,90,0,0,2,0,15,0,0,0,0,0,0,1.5,14.8,0.3,0.0,False,1,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Crystal Palace,45,0,0,1,0,3,1,0,0,0,0,0,0.8,6.6,1.3,0.0,True,0,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jan Bednarek,DEF,Southampton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jan Bednarek,DEF,Southampton,West Ham,90,0,0,3,0,9,1,0,0,0,0,0,4.5,27.6,0.8,17.0,False,0,2.0,4.0,-2.0
