name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Tyrick Mitchell,DEF,Crystal Palace,Southampton,90,0,0,0,1,23,0,0,0,0,0,0,1.8,17.6,0.7,0.0,True,6,3.0,2.0,1.0
Tyrick Mitchell,DEF,Crystal Palace,Man Utd,90,0,1,1,0,16,0,0,0,0,0,0,1.3,12.0,1.2,0.0,False,5,3.0,4.0,-1.0
Tyrick Mitchell,DEF,Crystal Palace,Everton,90,0,0,2,0,10,0,0,0,0,0,0,3.1,21.6,6.9,2.0,True,1,3.0,3.0,0.0
Tyrick Mitchell,DEF,Crystal Palace,Chelsea,90,0,0,4,0,5,0,0,0,0,0,0,1.0,8.2,1.3,0.0,False,0,3.0,4.0,-1.0
Tyrick Mitchell,DEF,Crystal Palace,Brighton,90,0,0,1,0,4,1,0,0,0,0,0,1.0,9.2,0.9,0.0,True,1,3.0,3.0,0.0
Tyrick Mitchell,DEF,Crystal Palace,Fulham,90,0,0,1,0,13,0,0,0,0,0,0,4.0,21.6,1.8,17.0,False,2,3.0,2.0,1.0
Tyrick Mitchell,DEF,Crystal Palace,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tyrick Mitchell,DEF,Crystal Palace,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tyrick Mitchell,DEF,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Tyrick Mitchell,DEF,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Tyrick Mitchell,DEF,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Tyrick Mitchell,DEF,Crystal Palace,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Tyrick Mitchell,DEF,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Tyrick Mitchell,DEF,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
