name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Christian Benteke,FWD,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Christian Benteke,FWD,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Christian Benteke,FWD,Crystal Palace,Everton,8,0,0,0,0,3,0,0,0,0,0,0,0.4,0.0,0.0,4.0,True,1,3.0,3.0,0.0
Christian Benteke,FWD,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Christian Benteke,FWD,Crystal Palace,Brighton,2,0,0,1,0,2,0,0,0,0,0,0,0.6,4.0,0.0,2.0,True,1,3.0,3.0,0.0
Christian Benteke,FWD,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Christian Benteke,FWD,Crystal Palace,Wolves,6,0,0,0,0,3,0,0,0,0,0,0,0.2,0.0,0.3,2.0,False,1,3.0,3.0,0.0
Christian Benteke,FWD,Crystal Palace,Leeds,5,0,0,0,0,3,0,0,0,0,0,0,0.3,0.2,0.3,2.0,True,1,3.0,3.0,0.0
Christian Benteke,FWD,Crystal Palace,Burnley,13,0,0,0,0,-3,0,0,0,0,0,0,4.5,0.0,0.4,45.0,False,1,3.0,2.0,1.0
Christian Benteke,FWD,Crystal Palace,Newcastle,24,0,0,2,0,1,0,0,0,0,0,0,3.2,6.0,1.3,25.0,True,1,3.0,2.0,1.0
Christian Benteke,FWD,Crystal Palace,West Brom,90,2,0,1,0,50,0,0,0,0,0,0,22.1,83.0,45.1,93.0,False,13,3.0,2.0,1.0
