name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
James Milner,MID,Liverpool,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
James Milner,MID,Liverpool,Chelsea,26,0,0,0,0,9,0,0,0,0,0,0,1.4,3.4,6.5,4.0,False,1,3.0,4.0,-1.0
James Milner,MID,Liverpool,Arsenal,11,0,0,0,0,3,0,0,0,0,0,0,0.1,0.8,0.6,0.0,True,1,3.0,4.0,-1.0
James Milner,MID,Liverpool,Aston Villa,22,0,0,1,0,6,0,0,0,0,0,0,2.9,11.6,15.1,2.0,False,1,3.0,3.0,0.0
James Milner,MID,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
James Milner,MID,Liverpool,Sheffield Utd,7,0,0,0,0,3,0,0,0,0,0,0,0.1,1.2,0.1,0.0,True,1,3.0,2.0,1.0
James Milner,MID,Liverpool,West Ham,1,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,3.0,4.0,-1.0
James Milner,MID,Liverpool,Man City,27,0,0,0,0,6,0,0,0,0,0,0,0.7,6.4,0.8,0.0,False,1,3.0,5.0,-2.0
James Milner,MID,Liverpool,Leicester,90,0,2,0,1,40,0,0,0,0,0,0,12.4,39.8,66.3,18.0,True,11,3.0,4.0,-1.0
James Milner,MID,Liverpool,Brighton,73,0,0,0,1,14,0,0,0,0,0,0,2.1,12.2,8.3,0.0,False,3,3.0,3.0,0.0
James Milner,MID,Liverpool,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
James Milner,MID,Liverpool,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
James Milner,MID,Liverpool,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
James Milner,MID,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
James Milner,MID,Liverpool,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
James Milner,MID,Liverpool,Newcastle,72,0,0,0,1,12,1,0,0,0,0,0,3.4,11.6,7.3,15.0,False,2,3.0,2.0,1.0
James Milner,MID,Liverpool,Southampton,13,0,0,0,0,4,0,0,0,0,0,0,0.9,2.8,4.6,2.0,False,1,3.0,2.0,1.0
James Milner,MID,Liverpool,Man Utd,1,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,3.0,4.0,-1.0
James Milner,MID,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
James Milner,MID,Liverpool,Spurs,90,0,0,1,0,22,0,0,0,0,0,0,7.4,21.2,49.2,4.0,False,2,3.0,4.0,-1.0
James Milner,MID,Liverpool,West Ham,56,0,0,0,0,4,0,0,0,0,0,0,1.3,1.6,4.9,6.0,False,1,3.0,4.0,-1.0
James Milner,MID,Liverpool,Brighton,90,0,0,1,0,11,0,0,0,0,0,0,3.1,12.8,8.1,10.0,True,2,3.0,3.0,0.0
James Milner,MID,Liverpool,Man City,22,0,0,3,0,4,0,0,0,0,0,0,0.7,3.6,1.3,2.0,True,1,3.0,5.0,-2.0
James Milner,MID,Liverpool,Leicester,16,0,0,0,0,4,0,0,0,0,0,0,0.3,1.0,0.3,2.0,False,1,3.0,4.0,-1.0
James Milner,MID,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
James Milner,MID,Liverpool,Sheffield Utd,14,0,0,0,0,5,0,0,0,0,0,0,1.1,9.6,0.9,0.0,False,1,3.0,2.0,1.0
James Milner,MID,Liverpool,Chelsea,10,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.4,0.0,True,1,3.0,4.0,-1.0
James Milner,MID,Liverpool,Fulham,75,0,0,1,0,10,0,0,0,0,0,0,1.8,5.2,8.3,4.0,True,2,3.0,2.0,1.0
James Milner,MID,Liverpool,Wolves,23,0,0,0,0,5,0,0,0,0,0,0,1.6,5.2,10.4,0.0,False,1,3.0,3.0,0.0
James Milner,MID,Liverpool,Arsenal,90,0,0,0,1,13,0,0,0,0,0,0,4.0,9.6,22.9,7.0,False,3,3.0,4.0,-1.0
James Milner,MID,Liverpool,Aston Villa,90,0,0,1,0,7,1,0,0,0,0,0,3.7,15.0,14.7,7.0,True,1,3.0,3.0,0.0
James Milner,MID,Liverpool,Leeds,90,0,0,1,0,2,0,0,0,0,0,0,2.1,12.4,2.8,6.0,False,2,3.0,3.0,0.0
James Milner,MID,Liverpool,Newcastle,32,0,0,1,0,7,0,0,0,0,0,0,3.3,7.2,6.4,19.0,True,1,3.0,2.0,1.0
James Milner,MID,Liverpool,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
James Milner,MID,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
James Milner,MID,Liverpool,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
James Milner,MID,Liverpool,Burnley,3,0,0,0,0,3,0,0,0,0,0,0,0.1,0.0,0.8,0.0,False,1,3.0,2.0,1.0
James Milner,MID,Liverpool,Crystal Palace,12,0,0,0,0,3,1,0,0,0,0,0,0.5,3.8,1.0,0.0,True,0,3.0,3.0,0.0
