name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Matt Phillips,MID,West Brom,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Matt Phillips,MID,West Brom,Everton,19,0,0,0,0,1,0,0,0,0,0,0,0.4,4.2,0.1,0.0,False,1,2.0,3.0,-1.0
Matt Phillips,MID,West Brom,Chelsea,16,0,0,1,0,3,0,0,0,0,0,0,0.8,0.2,0.0,8.0,True,1,2.0,4.0,-2.0
Matt Phillips,MID,West Brom,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Matt Phillips,MID,West Brom,Burnley,2,0,0,0,0,-1,1,0,0,0,0,0,0.3,0.2,0.5,2.0,True,0,2.0,2.0,0.0
Matt Phillips,MID,West Brom,Brighton,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,1,2.0,3.0,-1.0
Matt Phillips,MID,West Brom,Fulham,20,0,0,0,0,8,0,0,0,0,0,0,3.5,8.0,24.5,2.0,False,1,2.0,2.0,0.0
Matt Phillips,MID,West Brom,Spurs,6,0,0,1,0,3,0,0,0,0,0,0,0.5,2.4,0.3,2.0,True,1,2.0,4.0,-2.0
Matt Phillips,MID,West Brom,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Matt Phillips,MID,West Brom,Sheffield Utd,15,0,0,0,0,3,0,0,0,0,0,0,0.5,2.4,0.8,2.0,True,1,2.0,2.0,0.0
Matt Phillips,MID,West Brom,Crystal Palace,90,0,0,5,0,18,0,0,0,0,0,0,9.1,17.2,52.4,21.0,True,2,2.0,3.0,-1.0
Matt Phillips,MID,West Brom,Newcastle,90,0,1,2,0,21,0,0,0,0,0,0,8.4,34.6,41.5,8.0,False,6,2.0,2.0,0.0
Matt Phillips,MID,West Brom,Man City,86,0,0,1,0,5,0,0,0,0,0,0,2.5,3.4,18.8,3.0,False,2,2.0,5.0,-3.0
Matt Phillips,MID,West Brom,Aston Villa,76,0,0,1,0,3,0,0,0,0,0,0,1.3,2.8,1.3,9.0,True,2,2.0,3.0,-1.0
Matt Phillips,MID,West Brom,Liverpool,90,0,0,1,0,3,0,0,0,0,0,0,1.3,8.6,2.0,2.0,False,2,2.0,3.0,-1.0
Matt Phillips,MID,West Brom,Leeds,45,0,0,4,0,1,0,0,0,0,0,0,0.3,0.2,0.8,2.0,True,1,2.0,3.0,-1.0
Matt Phillips,MID,West Brom,Arsenal,80,0,0,4,0,9,0,0,0,0,0,0,5.8,12.8,26.6,19.0,True,2,2.0,4.0,-2.0
Matt Phillips,MID,West Brom,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Matt Phillips,MID,West Brom,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Matt Phillips,MID,West Brom,Man City,31,0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.2,2.0,True,1,2.0,5.0,-3.0
Matt Phillips,MID,West Brom,Fulham,7,0,0,0,0,4,0,0,0,0,0,0,0.8,4.0,4.3,0.0,True,1,2.0,2.0,0.0
Matt Phillips,MID,West Brom,Sheffield Utd,73,1,0,2,0,30,0,0,0,0,0,0,11.3,44.6,15.4,53.0,False,9,2.0,2.0,0.0
Matt Phillips,MID,West Brom,Spurs,21,0,0,0,0,3,0,0,0,0,0,0,1.9,4.2,14.3,0.0,False,1,2.0,4.0,-2.0
Matt Phillips,MID,West Brom,Man Utd,3,0,0,0,0,3,0,0,0,0,0,0,0.1,1.0,0.0,0.0,True,1,2.0,4.0,-2.0
