name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Aaron Cresswell,DEF,West Ham,Newcastle,90,0,0,2,0,11,0,0,0,0,0,0,2.2,10.4,11.2,0.0,True,1,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,Arsenal,90,0,0,2,0,17,0,0,0,0,0,0,6.2,27.0,35.0,0.0,False,1,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Wolves,90,0,0,0,1,32,0,0,0,0,0,0,8.8,35.8,52.5,0.0,True,7,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Leicester,90,0,2,0,1,57,0,0,0,0,0,0,10.5,52.8,52.5,0.0,False,15,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Spurs,90,0,1,3,0,27,0,0,0,0,0,0,6.8,32.6,34.0,1.0,False,5,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Man City,90,0,0,1,0,14,0,0,0,0,0,0,2.4,9.4,14.8,0.0,True,2,4.0,5.0,-1.0
Aaron Cresswell,DEF,West Ham,Liverpool,90,0,0,2,0,11,0,0,0,0,0,0,2.4,23.4,0.5,0.0,False,1,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Fulham,90,0,0,0,1,28,0,0,0,0,0,0,9.8,25.0,64.7,8.0,True,6,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,Sheffield Utd,90,0,0,0,1,29,0,0,0,0,0,0,4.0,19.4,20.5,0.0,False,7,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,Aston Villa,90,0,0,1,0,8,0,0,0,0,0,0,1.9,14.6,4.3,0.0,True,2,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Man Utd,90,0,0,3,0,15,0,0,0,0,0,0,5.2,14.4,30.8,7.0,True,1,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Leeds,90,0,1,1,0,24,0,0,0,0,0,0,6.3,33.2,29.3,0.0,False,5,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Crystal Palace,90,0,0,1,0,4,0,0,0,0,0,0,1.1,3.2,6.7,1.0,True,2,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Chelsea,90,0,0,3,0,14,0,0,0,0,0,0,3.9,10.0,20.6,8.0,False,1,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Brighton,90,0,1,2,0,21,0,0,0,0,0,0,4.4,13.0,22.9,8.0,True,4,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Southampton,90,0,0,0,1,22,0,0,0,0,0,0,2.0,8.6,9.3,2.0,False,6,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,Everton,90,0,1,0,1,33,0,0,0,0,0,0,2.6,6.4,7.1,12.0,False,11,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Burnley,90,0,0,0,1,26,0,0,0,0,0,0,1.8,14.4,3.5,0.0,True,8,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,West Brom,90,0,0,1,0,14,0,0,0,0,0,0,6.8,25.0,43.0,0.0,True,2,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,Crystal Palace,90,0,1,2,0,25,0,0,0,0,0,0,4.7,20.4,22.1,4.0,False,5,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Liverpool,90,0,1,3,0,21,0,0,0,0,0,0,1.7,14.4,0.8,2.0,True,4,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Aston Villa,90,0,0,1,0,10,1,0,0,0,0,0,5.1,12.8,24.8,13.0,False,1,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Fulham,90,0,0,0,1,27,0,0,0,0,0,0,5.3,16.2,35.3,1.0,False,9,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,Sheffield Utd,90,0,1,0,1,37,0,0,0,0,0,0,6.1,29.8,29.9,1.0,True,12,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,Spurs,90,0,0,1,0,18,0,0,0,0,0,0,4.3,23.4,19.1,0.0,True,2,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Man City,90,0,0,2,0,11,0,0,0,0,0,0,3.8,12.8,25.3,0.0,False,1,4.0,5.0,-1.0
Aaron Cresswell,DEF,West Ham,Leeds,90,0,1,0,1,44,0,0,0,0,0,0,7.8,33.0,36.8,8.0,True,12,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Man Utd,90,0,0,1,0,14,0,0,0,0,0,0,1.9,17.2,2.0,0.0,False,2,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Arsenal,90,0,0,3,0,8,1,0,0,0,0,0,2.3,10.4,12.7,0.0,True,0,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Wolves,90,0,0,2,0,11,0,0,0,0,0,0,2.1,6.6,14.3,0.0,False,1,4.0,3.0,1.0
Aaron Cresswell,DEF,West Ham,Leicester,52,0,0,0,0,1,1,0,0,0,0,0,0.3,1.6,1.5,0.0,True,0,4.0,4.0,0.0
Aaron Cresswell,DEF,West Ham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Aaron Cresswell,DEF,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
