name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Alex Iwobi,MID,Everton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,West Brom,19,0,0,0,0,2,0,0,0,0,0,0,0.9,0.0,6.0,4.0,True,1,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Crystal Palace,4,0,0,0,0,2,0,0,0,0,0,0,0.2,2.0,0.3,0.0,False,1,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Brighton,65,0,1,2,0,15,0,0,0,0,0,0,4.5,27.2,13.6,4.0,True,5,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Liverpool,12,0,0,0,0,3,0,0,0,0,0,0,0.2,0.0,1.6,0.0,True,1,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Southampton,45,0,0,2,0,6,0,0,0,0,0,0,3.0,4.4,1.2,24.0,False,1,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Newcastle,14,0,1,1,0,13,0,0,0,0,0,0,1.6,2.2,13.8,0.0,False,4,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Man Utd,23,0,0,1,0,4,0,0,0,0,0,0,2.6,7.0,16.5,2.0,True,1,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Fulham,90,0,0,2,0,19,0,0,0,0,0,0,2.5,19.8,3.5,2.0,False,2,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Leeds,66,0,0,0,1,10,0,0,0,0,0,0,3.1,15.4,11.3,4.0,True,3,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Burnley,90,0,0,1,0,18,0,0,0,0,0,0,7.7,19.6,31.6,26.0,False,2,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Chelsea,85,0,0,0,1,11,0,0,0,0,0,0,2.4,11.0,5.1,8.0,True,3,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Leicester,90,0,1,0,1,21,0,0,0,0,0,0,8.5,28.4,36.1,20.0,False,6,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Arsenal,82,0,0,1,0,11,0,0,0,0,0,0,3.9,5.4,15.8,18.0,True,2,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Sheffield Utd,90,0,0,0,1,14,0,0,0,0,0,0,4.1,17.0,10.9,13.0,False,3,3.0,2.0,1.0
Alex Iwobi,MID,Everton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Wolves,90,1,0,1,0,30,0,0,0,0,0,0,11.1,49.2,6.0,56.0,False,8,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Leicester,10,0,0,0,0,2,0,0,0,0,0,0,0.0,0.2,0.2,0.0,True,1,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Newcastle,62,0,0,0,1,6,0,0,0,0,0,0,0.3,1.0,1.6,0.0,True,3,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Leeds,86,0,0,1,0,6,0,0,0,0,0,0,1.7,0.6,12.9,3.0,False,2,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Man Utd,15,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Man City,68,0,0,2,0,10,0,0,0,0,0,0,2.4,12.0,12.3,0.0,True,2,3.0,5.0,-2.0
Alex Iwobi,MID,Everton,Liverpool,4,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Southampton,3,0,0,0,0,1,0,0,0,0,0,0,0.5,3.0,1.5,0.0,True,1,3.0,2.0,1.0
Alex Iwobi,MID,Everton,West Brom,57,0,0,0,0,6,0,0,0,0,0,0,1.5,9.6,1.1,4.0,False,1,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Chelsea,55,0,0,1,0,3,0,0,0,0,0,0,1.7,3.2,11.7,2.0,False,1,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Burnley,90,0,0,2,0,14,0,0,0,0,0,0,6.2,12.6,29.0,20.0,True,2,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Brighton,32,0,0,0,0,2,0,0,0,0,0,0,0.3,0.0,0.2,4.0,False,1,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Spurs,60,0,0,1,0,3,0,0,0,0,0,0,0.8,0.2,1.4,6.0,True,2,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Aston Villa,75,0,0,1,0,13,0,0,0,0,0,0,3.2,6.4,12.1,13.0,True,2,3.0,3.0,0.0
Alex Iwobi,MID,Everton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Alex Iwobi,MID,Everton,Aston Villa,15,0,0,0,0,4,0,0,0,0,0,0,0.9,4.4,4.8,0.0,False,1,3.0,3.0,0.0
Alex Iwobi,MID,Everton,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Alex Iwobi,MID,Everton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
