name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Cheikhou Kouyaté,MID,Crystal Palace,Southampton,90,0,0,0,1,3,0,0,0,0,0,0,3.0,12.6,0.3,17.0,True,3,3.0,2.0,1.0
Cheikhou Kouyaté,MID,Crystal Palace,Man Utd,90,0,0,1,0,14,0,0,0,0,0,0,3.7,24.6,10.0,2.0,False,2,3.0,4.0,-1.0
Cheikhou Kouyaté,MID,Crystal Palace,Everton,90,1,0,2,0,29,0,0,0,0,0,0,8.9,46.4,0.2,42.0,True,9,3.0,3.0,0.0
Cheikhou Kouyaté,MID,Crystal Palace,Chelsea,90,0,0,4,0,9,0,0,0,0,0,0,1.9,14.8,0.2,4.0,False,2,3.0,4.0,-1.0
Cheikhou Kouyaté,MID,Crystal Palace,Brighton,90,0,0,1,0,11,0,0,0,0,0,0,1.5,15.4,0.0,0.0,True,2,3.0,3.0,0.0
Cheikhou Kouyaté,MID,Crystal Palace,Fulham,90,0,0,1,0,16,0,0,0,0,0,0,2.1,20.4,0.3,0.0,False,2,3.0,2.0,1.0
Cheikhou Kouyaté,MID,Crystal Palace,Wolves,90,0,0,2,0,17,0,0,0,0,0,0,1.5,13.8,0.9,0.0,False,2,3.0,3.0,0.0
Cheikhou Kouyaté,MID,Crystal Palace,Leeds,90,0,0,1,0,12,0,0,0,0,0,0,1.7,17.0,0.3,0.0,True,2,3.0,3.0,0.0
Cheikhou Kouyaté,MID,Crystal Palace,Burnley,90,0,0,1,0,18,0,0,0,0,0,0,5.9,15.8,20.8,22.0,False,2,3.0,2.0,1.0
Cheikhou Kouyaté,MID,Crystal Palace,Newcastle,90,0,0,2,0,8,0,0,0,0,0,0,5.2,7.0,18.1,27.0,True,2,3.0,2.0,1.0
Cheikhou Kouyaté,MID,Crystal Palace,West Brom,90,0,0,1,0,12,0,0,0,0,0,0,1.8,17.6,0.8,0.0,False,2,3.0,2.0,1.0
Cheikhou Kouyaté,MID,Crystal Palace,Spurs,90,0,0,1,0,10,0,0,0,0,0,0,1.3,12.4,0.6,0.0,True,2,3.0,4.0,-1.0
Cheikhou Kouyaté,MID,Crystal Palace,West Ham,90,0,0,1,0,13,0,0,0,0,0,0,1.8,17.0,0.6,0.0,False,2,3.0,4.0,-1.0
Cheikhou Kouyaté,MID,Crystal Palace,Liverpool,62,0,0,4,0,9,0,0,0,0,0,0,0.4,3.2,0.3,0.0,True,2,3.0,3.0,0.0
Cheikhou Kouyaté,MID,Crystal Palace,Aston Villa,90,0,0,3,0,19,0,0,0,0,0,0,1.8,17.6,0.7,0.0,False,2,3.0,3.0,0.0
Cheikhou Kouyaté,MID,Crystal Palace,Leicester,90,0,0,1,0,13,0,0,0,0,0,0,1.8,18.0,0.1,0.0,True,2,3.0,4.0,-1.0
Cheikhou Kouyaté,MID,Crystal Palace,Sheffield Utd,90,0,0,0,1,11,0,0,0,0,0,0,3.2,29.4,0.2,2.0,True,3,3.0,2.0,1.0
