name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Fabio Henrique Tavares,MID,Liverpool,Leeds,32,0,1,1,0,13,0,0,0,0,0,0,0.7,4.2,1.0,2.0,True,4,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Chelsea,90,0,0,0,1,21,0,0,0,0,0,0,2.3,21.4,1.1,0.0,False,3,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Arsenal,90,0,0,1,0,18,0,0,0,0,0,0,3.2,16.6,15.3,0.0,True,2,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Aston Villa,90,0,0,7,0,12,0,0,0,0,0,0,3.3,19.2,13.3,0.0,False,2,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Everton,90,0,0,2,0,9,1,0,0,0,0,0,1.9,13.6,1.9,3.0,False,1,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Sheffield Utd,90,0,0,1,0,12,0,0,0,0,0,0,2.0,14.8,0.9,4.0,True,2,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Fabio Henrique Tavares,MID,Liverpool,Leicester,90,0,0,0,1,16,0,0,0,0,0,0,2.2,21.6,0.6,0.0,True,3,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Brighton,90,0,0,1,0,17,0,0,0,0,0,0,2.6,15.6,10.1,0.0,False,2,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Wolves,90,0,0,0,1,15,0,0,0,0,0,0,1.8,17.4,0.2,0.0,True,3,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Fulham,90,0,0,1,0,25,0,0,0,0,0,0,3.0,28.6,1.8,0.0,False,4,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Spurs,90,0,0,1,0,23,0,0,0,0,0,0,2.3,21.2,1.9,0.0,True,2,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Crystal Palace,90,0,0,0,1,20,0,0,0,0,0,0,2.9,28.2,0.8,0.0,False,3,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,West Brom,90,0,0,1,0,14,0,0,0,0,0,0,1.9,13.2,4.5,1.0,True,2,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Newcastle,90,0,0,0,1,14,1,0,0,0,0,0,2.6,24.0,1.8,0.0,False,2,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Southampton,90,0,0,1,0,12,0,0,0,0,0,0,2.0,17.2,2.4,0.0,False,2,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Man Utd,90,0,0,0,1,13,1,0,0,0,0,0,3.0,26.6,0.9,2.0,True,2,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Burnley,90,0,0,1,0,10,1,0,0,0,0,0,1.2,5.8,2.1,4.0,True,1,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Man City,90,0,0,4,0,6,1,0,0,0,0,0,0.8,7.6,0.5,0.0,True,1,3.0,5.0,-2.0
Fabio Henrique Tavares,MID,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Chelsea,90,0,0,1,0,11,0,0,0,0,0,0,1.4,9.6,0.8,4.0,True,2,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Fulham,14,0,0,0,0,4,0,0,0,0,0,0,0.9,7.0,1.7,0.0,True,1,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Wolves,90,0,0,0,1,11,0,0,0,0,0,0,1.0,8.8,0.9,0.0,False,3,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Arsenal,90,0,1,0,1,22,0,0,0,0,0,0,2.0,13.2,5.8,1.0,False,6,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,Aston Villa,90,0,0,1,0,16,0,0,0,0,0,0,1.4,10.4,3.8,0.0,True,2,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Leeds,90,0,0,1,0,13,0,0,0,0,0,0,1.3,8.6,0.8,4.0,False,2,3.0,3.0,0.0
Fabio Henrique Tavares,MID,Liverpool,Newcastle,90,0,0,1,0,13,1,0,0,0,0,0,1.9,16.6,1.9,0.0,True,1,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Southampton,90,0,0,0,1,14,0,0,0,0,0,0,3.1,26.8,4.3,0.0,True,3,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Man Utd,90,0,0,2,0,14,0,0,0,0,0,0,1.9,16.6,2.6,0.0,False,2,3.0,4.0,-1.0
Fabio Henrique Tavares,MID,Liverpool,West Brom,90,0,0,1,0,7,0,0,0,0,0,0,6.4,5.2,16.6,42.0,False,2,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Burnley,90,0,0,0,1,13,0,0,0,0,0,0,2.6,13.8,3.7,8.0,False,3,3.0,2.0,1.0
Fabio Henrique Tavares,MID,Liverpool,Crystal Palace,90,0,0,0,1,13,0,0,0,0,0,0,1.0,7.0,2.8,0.0,True,3,3.0,3.0,0.0
