name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ilkay Gündogan,MID,Man City,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Ilkay Gündogan,MID,Man City,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Ilkay Gündogan,MID,Man City,Arsenal,25,0,0,0,0,4,0,0,0,0,0,0,1.7,2.8,13.7,0.0,True,1,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,West Ham,90,0,0,1,0,9,0,0,0,0,0,0,4.0,9.6,20.7,10.0,False,2,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Sheffield Utd,5,0,0,0,0,3,0,0,0,0,0,0,0.1,0.2,0.8,0.0,False,1,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Liverpool,90,0,0,1,0,13,0,0,0,0,0,0,3.9,21.2,15.6,2.0,True,2,5.0,3.0,2.0
Ilkay Gündogan,MID,Man City,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,Burnley,90,0,0,0,1,17,0,0,0,0,0,0,4.3,14.6,27.8,1.0,True,3,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Fulham,90,0,0,0,1,16,0,0,0,0,0,0,2.7,14.2,8.8,4.0,True,3,5.0,2.0,3.0
Ilkay Gündogan,MID,Man City,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,4.0,1.0
Ilkay Gündogan,MID,Man City,West Brom,90,1,0,1,0,36,0,0,0,0,0,0,18.2,54.4,58.3,69.0,True,10,5.0,2.0,3.0
