name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jack Robinson,DEF,Sheffield Utd,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jack Robinson,DEF,Sheffield Utd,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jack Robinson,DEF,Sheffield Utd,Leeds,90,0,0,1,0,5,0,0,0,0,0,0,2.4,9.0,0.4,15.0,True,2,2.0,3.0,-1.0
Jack Robinson,DEF,Sheffield Utd,Arsenal,90,0,0,2,0,12,0,0,0,0,0,0,1.6,13.4,2.9,0.0,False,1,2.0,4.0,-2.0
Jack Robinson,DEF,Sheffield Utd,Fulham,71,0,1,1,0,17,0,0,0,0,0,0,1.6,12.6,1.3,2.0,True,5,2.0,2.0,0.0
Jack Robinson,DEF,Sheffield Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jack Robinson,DEF,Sheffield Utd,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Jack Robinson,DEF,Sheffield Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Jack Robinson,DEF,Sheffield Utd,West Ham,28,0,0,0,0,2,0,0,0,0,0,0,0.3,2.4,0.8,0.0,True,1,2.0,4.0,-2.0
Jack Robinson,DEF,Sheffield Utd,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jack Robinson,DEF,Sheffield Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Jack Robinson,DEF,Sheffield Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jack Robinson,DEF,Sheffield Utd,Man Utd,90,0,0,3,0,6,1,0,0,0,0,0,1.0,7.2,2.8,0.0,True,0,2.0,4.0,-2.0
Jack Robinson,DEF,Sheffield Utd,Brighton,90,0,0,1,0,9,0,0,0,0,0,0,1.1,10.2,0.3,0.0,False,2,2.0,3.0,-1.0
Jack Robinson,DEF,Sheffield Utd,Everton,90,0,0,1,0,12,1,0,0,0,0,0,4.4,25.0,1.3,18.0,True,1,2.0,3.0,-1.0
Jack Robinson,DEF,Sheffield Utd,Burnley,56,0,0,1,0,7,0,0,0,0,0,0,1.0,8.0,1.8,0.0,False,1,2.0,2.0,0.0
Jack Robinson,DEF,Sheffield Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jack Robinson,DEF,Sheffield Utd,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
