name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jake Livermore,MID,West Brom,Leicester,90,0,0,3,0,11,0,0,0,0,0,0,2.0,8.8,11.3,0.0,True,2,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Everton,90,0,0,5,0,6,0,0,0,0,0,0,2.9,9.0,1.4,19.0,False,2,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Chelsea,90,0,0,3,0,9,0,0,0,0,0,0,2.4,13.6,10.8,0.0,True,2,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Southampton,90,0,0,2,0,3,1,0,0,0,0,0,0.8,7.6,0.5,0.0,False,1,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Burnley,90,0,0,0,1,6,1,0,0,0,0,0,1.1,7.8,1.3,2.0,True,2,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Brighton,62,0,0,1,0,8,0,0,1,0,0,0,0.7,5.2,1.4,0.0,False,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Fulham,55,0,0,2,0,4,0,0,0,0,0,0,2.8,10.8,14.7,2.0,False,1,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Spurs,89,0,0,1,0,5,0,0,0,0,0,0,0.5,2.2,1.2,2.0,True,2,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Man City,79,0,0,1,0,7,0,0,0,0,0,0,2.0,7.0,10.5,2.0,False,2,2.0,5.0,-3.0
Jake Livermore,MID,West Brom,Aston Villa,36,0,0,3,0,-5,0,1,0,0,0,0,0.1,0.0,1.1,4.0,True,-2,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Wolves,90,0,0,2,0,6,0,0,0,0,0,0,2.6,15.4,10.5,0.0,False,2,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,West Ham,79,0,0,2,0,10,0,0,0,0,0,0,1.5,14.2,0.3,0.0,False,2,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Man City,90,0,0,5,0,10,0,0,0,0,0,0,3.4,11.0,1.2,22.0,True,2,2.0,5.0,-3.0
Jake Livermore,MID,West Brom,Fulham,82,0,0,2,0,8,0,0,0,0,0,0,1.4,9.2,4.7,0.0,True,2,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Sheffield Utd,90,0,0,2,0,8,0,0,0,0,0,0,0.9,7.6,1.3,0.0,False,2,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Man Utd,23,0,0,0,0,3,0,0,0,0,0,0,0.8,7.2,0.3,0.0,True,1,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Chelsea,1,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.1,0.0,False,1,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jake Livermore,MID,West Brom,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Liverpool,15,0,0,1,0,3,0,0,0,0,0,0,0.0,0.2,0.1,0.0,True,1,2.0,3.0,-1.0
Jake Livermore,MID,West Brom,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Jake Livermore,MID,West Brom,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
