name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Juan Mata,MID,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Juan Mata,MID,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Juan Mata,MID,Man Utd,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Juan Mata,MID,Man Utd,Newcastle,90,0,1,1,0,24,0,0,0,0,0,0,9.5,29.8,46.5,19.0,False,5,4.0,2.0,2.0
Juan Mata,MID,Man Utd,Chelsea,57,0,0,0,0,10,0,0,0,0,0,0,5.9,9.0,38.9,11.0,True,1,4.0,4.0,0.0
Juan Mata,MID,Man Utd,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Juan Mata,MID,Man Utd,Everton,81,0,0,1,0,4,0,0,0,0,0,0,1.7,2.2,3.0,12.0,False,2,4.0,3.0,1.0
Juan Mata,MID,Man Utd,West Brom,62,0,1,0,1,19,0,0,0,0,0,0,2.6,2.2,17.9,6.0,True,6,4.0,2.0,2.0
Juan Mata,MID,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Juan Mata,MID,Man Utd,West Ham,28,0,1,0,0,17,0,0,0,0,0,0,3.4,18.6,15.2,0.0,False,4,4.0,4.0,0.0
Juan Mata,MID,Man Utd,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Juan Mata,MID,Man Utd,Sheffield Utd,16,0,0,1,0,2,0,0,0,0,0,0,2.4,4.4,0.4,19.0,False,1,4.0,2.0,2.0
Juan Mata,MID,Man Utd,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Juan Mata,MID,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
