name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mason Greenwood,MID,Man Utd,Crystal Palace,45,0,0,2,0,-2,0,0,0,0,0,0,2.8,0.0,3.7,26.0,True,1,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,Brighton,81,0,0,1,0,9,0,0,0,0,0,0,2.4,6.2,12.1,6.0,False,2,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,Spurs,67,0,0,5,0,7,0,0,0,0,0,0,2.2,3.6,1.9,16.0,True,2,4.0,4.0,0.0
Mason Greenwood,MID,Man Utd,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Chelsea,7,0,0,0,0,4,0,0,0,0,0,0,2.2,5.0,14.9,2.0,True,1,4.0,4.0,0.0
Mason Greenwood,MID,Man Utd,Arsenal,74,0,0,1,0,1,1,0,0,0,0,0,2.5,1.4,2.7,21.0,True,1,4.0,4.0,0.0
Mason Greenwood,MID,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Southampton,45,0,0,2,0,-1,0,0,0,0,0,0,1.4,2.2,0.6,11.0,False,1,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,West Ham,90,1,0,1,0,28,0,0,0,0,0,0,8.7,32.6,13.7,41.0,False,7,4.0,4.0,0.0
Mason Greenwood,MID,Man Utd,Man City,73,0,0,0,1,10,0,0,0,0,0,0,2.0,5.4,2.8,12.0,True,3,4.0,5.0,-1.0
Mason Greenwood,MID,Man Utd,Sheffield Utd,73,0,0,1,0,3,0,0,0,0,0,0,4.3,1.4,4.6,37.0,False,2,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Mason Greenwood,MID,Man Utd,Wolves,63,0,0,0,1,11,0,0,0,0,0,0,4.5,9.2,27.4,8.0,True,3,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,Burnley,10,0,0,0,0,3,0,0,0,0,0,0,0.1,0.2,0.8,0.0,False,1,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Liverpool,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,Fulham,84,0,0,1,0,10,0,0,0,0,0,0,2.5,0.6,6.4,18.0,False,2,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Sheffield Utd,65,0,0,1,0,2,0,0,0,0,0,0,5.5,1.6,4.8,49.0,True,2,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Arsenal,10,0,0,0,0,2,0,0,0,0,0,0,0.1,0.8,0.2,0.0,False,1,4.0,4.0,0.0
Mason Greenwood,MID,Man Utd,Southampton,90,0,1,0,1,26,0,0,0,0,0,0,11.9,30.8,26.4,62.0,True,6,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Everton,90,0,0,2,0,13,0,0,0,0,0,0,3.0,5.6,8.1,16.0,True,2,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,West Brom,24,0,0,0,0,5,0,0,0,0,0,0,4.9,8.8,13.4,27.0,False,1,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Newcastle,20,0,0,0,0,-1,0,0,0,0,0,0,1.9,0.0,1.3,19.0,True,1,4.0,2.0,2.0
Mason Greenwood,MID,Man Utd,Chelsea,78,0,0,0,1,1,0,0,0,0,0,0,1.9,0.0,7.1,13.0,False,3,4.0,4.0,0.0
Mason Greenwood,MID,Man Utd,Crystal Palace,90,0,0,0,1,13,0,0,0,0,0,0,2.8,5.6,7.7,15.0,False,3,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,Man City,17,0,0,0,0,5,0,0,0,0,0,0,0.4,2.2,0.0,2.0,False,1,4.0,5.0,-1.0
Mason Greenwood,MID,Man Utd,West Ham,90,0,0,0,1,15,0,0,0,0,0,0,11.2,8.4,30.8,73.0,True,3,4.0,4.0,0.0
Mason Greenwood,MID,Man Utd,Brighton,90,1,0,1,0,17,1,0,0,0,0,0,8.9,31.6,15.0,42.0,True,6,4.0,3.0,1.0
Mason Greenwood,MID,Man Utd,Spurs,18,1,1,0,0,34,0,0,0,0,0,0,8.6,50.2,14.4,21.0,False,11,4.0,4.0,0.0
