name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Nampalys Mendy,MID,Leicester,West Brom,90,0,0,0,1,11,0,0,0,0,0,0,1.3,9.8,3.5,0.0,False,3,4.0,2.0,2.0
Nampalys Mendy,MID,Leicester,Burnley,90,0,0,2,0,9,1,0,0,0,0,0,1.6,8.2,7.5,0.0,True,1,4.0,2.0,2.0
Nampalys Mendy,MID,Leicester,Man City,90,0,1,2,0,20,0,0,0,0,0,0,5.3,32.6,20.8,0.0,False,5,4.0,5.0,-1.0
Nampalys Mendy,MID,Leicester,West Ham,88,0,0,3,0,8,1,0,0,0,0,0,2.4,8.2,7.9,8.0,True,1,4.0,4.0,0.0
Nampalys Mendy,MID,Leicester,Aston Villa,77,0,0,0,1,13,0,0,0,0,0,0,1.2,9.8,2.2,0.0,True,3,4.0,3.0,1.0
Nampalys Mendy,MID,Leicester,Arsenal,90,0,0,0,1,14,0,0,0,0,0,0,1.2,8.6,3.6,0.0,False,3,4.0,4.0,0.0
Nampalys Mendy,MID,Leicester,Leeds,90,0,0,1,0,14,0,0,0,0,0,0,0.7,5.2,2.1,0.0,False,2,4.0,3.0,1.0
Nampalys Mendy,MID,Leicester,Wolves,90,0,0,0,1,20,0,0,0,0,0,0,1.7,10.8,5.9,0.0,True,3,4.0,3.0,1.0
Nampalys Mendy,MID,Leicester,Liverpool,90,0,0,3,0,8,1,0,0,0,0,0,0.6,2.0,3.5,0.0,False,1,4.0,3.0,1.0
Nampalys Mendy,MID,Leicester,Fulham,69,0,0,2,0,13,0,0,0,0,0,0,0.7,3.0,3.8,0.0,True,2,4.0,2.0,2.0
Nampalys Mendy,MID,Leicester,Sheffield Utd,68,0,0,1,0,20,0,0,0,0,0,0,1.5,9.0,6.1,0.0,False,2,4.0,2.0,2.0
