name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Riyad Mahrez,MID,Man City,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Leicester,90,1,1,5,0,39,0,0,0,0,0,0,12.5,52.4,42.9,30.0,True,12,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Leeds,76,0,0,1,0,6,0,0,0,0,0,0,3.8,3.0,29.8,5.0,False,2,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Arsenal,90,0,0,0,1,8,0,0,0,0,0,0,9.3,7.2,15.8,70.0,True,3,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,West Ham,90,0,0,1,0,11,0,0,0,0,0,0,11.8,14.6,31.5,72.0,False,2,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Sheffield Utd,84,0,0,0,1,10,0,0,0,0,0,0,5.5,9.8,20.1,25.0,False,3,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Spurs,71,0,0,2,0,7,0,0,0,0,0,0,7.8,9.0,43.5,25.0,False,2,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Burnley,90,3,0,0,1,73,0,0,0,0,0,0,29.5,118.4,75.6,101.0,True,21,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Fulham,90,0,0,0,1,28,0,0,0,0,0,0,9.7,17.4,53.9,26.0,True,4,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Man Utd,65,0,0,0,1,6,0,0,0,0,0,0,4.1,6.8,15.3,19.0,False,3,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Southampton,18,0,0,0,0,-5,0,0,0,0,0,0,1.4,0.0,1.3,14.0,False,1,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Chelsea,4,0,0,1,0,3,0,0,0,0,0,0,0.1,0.0,0.5,0.0,False,1,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Brighton,66,0,0,0,1,8,0,0,0,0,0,0,5.7,7.2,41.9,8.0,True,3,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Aston Villa,18,0,0,0,0,5,0,0,0,0,0,0,2.9,4.2,18.8,6.0,True,1,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,West Brom,90,1,1,0,1,43,0,0,0,0,0,0,14.2,57.0,33.2,52.0,False,12,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Burnley,90,0,0,0,1,13,0,0,0,0,0,0,5.7,7.4,31.1,18.0,False,3,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Liverpool,71,0,0,1,0,8,0,0,0,0,0,0,1.4,5.4,2.4,6.0,False,2,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Spurs,11,0,0,0,0,2,0,0,0,0,0,0,1.5,4.2,0.4,10.0,True,1,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Everton,90,1,0,1,0,32,0,0,0,0,0,0,9.0,34.0,12.9,43.0,False,9,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Arsenal,90,0,1,0,1,29,0,0,0,0,0,0,9.6,25.6,20.8,50.0,False,7,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,West Ham,90,0,1,1,0,21,0,0,0,0,0,0,7.2,21.4,18.8,32.0,True,5,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Wolves,90,1,1,1,0,43,0,0,0,0,0,0,18.8,58.6,49.8,80.0,True,12,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Man Utd,90,0,0,2,0,12,0,0,0,0,0,0,6.9,15.6,29.6,24.0,True,2,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Southampton,60,2,1,2,0,54,0,0,0,0,0,0,12.3,71.0,20.1,32.0,True,18,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Leicester,78,0,0,0,1,0,0,0,0,0,0,0,6.9,9.8,15.4,44.0,False,3,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Aston Villa,89,0,0,1,0,8,0,0,0,0,0,0,9.3,7.2,22.8,63.0,False,2,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Riyad Mahrez,MID,Man City,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,4.0,1.0
Riyad Mahrez,MID,Man City,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Riyad Mahrez,MID,Man City,Brighton,90,0,1,3,0,18,0,0,0,0,0,0,6.7,22.4,17.6,27.0,False,5,5.0,3.0,2.0
