name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Sadio Mané,MID,Liverpool,Leeds,90,0,0,3,0,14,0,0,0,0,0,0,13.4,13.2,45.5,75.0,True,2,3.0,3.0,0.0
Sadio Mané,MID,Liverpool,Chelsea,90,2,0,0,1,48,0,0,0,0,0,0,13.6,79.6,7.0,49.0,False,16,3.0,4.0,-1.0
Sadio Mané,MID,Liverpool,Arsenal,79,1,0,1,0,22,1,0,0,0,0,0,15.4,43.0,26.5,84.0,True,7,3.0,4.0,-1.0
Sadio Mané,MID,Liverpool,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Sadio Mané,MID,Liverpool,Everton,90,1,0,2,0,18,1,0,0,0,0,0,13.2,46.2,28.3,57.0,False,6,3.0,3.0,0.0
Sadio Mané,MID,Liverpool,Sheffield Utd,90,0,2,1,0,22,0,0,0,0,0,0,8.9,24.0,30.0,35.0,True,8,3.0,2.0,1.0
Sadio Mané,MID,Liverpool,West Ham,90,0,0,1,0,10,0,0,0,0,0,0,7.3,16.6,29.5,27.0,True,2,3.0,4.0,-1.0
Sadio Mané,MID,Liverpool,Man City,90,0,1,1,0,12,0,0,0,0,0,0,3.1,6.6,12.3,12.0,False,5,3.0,5.0,-2.0
Sadio Mané,MID,Liverpool,Leicester,88,0,0,0,1,-2,0,0,0,0,0,0,11.6,10.8,13.1,92.0,True,3,3.0,4.0,-1.0
Sadio Mané,MID,Liverpool,Brighton,26,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.0,False,1,3.0,3.0,0.0
Sadio Mané,MID,Liverpool,Wolves,90,0,1,0,1,14,0,0,0,0,0,0,6.9,4.2,15.8,49.0,True,6,3.0,3.0,0.0
Sadio Mané,MID,Liverpool,Fulham,90,0,0,1,0,0,0,0,0,0,0,0,1.4,1.0,2.8,10.0,False,2,3.0,2.0,1.0
Sadio Mané,MID,Liverpool,Spurs,90,0,0,1,0,0,0,0,0,0,0,0,10.5,11.8,26.8,66.0,True,2,3.0,4.0,-1.0
