name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Solomon March,MID,Brighton,Chelsea,90,0,0,3,0,16,0,0,0,0,0,0,5.4,15.4,18.2,20.0,True,2,3.0,4.0,-1.0
Solomon March,MID,Brighton,Newcastle,77,0,0,0,1,9,0,0,0,0,0,0,2.3,9.2,13.6,0.0,False,3,3.0,2.0,1.0
Solomon March,MID,Brighton,Man Utd,90,1,0,3,0,31,0,0,0,0,0,0,13.1,47.2,18.2,66.0,True,8,3.0,4.0,-1.0
Solomon March,MID,Brighton,Everton,90,0,1,4,0,25,0,0,0,0,0,0,6.6,29.8,28.1,8.0,False,5,3.0,3.0,0.0
Solomon March,MID,Brighton,Crystal Palace,90,0,0,1,0,17,0,0,0,0,0,0,6.8,15.8,42.2,10.0,False,3,3.0,3.0,0.0
Solomon March,MID,Brighton,West Brom,69,0,0,0,1,5,0,0,0,0,0,0,2.9,4.0,20.6,4.0,True,3,3.0,2.0,1.0
Solomon March,MID,Brighton,Spurs,64,0,0,1,0,10,0,0,0,0,0,0,3.1,6.4,16.7,8.0,False,2,3.0,4.0,-1.0
Solomon March,MID,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Solomon March,MID,Brighton,Aston Villa,90,1,0,1,0,31,0,0,0,0,0,0,7.2,49.4,1.8,21.0,False,9,3.0,3.0,0.0
Solomon March,MID,Brighton,Liverpool,90,0,0,1,0,9,0,0,0,0,0,0,3.0,20.2,1.8,8.0,True,2,3.0,3.0,0.0
Solomon March,MID,Brighton,Southampton,90,0,0,2,0,5,0,0,0,0,0,0,3.0,9.4,16.9,4.0,True,2,3.0,2.0,1.0
Solomon March,MID,Brighton,Leicester,90,0,0,3,0,12,0,0,0,0,0,0,6.9,23.6,25.3,20.0,False,2,3.0,4.0,-1.0
Solomon March,MID,Brighton,Fulham,90,0,0,0,1,8,0,0,0,0,0,0,3.3,9.8,20.8,2.0,False,3,3.0,2.0,1.0
Solomon March,MID,Brighton,Sheffield Utd,90,0,0,1,0,21,0,0,0,0,0,0,11.4,23.4,64.3,26.0,True,4,3.0,2.0,1.0
Solomon March,MID,Brighton,West Ham,90,0,1,2,0,19,0,0,0,0,0,0,3.0,11.2,4.0,15.0,False,5,3.0,4.0,-1.0
Solomon March,MID,Brighton,Arsenal,22,0,0,0,0,8,0,0,0,0,0,0,0.6,6.0,0.4,0.0,True,1,3.0,4.0,-1.0
Solomon March,MID,Brighton,Wolves,90,0,0,3,0,7,0,0,0,0,0,0,8.4,16.4,45.9,22.0,True,2,3.0,3.0,0.0
Solomon March,MID,Brighton,Man City,22,0,0,0,0,2,0,0,0,0,0,0,1.0,10.0,0.4,0.0,False,1,3.0,5.0,-2.0
Solomon March,MID,Brighton,Leeds,90,0,0,0,1,8,0,0,0,0,0,0,2.7,14.0,11.2,2.0,False,3,3.0,3.0,0.0
Solomon March,MID,Brighton,Fulham,90,0,0,0,1,9,0,0,0,0,0,0,7.6,18.6,17.3,40.0,True,3,3.0,2.0,1.0
Solomon March,MID,Brighton,Spurs,90,0,0,0,1,21,0,0,0,0,0,0,8.9,19.6,27.2,42.0,True,3,3.0,4.0,-1.0
Solomon March,MID,Brighton,Liverpool,66,0,0,0,1,10,0,0,0,0,0,0,3.3,9.2,19.4,4.0,False,3,3.0,3.0,0.0
Solomon March,MID,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Solomon March,MID,Brighton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Solomon March,MID,Brighton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Solomon March,MID,Brighton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Solomon March,MID,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Solomon March,MID,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Solomon March,MID,Brighton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Solomon March,MID,Brighton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Solomon March,MID,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Solomon March,MID,Brighton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Solomon March,MID,Brighton,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Solomon March,MID,Brighton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Solomon March,MID,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Solomon March,MID,Brighton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Solomon March,MID,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Solomon March,MID,Brighton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
