name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Thiago Thiago,DEF,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,West Brom,72,0,0,3,0,11,0,0,0,0,0,0,1.4,10.6,2.9,0.0,False,1,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Crystal Palace,90,0,0,0,1,30,0,0,0,0,0,0,4.4,29.4,12.4,2.0,True,6,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Man Utd,90,0,0,0,1,29,0,0,0,0,0,0,3.4,33.2,0.7,0.0,False,7,4.0,4.0,0.0
Thiago Thiago,DEF,Chelsea,Burnley,90,0,0,0,1,30,0,0,0,0,0,0,4.9,31.4,1.0,17.0,False,6,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Sheffield Utd,90,1,0,1,0,24,0,0,0,0,0,0,8.9,55.0,1.0,33.0,True,8,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Spurs,90,0,0,0,1,23,0,0,0,0,0,0,1.6,13.8,1.8,0.0,True,6,4.0,4.0,0.0
Thiago Thiago,DEF,Chelsea,Leeds,90,0,0,1,0,18,0,0,0,0,0,0,3.3,21.6,11.3,0.0,True,2,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,Everton,90,0,0,1,0,14,1,0,0,0,0,0,2.1,20.2,1.2,0.0,False,1,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,Wolves,90,0,0,2,0,15,0,0,0,0,0,0,3.2,29.4,0.8,2.0,False,1,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,West Ham,90,1,0,0,1,46,0,0,0,0,0,0,7.9,56.8,0.9,21.0,True,14,4.0,4.0,0.0
Thiago Thiago,DEF,Chelsea,Arsenal,90,0,0,3,0,6,1,0,0,0,0,0,2.8,17.8,0.4,10.0,False,0,4.0,4.0,0.0
Thiago Thiago,DEF,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,Man City,90,0,0,3,0,15,0,0,0,0,0,0,1.2,11.0,0.8,0.0,True,1,4.0,5.0,-1.0
Thiago Thiago,DEF,Chelsea,Fulham,90,0,0,0,1,30,1,0,0,0,0,0,5.9,27.2,13.9,18.0,False,6,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Leicester,90,0,0,2,0,15,0,0,0,0,0,0,5.5,21.0,1.4,33.0,False,1,4.0,4.0,0.0
Thiago Thiago,DEF,Chelsea,Wolves,90,0,0,0,1,31,0,0,0,0,0,0,3.0,26.0,3.8,0.0,True,9,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,Burnley,90,0,0,0,1,29,0,0,0,0,0,0,3.2,25.2,0.8,6.0,True,7,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Spurs,35,0,0,0,0,10,0,0,0,0,0,0,0.9,6.2,0.4,2.0,False,1,4.0,4.0,0.0
Thiago Thiago,DEF,Chelsea,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Thiago Thiago,DEF,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Thiago Thiago,DEF,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Thiago Thiago,DEF,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
