name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Vicente Guaita,GK,Crystal Palace,Southampton,90,0,0,0,1,31,0,0,0,5,0,0,4.1,41.4,0.0,0.0,True,10,3.0,2.0,1.0
Vicente Guaita,GK,Crystal Palace,Man Utd,90,0,0,1,0,13,0,0,0,3,0,0,1.4,14.4,0.0,0.0,False,3,3.0,4.0,-1.0
Vicente Guaita,GK,Crystal Palace,Everton,90,0,0,2,0,13,0,0,0,3,0,0,2.2,21.8,0.0,0.0,True,2,3.0,3.0,0.0
Vicente Guaita,GK,Crystal Palace,Chelsea,90,0,0,4,0,12,0,0,0,2,0,0,1.7,16.6,0.0,0.0,False,0,3.0,4.0,-1.0
Vicente Guaita,GK,Crystal Palace,Brighton,90,0,0,1,0,11,1,0,0,2,0,0,1.4,13.8,0.0,0.0,True,1,3.0,3.0,0.0
Vicente Guaita,GK,Crystal Palace,Fulham,90,0,0,1,0,9,1,0,0,2,0,0,1.3,13.0,0.0,0.0,False,1,3.0,2.0,1.0
Vicente Guaita,GK,Crystal Palace,Wolves,90,0,0,2,0,15,0,0,0,3,0,0,2.4,23.6,0.0,0.0,False,2,3.0,3.0,0.0
Vicente Guaita,GK,Crystal Palace,Leeds,90,0,0,1,0,12,0,0,0,2,0,0,0.9,9.0,0.0,0.0,True,2,3.0,3.0,0.0
Vicente Guaita,GK,Crystal Palace,Burnley,90,0,0,1,0,18,0,0,0,3,0,0,2.9,29.4,0.0,0.0,False,3,3.0,2.0,1.0
Vicente Guaita,GK,Crystal Palace,Newcastle,90,0,0,2,0,19,0,0,0,5,0,0,2.5,25.2,0.0,0.0,True,2,3.0,2.0,1.0
Vicente Guaita,GK,Crystal Palace,West Brom,90,0,0,1,0,14,0,0,0,3,0,0,2.3,23.4,0.0,0.0,False,3,3.0,2.0,1.0
Vicente Guaita,GK,Crystal Palace,Spurs,90,0,0,1,0,16,0,0,0,5,0,0,3.5,35.0,0.0,0.0,True,3,3.0,4.0,-1.0
Vicente Guaita,GK,Crystal Palace,West Ham,90,0,0,1,0,10,0,0,0,1,0,0,1.0,9.8,0.0,0.0,False,2,3.0,4.0,-1.0
Vicente Guaita,GK,Crystal Palace,Liverpool,90,0,0,7,0,9,0,0,0,0,0,0,0.4,4.2,0.0,0.0,True,-1,3.0,3.0,0.0
Vicente Guaita,GK,Crystal Palace,Aston Villa,90,0,0,3,0,23,0,0,0,7,0,0,4.6,46.0,0.0,0.0,False,3,3.0,3.0,0.0
