name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Aaron Cresswell,DEF,West Ham,Newcastle,90,1,0,2,0,30,0,0,0,0,0,0,9.1,55.8,17.5,18.0,False,7,3.0,3.0,0.0
Aaron Cresswell,DEF,West Ham,Leicester,90,0,0,1,0,12,0,0,0,0,0,0,1.9,8.6,4.2,6.0,True,2,3.0,3.0,0.0
Aaron Cresswell,DEF,West Ham,Crystal Palace,90,0,1,2,0,26,0,0,0,0,0,0,3.9,20.2,17.2,2.0,True,5,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Southampton,90,0,0,0,1,27,0,0,0,0,0,0,4.4,10.0,24.6,9.0,False,8,3.0,3.0,0.0
Aaron Cresswell,DEF,West Ham,Man Utd,90,0,0,2,0,15,0,0,0,0,0,0,4.3,15.4,27.3,0.0,True,1,3.0,4.0,-1.0
Aaron Cresswell,DEF,West Ham,Leeds,90,0,0,1,0,12,0,0,0,0,0,0,5.4,17.2,25.3,11.0,False,2,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Brentford,90,0,0,2,0,16,0,0,0,0,0,0,8.7,22.8,64.0,0.0,True,1,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Everton,90,0,0,0,1,27,0,0,0,0,0,0,2.1,16.0,4.9,0.0,False,7,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Spurs,90,0,1,0,1,36,0,0,0,0,0,0,4.2,26.8,15.6,0.0,True,12,3.0,4.0,-1.0
Aaron Cresswell,DEF,West Ham,Aston Villa,90,0,0,1,0,13,0,0,0,0,0,0,5.1,14.8,28.2,8.0,False,2,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Liverpool,90,0,0,2,0,15,0,0,0,0,0,0,1.7,14.6,2.3,0.0,True,1,3.0,5.0,-2.0
Aaron Cresswell,DEF,West Ham,Wolves,90,0,0,1,0,20,0,0,0,0,0,0,7.1,30.6,40.2,0.0,False,2,3.0,3.0,0.0
Aaron Cresswell,DEF,West Ham,Man City,60,0,0,1,0,8,0,0,0,0,0,0,2.5,11.6,5.6,8.0,False,2,3.0,5.0,-2.0
Aaron Cresswell,DEF,West Ham,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Aaron Cresswell,DEF,West Ham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Aaron Cresswell,DEF,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Aaron Cresswell,DEF,West Ham,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Norwich,90,0,0,0,1,27,0,0,0,0,0,0,4.9,17.2,24.1,8.0,True,6,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Leeds,90,0,1,3,0,36,0,0,0,0,0,0,10.9,38.0,71.1,0.0,True,6,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Man Utd,90,0,0,1,0,7,0,0,0,0,0,0,1.0,8.4,1.3,0.0,False,2,3.0,4.0,-1.0
Aaron Cresswell,DEF,West Ham,Watford,90,0,0,0,1,30,0,0,0,0,0,0,5.0,22.2,25.8,2.0,True,8,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Leicester,90,0,0,2,0,0,1,0,0,0,0,0,2.7,3.8,3.3,20.0,False,0,3.0,3.0,0.0
Aaron Cresswell,DEF,West Ham,Newcastle,90,0,1,1,0,27,0,0,0,0,0,0,6.3,28.6,16.8,18.0,True,8,3.0,3.0,0.0
Aaron Cresswell,DEF,West Ham,Wolves,90,0,0,0,1,27,0,0,0,0,0,0,3.4,15.0,15.6,3.0,True,7,3.0,3.0,0.0
Aaron Cresswell,DEF,West Ham,Liverpool,90,0,0,1,0,9,0,0,0,0,0,0,0.8,6.8,1.0,0.0,False,2,3.0,5.0,-2.0
Aaron Cresswell,DEF,West Ham,Aston Villa,56,0,0,0,0,12,0,0,0,0,0,0,4.3,12.0,29.4,2.0,True,1,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Spurs,90,0,0,3,0,15,0,0,0,0,0,0,4.1,22.0,14.8,4.0,False,1,3.0,4.0,-1.0
Aaron Cresswell,DEF,West Ham,Everton,90,1,0,1,0,20,1,0,0,0,0,0,4.8,36.2,3.3,8.0,True,9,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Brentford,90,0,0,2,0,15,0,0,0,0,0,0,3.9,18.2,16.8,4.0,False,1,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Burnley,90,0,0,1,0,15,0,0,0,0,0,0,5.2,15.0,18.8,18.0,True,2,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Chelsea,90,0,0,1,0,15,0,0,0,0,0,0,1.5,13.0,1.8,0.0,False,2,3.0,4.0,-1.0
Aaron Cresswell,DEF,West Ham,Arsenal,90,0,0,2,0,10,1,0,0,0,0,0,2.1,19.6,1.6,0.0,True,0,3.0,4.0,-1.0
Aaron Cresswell,DEF,West Ham,Norwich,90,0,0,0,1,30,0,0,0,0,0,0,3.8,16.2,19.6,2.0,False,6,3.0,2.0,1.0
Aaron Cresswell,DEF,West Ham,Man City,90,0,0,2,0,12,0,0,0,0,0,0,1.9,18.4,0.4,0.0,True,1,3.0,5.0,-2.0
Aaron Cresswell,DEF,West Ham,Brighton,90,0,0,3,0,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,2.0,1.0
