name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Dan Burn,DEF,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Leicester,20,0,0,0,0,2,0,0,0,0,0,0,0.1,1.2,0.0,0.0,True,1,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Crystal Palace,45,0,0,1,0,9,0,0,0,0,0,0,0.9,8.2,0.3,0.0,False,1,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Arsenal,90,0,0,0,1,20,0,0,0,0,0,0,3.8,19.6,12.5,6.0,True,6,2.0,4.0,-2.0
Dan Burn,DEF,Brighton,Norwich,90,0,0,0,1,19,1,0,0,0,0,0,2.9,23.4,3.9,2.0,False,5,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Man City,56,0,0,3,0,9,0,0,0,0,0,0,1.0,9.8,0.3,0.0,True,0,2.0,5.0,-3.0
Dan Burn,DEF,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Dan Burn,DEF,Brighton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Dan Burn,DEF,Brighton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Southampton,90,0,0,1,0,11,0,0,0,0,0,0,2.5,25.0,0.3,0.0,False,2,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Wolves,90,0,0,1,0,12,1,0,0,0,0,0,3.8,20.2,10.4,7.0,True,1,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Brentford,90,0,0,0,1,30,0,0,0,0,0,0,4.1,22.4,0.6,18.0,True,7,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Chelsea,90,0,0,1,0,9,0,0,0,0,0,0,1.8,13.4,0.4,4.0,False,2,2.0,4.0,-2.0
Dan Burn,DEF,Brighton,Everton,90,1,0,2,0,29,0,0,0,0,0,0,11.4,63.4,0.3,50.0,False,8,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Crystal Palace,90,0,0,1,0,12,0,0,0,0,0,0,3.3,14.2,1.9,17.0,True,2,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Chelsea,90,0,0,1,0,17,1,0,0,0,0,0,2.9,28.4,1.0,0.0,True,1,2.0,4.0,-2.0
Dan Burn,DEF,Brighton,Leicester,90,0,0,1,0,10,1,0,0,0,0,0,3.7,14.8,2.0,20.0,False,1,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Aston Villa,90,0,0,0,1,16,1,0,0,0,0,0,3.3,12.6,0.1,20.0,True,5,2.0,2.0,0.0
Dan Burn,DEF,Brighton,West Ham,90,0,0,1,0,13,1,0,0,0,0,0,3.4,29.4,0.8,4.0,False,1,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Brentford,90,0,0,0,1,26,0,0,0,0,0,0,2.2,20.8,1.3,0.0,False,6,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Brighton,90,0,0,1,0,9,0,0,0,0,0,0,3.0,23.2,0.1,7.0,True,2,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Southampton,90,0,1,1,0,20,0,0,0,0,0,0,6.2,45.8,10.6,6.0,False,5,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Chelsea,90,0,0,1,0,6,0,0,0,0,0,0,1.5,11.0,0.3,4.0,False,2,2.0,4.0,-2.0
Dan Burn,DEF,Brighton,Everton,90,0,0,1,0,13,0,0,0,0,0,0,5.6,24.0,12.0,20.0,False,2,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Spurs,90,0,0,5,0,10,1,0,0,0,0,0,5.0,12.6,1.3,36.0,False,-1,2.0,4.0,-2.0
Dan Burn,DEF,Brighton,Wolves,90,0,0,0,1,27,0,0,0,0,0,0,4.8,16.2,10.7,21.0,True,8,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Leicester,90,0,0,1,0,10,0,0,0,0,0,0,3.9,19.0,10.4,10.0,True,2,2.0,3.0,-1.0
Dan Burn,DEF,Brighton,Crystal Palace,90,0,0,0,1,26,0,0,0,0,0,0,2.3,16.8,0.5,6.0,True,8,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Norwich,90,0,0,0,1,28,0,0,0,0,0,0,2.2,17.6,0.3,4.0,False,6,2.0,2.0,0.0
Dan Burn,DEF,Brighton,Liverpool,90,0,0,1,0,10,0,0,0,0,0,0,2.2,22.0,0.1,0.0,True,2,2.0,5.0,-3.0
Dan Burn,DEF,Brighton,Man City,90,0,0,5,0,13,1,0,0,0,0,0,1.6,16.0,0.2,0.0,False,-1,2.0,5.0,-3.0
Dan Burn,DEF,Brighton,Arsenal,90,0,0,0,1,24,0,0,0,0,0,0,2.2,18.8,1.1,2.0,True,6,2.0,4.0,-2.0
Dan Burn,DEF,Brighton,Burnley,90,0,0,1,0,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2.0,2.0,0.0
