name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jack Stephens,DEF,Southampton,Everton,90,0,0,3,0,6,0,0,0,0,0,0,1.3,10.0,0.5,2.0,False,1,3.0,2.0,1.0
Jack Stephens,DEF,Southampton,Man Utd,90,0,0,1,0,12,1,0,0,0,0,0,2.7,25.4,1.5,0.0,True,1,3.0,4.0,-1.0
Jack Stephens,DEF,Southampton,Newcastle,90,0,0,2,0,16,0,0,0,0,0,0,4.3,17.6,23.1,2.0,False,1,3.0,3.0,0.0
Jack Stephens,DEF,Southampton,West Ham,90,0,0,0,1,26,1,0,0,0,0,0,3.4,33.0,0.5,0.0,True,5,3.0,3.0,0.0
Jack Stephens,DEF,Southampton,Man City,36,0,0,0,0,3,0,0,0,0,0,0,0.5,4.6,0.2,0.0,False,1,3.0,5.0,-2.0
Jack Stephens,DEF,Southampton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jack Stephens,DEF,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Jack Stephens,DEF,Southampton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Jack Stephens,DEF,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Jack Stephens,DEF,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Jack Stephens,DEF,Southampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Jack Stephens,DEF,Southampton,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Jack Stephens,DEF,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
