name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Joël Veltman,DEF,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Joël Veltman,DEF,Brighton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Joël Veltman,DEF,Brighton,Everton,45,0,0,1,0,8,0,0,0,0,0,0,3.5,9.8,22.6,3.0,True,1,2.0,2.0,0.0
Joël Veltman,DEF,Brighton,Brentford,90,0,0,0,1,25,1,0,0,0,0,0,1.3,9.8,3.5,0.0,False,6,2.0,2.0,0.0
Joël Veltman,DEF,Brighton,Leicester,90,0,0,1,0,10,1,0,0,0,0,0,3.1,15.8,15.0,0.0,True,1,2.0,3.0,-1.0
Joël Veltman,DEF,Brighton,Crystal Palace,90,0,1,1,0,27,0,0,0,0,0,0,5.7,40.0,16.7,0.0,False,7,2.0,2.0,0.0
Joël Veltman,DEF,Brighton,Arsenal,90,0,0,0,1,16,1,0,0,0,0,0,2.2,3.4,16.3,2.0,True,5,2.0,4.0,-2.0
Joël Veltman,DEF,Brighton,Norwich,58,0,0,0,0,3,1,0,0,0,0,0,1.4,9.6,2.5,2.0,False,0,2.0,2.0,0.0
Joël Veltman,DEF,Brighton,Man City,90,0,0,4,0,16,0,0,0,0,0,0,2.1,18.4,0.3,2.0,True,0,2.0,5.0,-3.0
Joël Veltman,DEF,Brighton,Liverpool,90,0,0,2,0,12,0,0,0,0,0,0,1.7,15.6,1.0,0.0,False,1,2.0,5.0,-3.0
Joël Veltman,DEF,Brighton,Newcastle,90,0,0,1,0,21,0,0,0,0,0,0,5.1,22.8,27.9,0.0,True,2,2.0,3.0,-1.0
Joël Veltman,DEF,Brighton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Joël Veltman,DEF,Brighton,Leeds,90,0,0,0,1,25,0,0,0,0,0,0,1.6,11.2,2.8,2.0,True,6,2.0,2.0,0.0
Joël Veltman,DEF,Brighton,West Ham,69,0,0,1,0,12,0,0,0,0,0,0,2.3,8.6,2.0,12.0,False,2,2.0,3.0,-1.0
Joël Veltman,DEF,Brighton,Southampton,77,0,0,1,0,10,0,0,0,0,0,0,3.6,17.6,0.5,18.0,False,2,2.0,3.0,-1.0
