name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kurt Zouma,DEF,West Ham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kurt Zouma,DEF,West Ham,Man Utd,90,0,0,2,0,16,0,0,0,0,0,0,3.1,30.4,0.2,0.0,True,1,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Leeds,90,0,0,1,0,13,0,0,0,0,0,0,2.6,23.0,1.2,2.0,False,2,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Brentford,90,0,0,2,0,4,1,0,0,0,0,0,1.9,11.6,0.8,7.0,True,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Everton,90,0,0,0,1,29,0,0,0,0,0,0,2.4,21.2,0.4,2.0,False,8,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Spurs,90,0,0,0,1,25,0,0,0,0,0,0,2.0,17.6,0.3,2.0,True,6,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Aston Villa,90,0,0,1,0,14,0,0,0,0,0,0,1.2,11.4,0.7,0.0,False,2,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Liverpool,90,1,0,2,0,27,0,0,0,0,0,0,9.4,60.2,0.4,33.0,True,7,3.0,5.0,-2.0
Kurt Zouma,DEF,West Ham,Wolves,90,0,0,1,0,14,0,0,0,0,0,0,1.8,15.6,0.3,2.0,False,2,3.0,3.0,0.0
Kurt Zouma,DEF,West Ham,Man City,90,0,0,2,0,10,0,0,0,0,0,0,1.2,11.4,0.5,0.0,False,1,3.0,5.0,-2.0
Kurt Zouma,DEF,West Ham,Brighton,90,0,0,1,0,8,0,0,0,0,0,0,3.1,11.0,0.1,20.0,True,2,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Chelsea,70,0,0,2,0,13,0,0,0,0,0,0,2.7,16.4,10.3,0.0,True,1,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Kurt Zouma,DEF,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kurt Zouma,DEF,West Ham,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kurt Zouma,DEF,West Ham,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
