name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Lewis Dunk,DEF,Brighton,Burnley,90,0,0,1,0,14,0,0,0,0,0,0,2.0,19.6,0.7,0.0,False,2,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Watford,90,0,0,0,1,25,0,0,0,0,0,0,1.2,9.6,0.3,2.0,True,6,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Everton,90,0,0,2,0,17,0,0,0,0,0,0,1.6,14.8,1.5,0.0,True,1,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Brentford,90,0,0,0,1,26,0,0,0,0,0,0,1.4,12.2,1.3,0.0,False,8,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Leicester,90,0,0,1,0,14,0,0,0,0,0,0,1.9,18.6,0.8,0.0,True,2,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Crystal Palace,90,0,0,1,0,16,0,0,0,0,0,0,4.6,26.0,1.1,19.0,False,2,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Arsenal,90,0,0,0,1,29,0,0,0,0,0,0,5.6,17.0,15.3,24.0,True,8,2.0,4.0,-2.0
Lewis Dunk,DEF,Brighton,Norwich,90,0,0,0,1,34,0,0,0,0,0,0,5.9,38.8,0.7,19.0,False,9,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Man City,90,0,0,4,0,15,0,0,0,0,0,0,3.6,32.0,0.3,4.0,True,0,2.0,5.0,-3.0
Lewis Dunk,DEF,Brighton,Liverpool,90,0,0,2,0,17,0,0,0,0,0,0,2.6,23.8,0.4,2.0,False,1,2.0,5.0,-3.0
Lewis Dunk,DEF,Brighton,Newcastle,90,0,0,1,0,15,0,0,0,0,0,0,2.8,25.4,2.8,0.0,True,2,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Aston Villa,90,0,0,2,0,17,0,0,0,0,0,0,2.4,22.6,1.8,0.0,False,1,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Leeds,90,0,0,0,1,24,0,0,0,0,0,0,0.9,8.0,0.9,0.0,True,6,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,West Ham,90,0,0,1,0,11,0,0,0,0,0,0,4.7,24.4,1.7,21.0,False,2,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Lewis Dunk,DEF,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Lewis Dunk,DEF,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Watford,90,0,0,0,1,23,1,0,0,0,0,0,2.0,10.2,1.1,9.0,False,5,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Man Utd,53,0,0,2,0,1,0,1,0,0,0,0,0.7,6.8,0.4,0.0,False,-3,2.0,4.0,-2.0
Lewis Dunk,DEF,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Aston Villa,90,0,0,2,0,19,0,0,0,0,0,0,4.8,28.0,1.5,18.0,True,1,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Newcastle,90,1,0,2,0,26,0,0,0,0,0,0,16.3,54.0,4.8,104.0,False,7,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Liverpool,90,0,0,2,0,14,0,0,0,0,0,0,1.5,15.2,0.1,0.0,True,1,2.0,5.0,-3.0
Lewis Dunk,DEF,Brighton,Spurs,90,0,0,2,0,15,0,0,0,0,0,0,2.4,20.2,2.0,2.0,True,1,2.0,4.0,-2.0
Lewis Dunk,DEF,Brighton,Norwich,90,0,0,0,1,27,0,0,0,0,0,0,4.9,9.8,10.9,28.0,True,6,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,Arsenal,90,0,0,1,0,12,0,0,0,0,0,0,5.4,26.4,10.2,17.0,False,2,2.0,4.0,-2.0
Lewis Dunk,DEF,Brighton,Spurs,90,0,0,0,1,22,1,0,0,0,0,0,3.1,13.0,0.6,17.0,False,5,2.0,4.0,-2.0
Lewis Dunk,DEF,Brighton,Man City,90,0,0,3,0,11,1,0,0,0,0,0,1.8,17.6,0.3,0.0,False,0,2.0,5.0,-3.0
Lewis Dunk,DEF,Brighton,Southampton,90,0,0,2,0,12,0,0,0,0,0,0,4.2,13.4,0.4,28.0,True,1,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Wolves,90,0,0,0,1,28,0,0,0,0,0,0,2.3,20.6,0.7,2.0,False,6,2.0,3.0,-1.0
Lewis Dunk,DEF,Brighton,Man Utd,90,0,0,0,1,26,0,0,0,0,0,0,2.2,12.4,0.3,9.0,True,6,2.0,4.0,-2.0
Lewis Dunk,DEF,Brighton,Leeds,90,0,0,1,0,14,0,0,0,0,0,0,1.4,11.4,0.1,2.0,False,2,2.0,2.0,0.0
Lewis Dunk,DEF,Brighton,West Ham,90,0,0,1,0,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2,2.0,3.0,-1.0
