name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Liam Cooper,DEF,Leeds,Man Utd,90,0,0,5,0,10,1,0,0,0,0,0,3.8,25.4,10.5,2.0,False,-1,2.0,4.0,-2.0
Liam Cooper,DEF,Leeds,Everton,90,0,1,2,0,21,1,0,0,0,0,0,5.0,32.4,11.1,6.0,True,3,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Burnley,90,0,0,1,0,14,0,0,0,0,0,0,2.3,12.8,3.9,6.0,False,2,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Liverpool,90,0,0,3,0,14,1,0,0,0,0,0,3.4,33.6,0.3,0.0,True,0,2.0,5.0,-3.0
Liam Cooper,DEF,Leeds,Newcastle,90,0,0,1,0,19,0,0,0,0,0,0,4.3,32.4,10.5,0.0,False,2,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,West Ham,90,0,0,2,0,16,0,0,0,0,0,0,3.1,30.8,0.6,0.0,True,1,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Watford,90,0,0,0,1,30,0,0,0,0,0,0,1.9,18.6,0.8,0.0,True,7,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Southampton,90,0,0,1,0,14,0,0,0,0,0,0,1.8,18.0,0.3,0.0,False,2,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Wolves,90,0,0,1,0,15,0,0,0,0,0,0,1.9,9.6,1.2,8.0,True,2,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Norwich,90,0,0,1,0,9,0,0,0,0,0,0,1.3,12.8,0.0,0.0,False,2,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Leicester,90,0,0,1,0,17,0,0,0,0,0,0,1.5,14.4,0.2,0.0,True,2,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Spurs,90,0,0,2,0,11,1,0,0,0,0,0,1.6,15.8,0.4,0.0,False,0,2.0,4.0,-2.0
Liam Cooper,DEF,Leeds,Brighton,90,0,0,0,1,23,0,0,0,0,0,0,2.0,19.6,0.0,0.0,False,6,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Crystal Palace,90,0,1,0,1,36,0,0,0,0,0,0,5.2,32.8,0.7,18.0,True,12,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Brentford,14,0,0,0,0,4,0,0,0,0,0,0,0.6,5.2,0.3,0.0,True,1,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Liam Cooper,DEF,Leeds,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Liam Cooper,DEF,Leeds,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Liam Cooper,DEF,Leeds,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Liam Cooper,DEF,Leeds,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Liam Cooper,DEF,Leeds,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Liam Cooper,DEF,Leeds,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Southampton,90,0,0,1,0,15,0,0,0,0,0,0,1.8,17.6,0.3,0.0,True,2,2.0,3.0,-1.0
Liam Cooper,DEF,Leeds,Watford,90,0,0,0,1,26,0,0,0,0,0,0,1.8,17.4,0.3,0.0,False,7,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Crystal Palace,90,0,0,0,1,24,0,0,0,0,0,0,5.9,30.0,10.4,19.0,False,6,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Liam Cooper,DEF,Leeds,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Liam Cooper,DEF,Leeds,Chelsea,90,0,0,3,0,19,0,0,0,0,0,0,2.3,23.2,0.0,0.0,True,1,2.0,4.0,-2.0
Liam Cooper,DEF,Leeds,Brighton,90,0,0,1,0,7,1,0,0,0,0,0,1.2,4.0,1.5,6.0,True,1,2.0,2.0,0.0
Liam Cooper,DEF,Leeds,Brentford,90,0,0,1,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,2.0,2.0,0.0
