name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Matthew Lowton,DEF,Burnley,Brighton,90,0,0,2,0,10,0,0,0,0,0,0,2.9,12.8,15.9,0.0,True,1,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Liverpool,90,0,0,2,0,14,0,0,0,0,0,0,2.3,10.6,12.8,0.0,False,1,2.0,5.0,-3.0
Matthew Lowton,DEF,Burnley,Leeds,90,0,1,1,0,24,0,0,0,0,0,0,6.6,36.4,11.1,18.0,True,6,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Everton,90,0,0,3,0,10,0,0,0,0,0,0,2.5,9.8,15.5,0.0,False,1,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Arsenal,90,0,0,1,0,10,0,0,0,0,0,0,4.9,22.8,25.8,0.0,True,2,2.0,4.0,-2.0
Matthew Lowton,DEF,Burnley,Leicester,90,0,0,2,0,15,0,0,0,0,0,0,5.8,32.4,25.4,0.0,False,1,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,Norwich,90,0,0,0,1,22,1,0,0,0,0,0,3.4,14.8,7.2,12.0,True,5,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Man City,90,0,0,2,0,17,0,0,0,0,0,0,3.4,19.0,15.0,0.0,False,1,2.0,5.0,-3.0
Matthew Lowton,DEF,Burnley,Southampton,90,0,1,2,0,24,0,0,0,0,0,0,5.0,35.4,14.8,0.0,False,4,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,Brentford,90,1,1,1,0,39,0,0,0,0,0,0,10.7,57.6,15.7,34.0,True,14,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Chelsea,90,0,0,1,0,9,0,0,0,0,0,0,1.4,12.4,1.5,0.0,False,2,2.0,4.0,-2.0
Matthew Lowton,DEF,Burnley,Crystal Palace,90,0,0,3,0,5,0,0,0,0,0,0,1.7,8.6,1.3,7.0,True,1,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Wolves,90,0,0,0,1,23,1,0,0,0,0,0,3.2,22.4,1.7,8.0,False,5,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,Newcastle,74,0,0,1,0,14,0,0,0,0,0,0,2.3,12.0,11.2,0.0,False,2,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,West Ham,90,0,0,0,1,26,0,0,0,0,0,0,3.7,18.6,16.2,2.0,True,7,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,Man Utd,90,0,0,3,0,18,0,0,0,0,0,0,3.5,14.8,19.7,0.0,False,1,2.0,4.0,-2.0
Matthew Lowton,DEF,Burnley,Leeds,90,0,0,3,0,12,0,0,0,0,0,0,3.8,12.8,24.9,0.0,False,1,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Matthew Lowton,DEF,Burnley,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Matthew Lowton,DEF,Burnley,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Matthew Lowton,DEF,Burnley,Brighton,1,0,0,0,0,3,0,0,0,0,0,0,0.1,1.0,0.0,0.0,False,1,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Matthew Lowton,DEF,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Matthew Lowton,DEF,Burnley,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Matthew Lowton,DEF,Burnley,Everton,18,0,0,0,0,1,1,0,0,0,0,0,0.4,3.8,0.3,0.0,True,0,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Norwich,90,0,0,2,0,12,0,0,0,0,0,0,6.1,19.6,27.4,14.0,False,1,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,West Ham,61,0,0,0,1,16,0,0,0,0,0,0,0.4,3.2,0.9,0.0,False,6,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,Southampton,3,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.0,True,1,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Matthew Lowton,DEF,Burnley,Watford,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Spurs,77,0,0,1,0,14,0,0,0,0,0,0,2.4,23.2,0.6,0.0,False,2,2.0,4.0,-2.0
Matthew Lowton,DEF,Burnley,Aston Villa,6,0,0,0,0,-7,0,1,0,0,0,0,0.0,0.0,0.0,0.0,False,-2,2.0,2.0,0.0
Matthew Lowton,DEF,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
