name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Tyrone Mings,DEF,Aston Villa,Watford,90,0,0,3,0,12,1,0,0,0,0,0,1.6,15.6,0.8,0.0,False,0,2.0,2.0,0.0
Tyrone Mings,DEF,Aston Villa,Newcastle,90,0,2,0,1,47,0,0,0,0,0,0,8.3,34.4,10.7,38.0,True,15,2.0,3.0,-1.0
Tyrone Mings,DEF,Aston Villa,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Tyrone Mings,DEF,Aston Villa,Chelsea,90,0,0,3,0,2,1,0,0,0,0,0,3.0,0.8,0.6,29.0,False,0,2.0,4.0,-2.0
Tyrone Mings,DEF,Aston Villa,Everton,90,0,0,0,1,24,0,0,0,0,0,0,8.1,28.2,11.3,41.0,True,6,2.0,2.0,0.0
Tyrone Mings,DEF,Aston Villa,Man Utd,90,0,0,0,1,23,0,0,0,0,0,0,3.3,30.8,0.3,2.0,False,7,2.0,4.0,-2.0
Tyrone Mings,DEF,Aston Villa,Spurs,90,0,0,2,0,11,0,0,0,0,0,0,2.8,17.0,0.8,10.0,False,1,2.0,4.0,-2.0
Tyrone Mings,DEF,Aston Villa,Wolves,90,0,0,3,0,13,1,0,0,0,0,0,2.5,22.6,0.1,2.0,True,0,2.0,3.0,-1.0
Tyrone Mings,DEF,Aston Villa,Arsenal,90,0,0,3,0,9,1,0,0,0,0,0,1.2,12.0,0.0,0.0,False,0,2.0,4.0,-2.0
Tyrone Mings,DEF,Aston Villa,West Ham,38,0,0,2,0,2,0,0,0,0,0,0,0.7,2.0,0.8,4.0,True,0,2.0,3.0,-1.0
Tyrone Mings,DEF,Aston Villa,Southampton,90,0,0,1,0,11,0,0,0,0,0,0,4.6,21.4,0.8,24.0,False,2,2.0,3.0,-1.0
Tyrone Mings,DEF,Aston Villa,Brighton,90,1,0,0,1,40,0,0,0,0,0,0,9.7,52.2,0.8,44.0,True,15,2.0,2.0,0.0
