name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Harry Kane,FWD,Spurs,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Harry Kane,FWD,Spurs,Wolves,18,0,0,0,0,-3,1,0,0,0,0,0,3.3,4.4,12.0,17.0,False,0,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Watford,90,0,0,0,1,2,1,0,0,0,0,0,6.4,11.2,24.2,29.0,True,1,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Crystal Palace,90,0,0,3,0,8,0,0,0,0,0,0,1.6,13.8,2.3,0.0,False,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Chelsea,90,0,0,3,0,6,0,0,0,0,0,0,3.0,7.2,3.8,19.0,True,2,4.0,4.0,0.0
Harry Kane,FWD,Spurs,Arsenal,90,0,0,3,0,-6,0,0,0,0,0,0,3.2,0.0,1.4,34.0,False,2,4.0,4.0,0.0
Harry Kane,FWD,Spurs,Aston Villa,90,0,0,1,0,0,0,0,0,0,0,0,9.8,13.6,16.0,68.0,True,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Newcastle,90,1,1,2,0,42,0,0,0,0,0,0,11.7,53.6,28.4,35.0,False,12,4.0,3.0,1.0
Harry Kane,FWD,Spurs,West Ham,90,0,0,1,0,5,0,0,0,0,0,0,3.8,8.0,4.5,25.0,False,2,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Man Utd,90,0,0,3,0,2,0,0,0,0,0,0,3.3,5.2,3.9,24.0,True,2,4.0,4.0,0.0
Harry Kane,FWD,Spurs,Everton,90,0,0,0,1,11,0,0,0,0,0,0,5.3,5.4,19.7,28.0,False,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Leeds,90,0,0,1,0,-2,0,0,0,0,0,0,10.4,17.4,3.9,83.0,True,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Brentford,90,0,0,0,1,14,0,0,0,0,0,0,11.2,15.6,37.5,59.0,True,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Norwich,90,0,0,0,1,-1,0,0,0,0,0,0,3.7,7.4,2.8,27.0,True,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Liverpool,90,1,0,2,0,21,1,0,0,0,0,0,14.9,34.8,11.1,103.0,True,6,4.0,5.0,-1.0
Harry Kane,FWD,Spurs,Crystal Palace,63,1,0,0,1,30,0,0,0,0,0,0,6.2,32.4,6.6,23.0,True,6,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Southampton,90,1,0,1,0,24,0,0,0,0,0,0,10.3,41.2,22.8,39.0,False,6,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Watford,90,0,0,0,1,4,0,0,0,0,0,0,11.3,14.8,17.9,80.0,False,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Leicester,90,1,1,2,0,37,0,0,0,0,0,0,19.6,53.0,26.8,116.0,False,11,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Chelsea,90,0,0,2,0,5,0,0,0,0,0,0,5.4,11.6,25.5,17.0,False,2,4.0,4.0,0.0
Harry Kane,FWD,Spurs,Southampton,90,0,0,3,0,3,0,0,0,0,0,0,4.2,9.8,15.8,16.0,True,2,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Wolves,90,0,0,2,0,7,0,0,0,0,0,0,12.3,15.8,1.5,106.0,True,2,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Man City,90,2,0,2,0,54,0,0,0,0,0,0,16.4,74.8,22.2,67.0,False,13,4.0,5.0,-1.0
Harry Kane,FWD,Spurs,Burnley,90,0,0,1,0,6,0,0,0,0,0,0,4.0,4.6,12.8,23.0,False,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Leeds,90,1,1,0,1,48,0,0,0,0,0,0,15.5,65.6,52.0,37.0,False,11,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Everton,90,2,0,0,1,53,0,0,0,0,0,0,16.2,79.4,20.6,62.0,True,13,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Man Utd,90,1,0,3,0,27,0,0,0,0,0,0,7.4,35.4,7.3,31.0,False,6,4.0,4.0,0.0
Harry Kane,FWD,Spurs,Brighton,90,1,0,0,1,30,0,0,0,0,0,0,12.5,43.6,32.6,49.0,False,8,4.0,2.0,2.0
Harry Kane,FWD,Spurs,West Ham,90,0,3,1,0,34,0,0,0,0,0,0,12.9,41.6,47.0,40.0,True,13,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Newcastle,90,0,1,1,0,18,1,0,0,0,0,0,10.7,18.8,37.3,51.0,True,4,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Aston Villa,90,0,3,0,1,33,1,0,0,0,0,0,11.7,48.6,45.6,23.0,False,10,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Brighton,90,0,0,1,0,11,0,0,0,0,0,0,4.3,10.8,21.6,11.0,True,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Brentford,90,0,0,0,1,3,0,0,0,0,0,0,5.6,8.2,0.8,47.0,False,2,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Leicester,90,1,0,1,0,22,0,0,0,0,0,0,9.9,37.2,7.9,54.0,True,6,4.0,3.0,1.0
Harry Kane,FWD,Spurs,Liverpool,90,0,0,1,0,10,0,0,0,0,0,0,5.3,10.6,20.7,22.0,False,2,4.0,5.0,-1.0
Harry Kane,FWD,Spurs,Arsenal,90,2,0,0,1,57,0,0,0,0,0,0,22.8,71.8,12.3,144.0,True,13,4.0,4.0,0.0
Harry Kane,FWD,Spurs,Burnley,90,1,0,0,1,27,0,0,0,0,0,0,14.3,42.2,8.8,92.0,True,7,4.0,2.0,2.0
Harry Kane,FWD,Spurs,Norwich,90,1,1,0,1,42,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,10,4.0,2.0,2.0
