name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Pierre-Emerick Aubameyang,FWD,Arsenal,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Chelsea,29,0,0,0,0,5,0,0,0,0,0,0,2.5,5.0,1.3,19.0,True,1,4.0,4.0,0.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Man City,58,0,0,4,0,0,0,0,0,0,0,0,0.1,0.0,1.4,0.0,False,1,4.0,5.0,-1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Norwich,90,1,0,0,1,30,0,0,0,0,0,0,16.1,35.8,22.5,103.0,True,9,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Burnley,90,0,0,0,1,6,0,0,0,0,0,0,6.3,7.2,37.4,18.0,False,2,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Spurs,90,1,0,1,0,28,0,0,0,0,0,0,11.7,38.8,3.3,75.0,True,7,4.0,4.0,0.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Brighton,71,0,0,0,1,5,0,0,0,0,0,0,4.0,0.0,2.8,38.0,False,2,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Crystal Palace,90,1,0,2,0,33,0,0,0,0,0,0,9.1,40.0,15.8,35.0,True,9,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Aston Villa,90,1,1,1,0,27,1,0,0,0,1,0,14.9,56.0,24.6,68.0,True,6,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Leicester,90,0,0,0,1,5,0,0,0,0,0,0,7.1,15.8,3.0,52.0,False,2,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Watford,90,0,0,0,1,-6,1,0,0,0,1,0,4.1,4.0,1.8,35.0,True,-1,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Liverpool,90,0,0,4,0,1,0,0,0,0,0,0,3.0,2.4,10.3,17.0,False,2,4.0,5.0,-1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Newcastle,75,0,0,0,1,-7,1,0,0,0,0,0,3.6,0.0,5.8,30.0,True,1,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Man Utd,78,0,0,3,0,3,0,0,0,0,0,0,8.5,12.6,2.1,70.0,False,2,4.0,4.0,0.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Everton,5,0,0,1,0,1,0,0,0,0,0,0,1.9,0.0,0.3,22.0,False,1,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Pierre-Emerick Aubameyang,FWD,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Pierre-Emerick Aubameyang,FWD,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
