name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Alex McCarthy,GK,Southampton,Everton,90,0,0,3,0,16,0,0,0,3,0,0,2.2,22.0,0.0,0.0,False,2,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Man Utd,90,0,0,1,0,12,0,0,0,2,0,0,1.7,17.0,0.0,0.0,True,2,3.0,4.0,-1.0
Alex McCarthy,GK,Southampton,Newcastle,90,0,0,2,0,12,0,0,0,2,0,0,1.8,18.0,0.0,0.0,False,1,3.0,3.0,0.0
Alex McCarthy,GK,Southampton,West Ham,90,0,0,0,1,26,0,0,0,3,0,0,2.9,28.6,0.0,0.0,True,7,3.0,3.0,0.0
Alex McCarthy,GK,Southampton,Man City,90,0,0,0,1,22,0,0,0,1,0,0,1.1,10.6,0.0,0.0,False,6,3.0,5.0,-2.0
Alex McCarthy,GK,Southampton,Wolves,90,0,0,1,0,12,0,0,0,2,0,0,1.9,19.4,0.0,0.0,True,2,3.0,3.0,0.0
Alex McCarthy,GK,Southampton,Chelsea,90,0,0,3,0,20,0,0,0,6,0,0,4.7,46.8,0.0,0.0,False,3,3.0,4.0,-1.0
Alex McCarthy,GK,Southampton,Leeds,90,0,0,0,1,17,1,0,0,0,0,0,0.6,5.6,0.0,0.0,True,5,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Burnley,90,0,0,2,0,15,0,0,0,3,0,0,2.4,23.8,0.0,0.0,True,2,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Watford,90,0,0,0,1,28,0,0,0,3,0,0,2.0,20.2,0.0,0.0,False,8,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Aston Villa,90,0,0,0,1,26,0,0,0,3,0,0,2.1,20.8,0.0,0.0,True,9,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Norwich,90,0,0,2,0,12,0,0,0,2,0,0,1.4,14.0,0.0,0.0,False,1,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Liverpool,90,0,0,4,0,11,0,0,0,2,0,0,1.0,10.4,0.0,0.0,False,0,3.0,5.0,-2.0
Alex McCarthy,GK,Southampton,Leicester,90,0,0,2,0,17,0,0,0,4,0,0,4.2,31.6,10.0,0.0,True,2,3.0,3.0,0.0
Alex McCarthy,GK,Southampton,Brighton,90,0,0,1,0,14,0,0,0,3,0,0,1.7,17.0,0.0,0.0,True,3,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Alex McCarthy,GK,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Alex McCarthy,GK,Southampton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Alex McCarthy,GK,Southampton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Alex McCarthy,GK,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Alex McCarthy,GK,Southampton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Alex McCarthy,GK,Southampton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Alex McCarthy,GK,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Alex McCarthy,GK,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Alex McCarthy,GK,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Alex McCarthy,GK,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Alex McCarthy,GK,Southampton,Liverpool,90,0,0,2,0,15,0,0,0,3,0,0,1.4,14.4,0.0,0.0,True,2,3.0,5.0,-2.0
