name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Aaron Lennon,MID,Burnley,Leeds,27,0,0,1,0,-2,1,0,0,0,0,0,0.5,4.6,0.5,0.0,True,0,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Everton,14,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.1,0.0,False,1,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Aaron Lennon,MID,Burnley,Leicester,3,0,0,0,0,4,0,0,0,0,0,0,0.2,0.0,0.3,2.0,False,1,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,Norwich,59,0,0,0,0,2,0,0,0,0,0,0,3.4,4.0,1.6,28.0,True,1,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Aaron Lennon,MID,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Aaron Lennon,MID,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Wolves,5,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,West Ham,2,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.1,0.0,True,1,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,Man Utd,73,1,0,3,0,19,0,0,0,0,0,0,6.7,41.6,1.3,24.0,False,7,2.0,4.0,-2.0
Aaron Lennon,MID,Burnley,Leeds,79,0,0,2,0,3,0,0,0,0,0,0,0.4,1.2,1.2,2.0,False,2,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Arsenal,90,0,0,0,1,6,0,0,0,0,0,0,0.8,6.4,1.8,0.0,False,3,2.0,4.0,-2.0
Aaron Lennon,MID,Burnley,Watford,65,0,0,0,1,1,0,0,0,0,0,0,1.0,4.8,1.5,4.0,True,3,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Man Utd,21,0,0,0,0,5,0,0,0,0,0,0,0.3,2.4,0.8,0.0,True,1,2.0,4.0,-2.0
Aaron Lennon,MID,Burnley,Liverpool,90,0,0,1,0,13,0,0,0,0,0,0,3.7,11.6,25.3,0.0,True,2,2.0,5.0,-3.0
Aaron Lennon,MID,Burnley,Brighton,90,1,0,0,1,25,1,0,0,0,0,0,6.3,43.0,1.0,19.0,False,8,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Spurs,90,0,0,0,1,2,0,0,0,0,0,0,0.3,0.0,1.1,2.0,True,3,2.0,4.0,-2.0
Aaron Lennon,MID,Burnley,Crystal Palace,90,0,1,1,0,11,0,0,0,0,0,0,1.7,9.2,2.5,5.0,False,5,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Leicester,90,0,0,2,0,6,0,0,0,0,0,0,3.5,8.6,4.8,22.0,True,2,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,Chelsea,90,0,0,4,0,8,0,0,0,0,0,0,2.2,7.8,12.6,2.0,True,2,2.0,4.0,-2.0
Aaron Lennon,MID,Burnley,Brentford,90,0,0,2,0,12,0,0,0,0,0,0,0.8,3.6,2.8,2.0,False,2,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Man City,90,0,0,2,0,7,0,0,0,0,0,0,2.2,4.8,14.7,2.0,True,2,2.0,5.0,-3.0
Aaron Lennon,MID,Burnley,Everton,84,0,0,2,0,0,0,0,0,0,0,0,4.0,4.4,23.3,12.0,True,2,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Norwich,63,0,0,1,0,11,0,0,0,0,0,0,2.9,8.6,12.7,8.0,False,2,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,Southampton,24,0,0,0,0,3,0,0,0,0,0,0,0.5,0.2,0.3,4.0,True,1,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,Wolves,19,0,0,0,0,3,0,0,0,0,0,0,5.7,8.4,10.8,38.0,True,1,2.0,3.0,-1.0
Aaron Lennon,MID,Burnley,Watford,88,0,0,1,0,9,0,0,0,0,0,0,5.4,9.8,13.0,31.0,False,2,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Aston Villa,65,0,0,3,0,5,0,0,0,0,0,0,0.4,0.0,1.8,4.0,True,2,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Spurs,12,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,1,2.0,4.0,-2.0
Aaron Lennon,MID,Burnley,Aston Villa,11,0,0,0,0,3,0,0,0,0,0,0,1.2,5.0,0.0,7.0,False,1,2.0,2.0,0.0
Aaron Lennon,MID,Burnley,Newcastle,17,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,3.0,-1.0
