name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Allan Marques Loureiro,MID,Everton,Southampton,90,0,0,1,0,6,0,0,0,0,0,0,2.0,11.4,2.0,7.0,True,2,2.0,3.0,-1.0
Allan Marques Loureiro,MID,Everton,Leeds,90,0,0,2,0,15,0,0,0,0,0,0,5.3,30.8,22.3,0.0,False,2,2.0,2.0,0.0
Allan Marques Loureiro,MID,Everton,Brighton,90,0,1,0,1,32,0,0,0,0,0,0,7.7,40.2,36.9,0.0,False,8,2.0,2.0,0.0
Allan Marques Loureiro,MID,Everton,Burnley,90,0,0,1,0,14,0,0,0,0,0,0,1.5,11.8,3.1,0.0,True,2,2.0,2.0,0.0
Allan Marques Loureiro,MID,Everton,Aston Villa,72,0,0,2,0,5,0,0,0,0,0,0,1.3,11.6,1.2,0.0,False,2,2.0,2.0,0.0
Allan Marques Loureiro,MID,Everton,Norwich,90,0,1,0,1,18,0,0,0,0,0,0,1.1,5.8,1.5,4.0,True,6,2.0,2.0,0.0
Allan Marques Loureiro,MID,Everton,Man Utd,90,0,0,1,0,10,0,0,0,0,0,0,1.2,11.0,0.9,0.0,False,2,2.0,4.0,-2.0
Allan Marques Loureiro,MID,Everton,West Ham,90,0,0,1,0,18,0,0,0,0,0,0,2.6,20.2,5.3,0.0,True,2,2.0,3.0,-1.0
Allan Marques Loureiro,MID,Everton,Watford,90,0,0,5,0,13,1,0,0,0,0,0,4.8,9.8,12.3,26.0,True,1,2.0,2.0,0.0
Allan Marques Loureiro,MID,Everton,Wolves,90,0,0,2,0,9,0,0,0,0,0,0,1.3,9.6,3.2,0.0,False,2,2.0,3.0,-1.0
Allan Marques Loureiro,MID,Everton,Spurs,81,0,0,0,1,19,0,0,0,0,0,0,5.7,18.4,38.6,0.0,True,3,2.0,4.0,-2.0
Allan Marques Loureiro,MID,Everton,Man City,89,0,0,3,0,9,0,0,0,0,0,0,0.8,7.2,1.1,0.0,False,2,2.0,5.0,-3.0
Allan Marques Loureiro,MID,Everton,Brentford,90,0,0,1,0,11,0,0,0,0,0,0,3.9,22.2,14.3,2.0,False,2,2.0,2.0,0.0
Allan Marques Loureiro,MID,Everton,Liverpool,90,0,0,4,0,14,1,0,0,0,0,0,1.4,12.4,1.7,0.0,True,1,2.0,5.0,-3.0
