name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Frank Onyeka,MID,Brentford,Arsenal,79,0,0,0,1,9,0,0,0,0,0,0,2.5,5.4,15.5,4.0,True,3,2.0,4.0,-2.0
Frank Onyeka,MID,Brentford,Crystal Palace,69,0,0,0,1,6,0,0,0,0,0,0,5.4,14.4,12.8,27.0,False,3,2.0,2.0,0.0
Frank Onyeka,MID,Brentford,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Frank Onyeka,MID,Brentford,Brighton,15,0,0,1,0,4,0,0,0,0,0,0,0.3,2.2,0.3,0.0,True,1,2.0,2.0,0.0
Frank Onyeka,MID,Brentford,Wolves,22,0,0,0,0,3,0,0,0,0,0,0,1.9,1.0,0.0,18.0,False,1,2.0,3.0,-1.0
Frank Onyeka,MID,Brentford,Liverpool,67,0,0,3,0,2,1,0,0,0,0,0,0.9,0.6,0.5,8.0,True,1,2.0,5.0,-3.0
Frank Onyeka,MID,Brentford,West Ham,81,0,0,1,0,7,0,0,0,0,0,0,1.1,10.0,0.9,0.0,False,2,2.0,3.0,-1.0
Frank Onyeka,MID,Brentford,Chelsea,66,0,0,1,0,4,0,0,0,0,0,0,0.3,1.8,1.0,0.0,True,2,2.0,4.0,-2.0
Frank Onyeka,MID,Brentford,Leicester,75,0,0,2,0,19,0,0,0,0,0,0,3.2,9.0,19.4,4.0,True,2,2.0,3.0,-1.0
Frank Onyeka,MID,Brentford,Burnley,57,0,0,3,0,4,0,0,0,0,0,0,1.2,1.0,3.4,8.0,False,1,2.0,2.0,0.0
Frank Onyeka,MID,Brentford,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Frank Onyeka,MID,Brentford,Newcastle,31,0,1,1,0,9,0,0,0,0,0,0,0.6,0.0,1.1,6.0,False,4,2.0,3.0,-1.0
Frank Onyeka,MID,Brentford,Everton,90,0,1,0,1,13,1,0,0,0,0,0,1.0,4.4,2.0,4.0,True,5,2.0,2.0,0.0
Frank Onyeka,MID,Brentford,Spurs,55,0,0,1,0,3,0,0,0,0,0,0,0.4,3.2,0.6,0.0,False,1,2.0,4.0,-2.0
Frank Onyeka,MID,Brentford,Leeds,21,0,0,1,0,3,0,0,0,0,0,0,0.2,1.4,0.2,0.0,False,1,2.0,2.0,0.0
Frank Onyeka,MID,Brentford,Watford,13,0,0,0,0,-1,1,0,0,0,0,0,1.7,0.0,0.7,18.0,True,0,2.0,2.0,0.0
