name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Luis Díaz,MID,Liverpool,Leicester,89,0,0,0,1,7,0,0,0,0,0,0,7.9,11.2,17.5,50.0,True,3,5.0,3.0,2.0
Luis Díaz,MID,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Luis Díaz,MID,Liverpool,Norwich,89,1,0,1,0,32,0,0,0,0,0,0,17.2,43.0,56.2,73.0,True,9,5.0,2.0,3.0
Luis Díaz,MID,Liverpool,Leeds,84,0,0,0,1,16,0,0,0,0,0,0,9.4,14.6,26.1,53.0,True,3,5.0,2.0,3.0
Luis Díaz,MID,Liverpool,West Ham,90,0,0,0,1,7,0,0,0,0,0,0,8.0,1.0,17.7,61.0,True,3,5.0,3.0,2.0
Luis Díaz,MID,Liverpool,Brighton,90,1,0,0,1,24,0,0,0,0,0,0,11.3,40.4,24.1,48.0,False,8,5.0,2.0,3.0
Luis Díaz,MID,Liverpool,Arsenal,55,0,0,0,0,5,0,0,0,0,0,0,0.6,4.6,1.3,0.0,False,1,5.0,4.0,1.0
Luis Díaz,MID,Liverpool,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Luis Díaz,MID,Liverpool,Man City,20,0,0,0,0,6,0,0,0,0,0,0,0.3,2.2,1.1,0.0,False,1,5.0,5.0,0.0
Luis Díaz,MID,Liverpool,Man Utd,69,1,1,0,1,39,0,0,0,0,0,0,12.6,53.0,17.0,56.0,True,12,5.0,4.0,1.0
Luis Díaz,MID,Liverpool,Everton,30,0,1,0,0,15,0,0,0,0,0,0,7.7,21.6,16.0,39.0,True,4,5.0,2.0,3.0
Luis Díaz,MID,Liverpool,Newcastle,90,0,0,0,1,11,0,0,0,0,0,0,11.8,15.6,30.8,72.0,False,3,5.0,3.0,2.0
Luis Díaz,MID,Liverpool,Spurs,90,1,0,1,0,34,0,0,0,0,0,0,12.2,45.4,20.5,56.0,True,10,5.0,4.0,1.0
Luis Díaz,MID,Liverpool,Aston Villa,71,0,1,1,0,19,0,0,0,0,0,0,6.1,21.2,17.3,22.0,False,5,5.0,2.0,3.0
Luis Díaz,MID,Liverpool,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Luis Díaz,MID,Liverpool,Wolves,90,0,0,1,0,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2,5.0,3.0,2.0
