name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mathias Jensen,MID,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Mathias Jensen,MID,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Aston Villa,10,0,0,0,0,5,0,0,0,0,0,0,2.9,4.2,24.3,0.0,False,1,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Brighton,22,0,0,1,0,4,0,0,0,0,0,0,0.8,6.8,1.3,0.0,True,1,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Mathias Jensen,MID,Brentford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Mathias Jensen,MID,Brentford,West Ham,61,0,0,1,0,14,0,0,0,0,0,0,4.9,12.2,18.4,18.0,False,2,2.0,3.0,-1.0
Mathias Jensen,MID,Brentford,Chelsea,90,0,0,1,0,10,0,0,0,0,0,0,3.4,10.8,17.2,6.0,True,2,2.0,4.0,-2.0
Mathias Jensen,MID,Brentford,Leicester,90,0,1,2,0,24,0,0,0,0,0,0,8.3,30.2,53.2,0.0,True,7,2.0,3.0,-1.0
Mathias Jensen,MID,Brentford,Burnley,67,0,0,3,0,15,0,0,0,0,0,0,3.7,9.0,25.7,2.0,False,2,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Norwich,90,0,0,2,0,23,0,0,0,0,0,0,14.1,25.0,104.0,12.0,True,2,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Mathias Jensen,MID,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Spurs,20,0,0,0,0,3,0,0,0,0,0,0,0.3,1.8,1.2,0.0,False,1,2.0,4.0,-2.0
Mathias Jensen,MID,Brentford,Leeds,1,0,0,1,0,3,0,0,0,0,0,0,0.1,0.2,0.3,0.0,False,1,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Watford,68,0,0,1,0,11,0,0,0,0,0,0,0.8,5.4,2.4,0.0,True,2,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Brighton,45,0,0,2,0,4,0,0,0,0,0,0,1.4,3.8,10.4,0.0,False,1,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Man City,90,0,0,1,0,4,0,0,0,0,0,0,1.3,6.2,4.5,2.0,True,2,2.0,5.0,-3.0
Mathias Jensen,MID,Brentford,Aston Villa,60,0,0,1,0,8,0,0,0,0,0,0,3.9,5.4,29.3,4.0,True,2,2.0,2.0,0.0
Mathias Jensen,MID,Brentford,Southampton,22,0,0,1,0,8,0,0,0,0,0,0,2.0,5.8,14.4,0.0,False,1,2.0,3.0,-1.0
Mathias Jensen,MID,Brentford,Liverpool,15,0,0,1,0,4,0,0,0,0,0,0,1.2,2.2,10.2,0.0,False,1,2.0,5.0,-3.0
