name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Pablo Fornals,MID,West Ham,Newcastle,90,0,1,2,0,24,0,0,0,0,0,0,11.1,37.6,48.9,24.0,False,5,3.0,3.0,0.0
Pablo Fornals,MID,West Ham,Leicester,90,1,0,1,0,34,0,0,0,0,0,0,11.0,45.6,43.8,21.0,True,8,3.0,3.0,0.0
Pablo Fornals,MID,West Ham,Crystal Palace,86,1,0,2,0,25,0,0,0,0,0,0,9.4,37.6,17.3,39.0,True,7,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Southampton,90,0,0,0,1,11,0,0,0,0,0,0,2.0,11.2,8.3,0.0,False,3,3.0,3.0,0.0
Pablo Fornals,MID,West Ham,Man Utd,90,0,0,2,0,2,0,0,0,0,0,0,4.3,6.8,23.5,13.0,True,2,3.0,4.0,-1.0
Pablo Fornals,MID,West Ham,Leeds,77,0,0,1,0,2,1,0,0,0,0,0,5.6,11.8,23.0,21.0,False,1,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Brentford,90,0,0,2,0,6,0,0,0,0,0,0,4.1,8.0,4.8,28.0,True,2,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Everton,90,0,0,0,1,5,1,0,0,0,0,0,5.1,1.6,5.3,44.0,False,2,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Spurs,90,0,0,0,1,23,0,0,0,0,0,0,10.6,26.8,42.2,37.0,True,3,3.0,4.0,-1.0
Pablo Fornals,MID,West Ham,Aston Villa,90,1,0,1,0,21,1,0,0,0,0,0,10.6,38.2,26.8,41.0,False,6,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Liverpool,90,1,1,2,0,37,0,0,0,0,0,0,7.5,42.0,25.8,7.0,True,12,3.0,5.0,-2.0
Pablo Fornals,MID,West Ham,Wolves,58,0,0,1,0,3,0,0,0,0,0,0,0.6,4.2,1.4,0.0,False,1,3.0,3.0,0.0
Pablo Fornals,MID,West Ham,Man City,90,0,0,2,0,16,0,0,0,0,0,0,2.6,13.0,13.4,0.0,False,2,3.0,5.0,-2.0
Pablo Fornals,MID,West Ham,Brighton,76,0,1,0,1,20,0,0,0,0,0,0,5.5,22.0,24.8,8.0,True,6,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Chelsea,19,0,0,0,0,1,0,0,0,0,0,0,0.1,0.8,0.4,0.0,True,1,3.0,4.0,-1.0
Pablo Fornals,MID,West Ham,Burnley,10,0,0,0,0,3,0,0,0,0,0,0,0.4,2.6,1.8,0.0,False,1,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Arsenal,83,0,0,1,0,10,0,0,0,0,0,0,1.1,3.8,6.3,1.0,False,2,3.0,4.0,-1.0
Pablo Fornals,MID,West Ham,Southampton,45,0,0,1,0,4,0,0,0,0,0,0,0.4,0.4,1.9,2.0,True,1,3.0,3.0,0.0
Pablo Fornals,MID,West Ham,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Norwich,90,0,0,0,1,11,0,0,0,0,0,0,8.8,15.0,63.1,10.0,True,3,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Leeds,68,1,0,3,0,31,0,0,0,0,0,0,11.4,44.6,33.9,35.0,True,8,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Man Utd,90,0,0,1,0,14,0,0,0,0,0,0,2.7,4.6,3.8,19.0,False,2,3.0,4.0,-1.0
Pablo Fornals,MID,West Ham,Watford,90,0,0,0,1,13,0,0,0,0,0,0,1.5,11.0,4.2,0.0,True,3,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Leicester,78,0,0,2,0,11,0,0,0,0,0,0,4.2,10.6,23.5,8.0,False,2,3.0,3.0,0.0
Pablo Fornals,MID,West Ham,Newcastle,90,0,0,1,0,4,1,0,0,0,0,0,4.0,6.6,7.3,26.0,True,1,3.0,3.0,0.0
Pablo Fornals,MID,West Ham,Wolves,90,0,0,0,1,20,0,0,0,0,0,0,5.1,18.2,28.2,5.0,True,3,3.0,3.0,0.0
Pablo Fornals,MID,West Ham,Liverpool,90,0,0,1,0,6,0,0,0,0,0,0,6.7,11.2,16.3,39.0,False,2,3.0,5.0,-2.0
Pablo Fornals,MID,West Ham,Aston Villa,90,1,0,1,0,28,0,0,0,0,0,0,8.0,40.6,17.3,22.0,True,8,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Spurs,34,0,0,1,0,11,0,0,0,0,0,0,2.6,7.6,18.8,0.0,False,1,3.0,4.0,-1.0
Pablo Fornals,MID,West Ham,Everton,90,0,0,1,0,11,0,0,0,0,0,0,4.5,4.4,12.8,28.0,True,2,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Brentford,90,0,0,2,0,13,0,0,0,0,0,0,3.7,14.4,18.3,4.0,False,2,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Burnley,11,0,0,0,0,4,0,0,0,0,0,0,2.7,4.0,20.6,2.0,True,1,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Chelsea,90,0,0,1,0,12,0,0,0,0,0,0,3.1,7.0,24.1,0.0,False,2,3.0,4.0,-1.0
Pablo Fornals,MID,West Ham,Arsenal,90,0,0,2,0,8,0,0,0,0,0,0,6.5,11.6,31.4,22.0,True,2,3.0,4.0,-1.0
Pablo Fornals,MID,West Ham,Norwich,90,0,0,0,1,6,0,0,0,0,0,0,6.5,9.8,33.3,22.0,False,3,3.0,2.0,1.0
Pablo Fornals,MID,West Ham,Man City,90,0,1,2,0,23,0,0,0,0,0,0,6.2,33.8,27.8,0.0,True,5,3.0,5.0,-2.0
Pablo Fornals,MID,West Ham,Brighton,80,0,0,2,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2,3.0,2.0,1.0
