name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Youri Tielemans,MID,Leicester,Wolves,90,0,0,0,1,23,0,0,0,0,0,0,5.8,33.4,17.8,7.0,True,3,3.0,3.0,0.0
Youri Tielemans,MID,Leicester,West Ham,90,1,0,4,0,28,0,0,0,0,0,0,8.4,43.0,5.8,35.0,False,7,3.0,3.0,0.0
Youri Tielemans,MID,Leicester,Norwich,90,0,0,1,0,12,0,0,0,0,0,0,3.8,20.6,14.0,3.0,False,2,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Man City,90,0,0,1,0,6,0,0,0,0,0,0,0.7,6.2,0.5,0.0,True,2,3.0,5.0,-2.0
Youri Tielemans,MID,Leicester,Brighton,90,0,1,2,0,25,0,0,0,0,0,0,9.1,29.0,36.1,26.0,False,5,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Burnley,90,0,1,2,0,31,0,0,0,0,0,0,14.3,35.4,69.8,38.0,True,7,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Crystal Palace,90,0,0,2,0,10,1,0,0,0,0,0,3.9,16.6,14.9,7.0,False,1,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Man Utd,90,1,0,2,0,40,0,0,0,0,0,0,12.7,57.6,39.8,30.0,True,10,3.0,4.0,-1.0
Youri Tielemans,MID,Leicester,Brentford,90,1,0,1,0,39,0,0,0,0,0,0,10.5,56.4,41.1,7.0,False,10,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Arsenal,90,0,0,2,0,26,0,0,0,0,0,0,11.9,28.8,71.8,18.0,True,2,3.0,4.0,-1.0
Youri Tielemans,MID,Leicester,Leeds,76,0,0,1,0,6,0,0,0,0,0,0,5.4,8.8,19.9,25.0,False,2,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Youri Tielemans,MID,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Youri Tielemans,MID,Leicester,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Newcastle,90,2,0,0,1,54,0,0,0,0,0,0,13.2,86.8,3.5,42.0,True,16,3.0,3.0,0.0
Youri Tielemans,MID,Leicester,Man City,70,0,0,5,0,1,0,0,0,0,0,0,0.2,0.0,10.4,0.0,False,2,3.0,5.0,-2.0
Youri Tielemans,MID,Leicester,Liverpool,34,0,0,0,0,0,0,0,0,0,0,0,0.7,6.4,1.0,0.0,True,1,3.0,5.0,-2.0
Youri Tielemans,MID,Leicester,Spurs,90,0,0,3,0,13,0,0,0,0,0,0,2.2,6.8,4.8,10.0,True,2,3.0,4.0,-1.0
Youri Tielemans,MID,Leicester,Brighton,90,0,0,1,0,16,0,0,0,0,0,0,8.9,30.8,24.4,34.0,True,2,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Liverpool,30,0,0,1,0,5,0,0,0,0,0,0,1.2,11.0,0.8,0.0,False,1,3.0,5.0,-2.0
Youri Tielemans,MID,Leicester,West Ham,89,1,0,1,0,31,0,0,0,0,0,0,8.4,42.2,19.6,22.0,True,9,3.0,3.0,0.0
Youri Tielemans,MID,Leicester,Wolves,90,0,0,2,0,12,0,0,0,0,0,0,8.2,15.6,32.3,34.0,False,2,3.0,3.0,0.0
Youri Tielemans,MID,Leicester,Burnley,71,0,0,0,1,12,0,0,0,0,0,0,2.8,6.8,12.4,9.0,False,3,3.0,2.0,1.0
Youri Tielemans,MID,Leicester,Leeds,90,0,0,0,1,8,0,0,0,0,0,0,1.9,7.8,1.8,9.0,True,3,3.0,2.0,1.0
