name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Andrew Robertson,DEF,Liverpool,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Chelsea,85,0,0,1,0,12,0,0,0,0,0,0,8.8,17.8,56.7,13.0,True,2,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Leeds,90,0,0,0,1,30,0,0,0,0,0,0,7.0,16.8,46.8,6.0,False,7,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Brentford,90,0,1,3,0,19,1,0,0,0,0,0,6.1,27.0,25.0,9.0,False,3,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Man City,90,0,0,2,0,16,0,0,0,0,0,0,2.2,21.0,1.4,0.0,True,1,5.0,5.0,0.0
Andrew Robertson,DEF,Liverpool,Watford,63,0,0,0,1,24,0,0,0,0,0,0,3.4,12.2,17.5,4.0,False,6,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Man Utd,90,0,0,0,1,27,0,0,0,0,0,0,3.3,19.8,9.0,4.0,False,6,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Brighton,90,0,0,2,0,12,1,0,0,0,0,0,3.0,11.8,12.6,6.0,True,0,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,West Ham,90,0,0,3,0,17,0,0,0,0,0,0,4.9,8.8,21.9,18.0,False,1,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Southampton,90,0,1,0,1,45,0,0,0,0,0,0,9.4,37.0,53.0,4.0,True,12,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Everton,90,0,2,1,0,35,1,0,0,0,0,0,9.2,51.6,36.7,4.0,False,7,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Wolves,90,0,0,0,1,21,1,0,0,0,0,0,4.3,10.4,21.0,12.0,False,5,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Aston Villa,90,0,0,0,1,28,0,0,0,0,0,0,12.1,26.4,61.8,33.0,True,8,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Newcastle,90,0,0,1,0,10,0,0,0,0,0,0,3.9,5.0,20.0,14.0,True,2,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Spurs,76,1,1,2,0,26,0,1,0,0,0,0,13.3,57.0,34.6,41.0,False,9,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Brentford,90,0,1,0,1,45,0,0,0,0,0,0,10.1,34.4,42.4,24.0,True,12,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Crystal Palace,90,0,2,1,0,35,0,0,0,0,0,0,11.0,47.0,48.1,15.0,False,11,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Leicester,90,0,0,0,1,28,0,0,0,0,0,0,5.6,14.8,37.4,4.0,True,6,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Burnley,90,0,0,0,1,30,0,0,0,0,0,0,5.9,13.8,30.8,14.0,False,7,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Leeds,90,0,2,0,1,48,0,0,0,0,0,0,10.7,33.2,53.0,21.0,True,13,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,West Ham,90,0,0,0,1,28,0,0,0,0,0,0,7.6,26.2,41.3,8.0,True,6,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Brighton,90,0,0,0,1,21,0,0,0,0,0,0,3.1,9.4,13.4,8.0,False,6,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Arsenal,90,0,1,0,1,41,0,0,0,0,0,0,8.2,41.6,30.5,10.0,False,12,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Watford,90,0,0,0,1,26,0,0,0,0,0,0,4.0,11.6,25.1,3.0,True,6,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Man City,90,0,0,2,0,6,1,0,0,0,0,0,2.4,10.4,9.6,4.0,False,0,5.0,5.0,0.0
Andrew Robertson,DEF,Liverpool,Man Utd,90,0,0,0,1,28,0,0,0,0,0,0,6.4,17.6,44.1,2.0,True,6,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Everton,90,1,0,0,1,42,0,0,0,0,0,0,9.8,44.8,26.1,27.0,True,15,5.0,2.0,3.0
