name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Craig Dawson,DEF,West Ham,Newcastle,90,0,0,2,0,16,0,0,0,0,0,0,4.4,22.6,1.1,20.0,False,1,3.0,3.0,0.0
Craig Dawson,DEF,West Ham,Leicester,90,0,0,1,0,7,0,0,0,0,0,0,4.1,3.0,10.8,27.0,True,2,3.0,3.0,0.0
Craig Dawson,DEF,West Ham,Crystal Palace,90,0,0,2,0,17,0,0,0,0,0,0,6.3,26.6,0.8,36.0,True,1,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Southampton,90,0,0,0,1,26,0,0,0,0,0,0,4.8,29.0,1.6,17.0,False,6,3.0,3.0,0.0
Craig Dawson,DEF,West Ham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Craig Dawson,DEF,West Ham,Leeds,1,0,0,0,0,4,0,0,0,0,0,0,0.3,3.0,0.0,0.0,False,1,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Everton,11,0,0,0,0,5,0,0,0,0,0,0,0.5,2.6,0.1,2.0,False,1,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Spurs,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.2,0.0,True,1,3.0,4.0,-1.0
Craig Dawson,DEF,West Ham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Liverpool,68,0,0,2,0,13,0,0,0,0,0,0,5.5,30.8,0.3,24.0,True,1,3.0,5.0,-2.0
Craig Dawson,DEF,West Ham,Wolves,90,0,0,1,0,10,0,0,0,0,0,0,1.9,11.6,1.3,6.0,False,2,3.0,3.0,0.0
Craig Dawson,DEF,West Ham,Man City,90,0,0,2,0,16,0,0,0,0,0,0,2.9,28.6,0.3,0.0,False,1,3.0,5.0,-2.0
Craig Dawson,DEF,West Ham,Brighton,90,0,0,1,0,7,0,0,0,0,0,0,1.1,4.8,0.1,6.0,True,2,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Chelsea,90,0,0,2,0,14,0,0,0,0,0,0,4.7,28.0,0.3,19.0,True,1,3.0,4.0,-1.0
Craig Dawson,DEF,West Ham,Burnley,90,0,0,0,1,13,1,0,0,0,0,0,1.5,14.4,0.2,0.0,False,5,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Arsenal,90,0,0,2,0,10,0,0,0,0,0,0,3.3,30.0,1.7,1.0,False,1,3.0,4.0,-1.0
Craig Dawson,DEF,West Ham,Southampton,90,0,1,3,0,25,0,0,0,0,0,0,9.6,35.0,22.5,38.0,True,4,3.0,3.0,0.0
Craig Dawson,DEF,West Ham,Watford,90,0,0,1,0,4,1,0,0,0,0,0,1.8,17.8,0.3,0.0,False,1,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Crystal Palace,90,0,0,2,0,8,0,0,0,0,0,0,2.9,27.0,0.4,2.0,False,1,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Norwich,90,0,0,0,1,22,0,0,0,0,0,0,1.9,9.2,0.6,9.0,True,6,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Leeds,90,0,0,3,0,6,0,0,0,0,0,0,4.1,11.0,0.6,29.0,True,1,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Man Utd,90,0,0,1,0,11,0,0,0,0,0,0,1.4,14.0,0.3,0.0,False,2,3.0,4.0,-1.0
Craig Dawson,DEF,West Ham,Watford,90,0,0,0,1,26,0,0,0,0,0,0,1.5,12.2,0.3,2.0,True,6,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Leicester,90,1,0,2,0,23,0,0,0,0,0,0,8.0,44.4,0.6,35.0,False,7,3.0,3.0,0.0
Craig Dawson,DEF,West Ham,Newcastle,90,1,0,1,0,24,0,0,0,0,0,0,9.0,54.8,0.6,35.0,True,9,3.0,3.0,0.0
Craig Dawson,DEF,West Ham,Wolves,90,0,0,0,1,22,0,0,0,0,0,0,3.4,15.4,0.8,18.0,True,6,3.0,3.0,0.0
Craig Dawson,DEF,West Ham,Liverpool,90,0,0,1,0,9,1,0,0,0,0,0,3.5,35.0,0.3,0.0,False,1,3.0,5.0,-2.0
Craig Dawson,DEF,West Ham,Aston Villa,90,0,0,1,0,13,0,0,0,0,0,0,1.5,7.8,0.5,7.0,True,2,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Spurs,90,0,1,3,0,24,1,0,0,0,0,0,5.4,39.4,10.3,4.0,False,3,3.0,4.0,-1.0
Craig Dawson,DEF,West Ham,Everton,90,0,0,1,0,12,0,0,0,0,0,0,1.7,15.8,0.9,0.0,True,2,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Brentford,90,0,0,2,0,15,0,0,0,0,0,0,2.1,17.4,1.6,2.0,False,1,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Burnley,90,0,0,1,0,11,0,0,0,0,0,0,1.5,11.6,1.1,2.0,True,2,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Chelsea,85,0,0,1,0,-1,0,1,0,0,0,0,3.9,36.4,0.1,2.0,False,-1,3.0,4.0,-1.0
Craig Dawson,DEF,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Craig Dawson,DEF,West Ham,Norwich,66,0,1,0,1,34,0,0,0,0,0,0,5.9,20.6,0.3,38.0,False,9,3.0,2.0,1.0
Craig Dawson,DEF,West Ham,Man City,90,0,0,2,0,4,0,0,0,0,0,0,3.1,24.2,0.7,6.0,True,1,3.0,5.0,-2.0
Craig Dawson,DEF,West Ham,Brighton,90,0,0,3,0,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,2.0,1.0
