name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Diogo Jota,MID,Liverpool,Norwich,60,1,0,0,1,21,0,0,0,0,0,0,7.6,37.8,1.9,36.0,False,8,5.0,2.0,3.0
Diogo Jota,MID,Liverpool,Burnley,80,1,0,0,1,25,0,0,0,0,0,0,10.7,45.2,24.8,37.0,True,8,5.0,2.0,3.0
Diogo Jota,MID,Liverpool,Chelsea,47,0,0,0,0,1,0,0,0,0,0,0,7.4,4.2,6.3,63.0,True,1,5.0,4.0,1.0
Diogo Jota,MID,Liverpool,Leeds,81,0,0,0,1,22,0,0,0,0,0,0,12.9,17.8,64.4,47.0,False,3,5.0,2.0,3.0
Diogo Jota,MID,Liverpool,Crystal Palace,75,0,0,0,1,1,0,0,0,0,0,0,5.6,10.0,11.7,34.0,True,3,5.0,2.0,3.0
Diogo Jota,MID,Liverpool,Brentford,90,1,0,3,0,24,0,0,0,0,0,0,11.0,40.8,29.2,40.0,False,7,5.0,2.0,3.0
Diogo Jota,MID,Liverpool,Man City,67,0,0,0,1,0,1,0,0,0,0,0,2.5,0.0,4.1,21.0,True,2,5.0,5.0,0.0
Diogo Jota,MID,Liverpool,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Diogo Jota,MID,Liverpool,Man Utd,90,1,1,0,1,45,0,0,0,0,0,0,13.2,60.8,26.3,45.0,False,11,5.0,4.0,1.0
Diogo Jota,MID,Liverpool,Brighton,12,0,0,0,0,5,0,0,0,0,0,0,1.7,4.2,10.8,2.0,True,1,5.0,2.0,3.0
Diogo Jota,MID,Liverpool,West Ham,75,0,0,3,0,7,0,0,0,0,0,0,3.7,1.6,24.6,11.0,False,2,5.0,3.0,2.0
Diogo Jota,MID,Liverpool,Arsenal,75,1,0,0,1,19,0,0,0,0,0,0,8.3,35.4,1.5,46.0,True,8,5.0,4.0,1.0
Diogo Jota,MID,Liverpool,Southampton,80,2,0,0,1,44,0,0,0,0,0,0,20.4,67.0,12.5,124.0,True,14,5.0,3.0,2.0
Diogo Jota,MID,Liverpool,Everton,87,1,0,1,0,37,0,0,0,0,0,0,12.3,50.0,40.8,32.0,False,8,5.0,2.0,3.0
Diogo Jota,MID,Liverpool,Wolves,81,0,0,0,1,4,0,0,0,0,0,0,6.0,0.0,15.3,47.0,False,3,5.0,3.0,2.0
