name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Dwight McNeil,MID,Burnley,Brighton,78,0,0,2,0,10,0,0,0,0,0,0,5.2,21.6,30.6,0.0,True,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Liverpool,90,0,0,2,0,17,0,0,0,0,0,0,6.5,26.6,16.2,22.0,False,2,2.0,5.0,-3.0
Dwight McNeil,MID,Burnley,Leeds,90,0,0,1,0,24,0,0,0,0,0,0,6.0,23.0,25.8,11.0,True,3,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Everton,90,0,0,3,0,24,0,0,0,0,0,0,7.7,26.2,29.3,21.0,False,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Arsenal,90,0,0,1,0,13,0,0,0,0,0,0,8.8,24.6,49.3,14.0,True,2,2.0,4.0,-2.0
Dwight McNeil,MID,Burnley,Leicester,86,0,0,2,0,8,0,0,0,0,0,0,2.0,16.0,2.4,2.0,False,2,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,Norwich,90,0,0,0,1,8,0,0,0,0,0,0,4.4,20.4,7.3,16.0,True,3,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Man City,90,0,0,2,0,21,0,0,0,0,0,0,4.1,11.6,29.7,0.0,False,2,2.0,5.0,-3.0
Dwight McNeil,MID,Burnley,Southampton,90,0,0,2,0,7,0,0,0,0,0,0,4.0,14.0,12.5,13.0,False,2,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,Brentford,90,0,1,1,0,17,1,0,0,0,0,0,4.4,26.8,14.9,2.0,True,4,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Chelsea,90,0,0,1,0,13,0,0,0,0,0,0,2.1,14.4,6.8,0.0,False,2,2.0,4.0,-2.0
Dwight McNeil,MID,Burnley,Crystal Palace,90,0,0,3,0,19,0,0,0,0,0,0,8.1,22.2,54.8,4.0,True,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Wolves,90,0,0,0,1,5,0,0,0,0,0,0,5.0,18.6,6.3,25.0,False,3,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,Newcastle,90,0,0,1,0,8,0,0,0,0,0,0,3.0,10.6,15.1,4.0,False,2,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,West Ham,87,0,0,0,1,10,0,0,0,0,0,0,4.0,12.2,26.5,1.0,True,3,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,Man Utd,83,0,0,3,0,10,0,0,0,0,0,0,2.6,5.8,2.3,18.0,False,2,2.0,4.0,-2.0
Dwight McNeil,MID,Burnley,Leeds,90,0,0,3,0,5,0,0,0,0,0,0,2.0,7.4,12.3,0.0,False,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Arsenal,90,0,0,0,1,8,0,0,0,0,0,0,5.9,12.0,24.6,22.0,False,3,2.0,4.0,-2.0
Dwight McNeil,MID,Burnley,Watford,90,0,0,0,1,14,0,0,0,0,0,0,2.9,12.6,15.4,1.0,True,3,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Man Utd,90,0,0,1,0,11,0,0,0,0,0,0,5.4,22.2,24.8,7.0,True,2,2.0,4.0,-2.0
Dwight McNeil,MID,Burnley,Liverpool,28,0,0,0,0,5,0,0,0,0,0,0,0.7,4.0,0.7,2.0,True,1,2.0,5.0,-3.0
Dwight McNeil,MID,Burnley,Brighton,90,0,0,0,1,8,0,0,0,0,0,0,4.9,9.6,12.5,27.0,False,3,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Spurs,90,0,0,0,1,26,0,0,0,0,0,0,9.6,21.0,43.1,32.0,True,3,2.0,4.0,-2.0
Dwight McNeil,MID,Burnley,Crystal Palace,90,0,0,1,0,12,0,0,0,0,0,0,1.6,10.2,5.3,0.0,False,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Leicester,90,0,0,2,0,16,0,0,0,0,0,0,4.5,20.0,14.8,10.0,True,2,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,Chelsea,90,0,0,4,0,11,0,0,0,0,0,0,6.3,9.4,21.5,32.0,True,2,2.0,4.0,-2.0
Dwight McNeil,MID,Burnley,Brentford,90,0,0,2,0,2,0,0,0,0,0,0,5.4,4.4,19.9,30.0,False,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Man City,45,0,0,2,0,7,0,0,0,0,0,0,0.7,6.4,0.2,0.0,True,1,2.0,5.0,-3.0
Dwight McNeil,MID,Burnley,Everton,5,0,0,0,0,3,0,0,0,0,0,0,1.8,0.0,0.0,18.0,True,1,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Norwich,26,0,0,1,0,12,0,0,0,0,0,0,3.7,10.0,15.3,12.0,False,1,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,West Ham,78,0,0,1,0,12,0,0,0,0,0,0,1.6,5.6,10.3,0.0,False,2,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,Southampton,86,0,0,0,1,12,0,0,0,0,0,0,6.8,22.2,21.3,24.0,True,3,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,Wolves,84,0,0,0,1,8,0,0,0,0,0,0,7.6,18.4,33.0,25.0,True,3,2.0,3.0,-1.0
Dwight McNeil,MID,Burnley,Watford,90,0,0,1,0,10,0,0,0,0,0,0,5.7,8.8,17.8,30.0,False,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Aston Villa,90,0,0,3,0,18,0,0,0,0,0,0,11.1,31.2,47.6,32.0,True,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Spurs,90,0,0,1,0,20,0,0,0,0,0,0,8.3,20.6,40.0,22.0,False,2,2.0,4.0,-2.0
Dwight McNeil,MID,Burnley,Aston Villa,78,0,0,1,0,6,0,0,0,0,0,0,3.6,6.2,19.3,10.0,False,2,2.0,2.0,0.0
Dwight McNeil,MID,Burnley,Newcastle,90,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2,2.0,3.0,-1.0
