name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Eberechi Eze,MID,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Eberechi Eze,MID,Crystal Palace,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Eberechi Eze,MID,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Eberechi Eze,MID,Crystal Palace,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Eberechi Eze,MID,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Eberechi Eze,MID,Crystal Palace,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Aston Villa,30,0,0,1,0,2,0,0,0,0,0,0,1.2,2.4,9.4,0.0,True,1,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Man Utd,6,0,0,0,0,3,0,0,0,0,0,0,0.1,0.4,0.1,0.0,False,1,2.0,4.0,-2.0
Eberechi Eze,MID,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Eberechi Eze,MID,Crystal Palace,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Brighton,65,0,0,0,1,4,1,0,0,0,0,0,1.4,1.6,3.6,9.0,False,2,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Liverpool,22,0,0,1,0,5,0,0,0,0,0,0,1.5,4.4,10.6,0.0,True,1,2.0,5.0,-3.0
Eberechi Eze,MID,Crystal Palace,Norwich,10,0,0,0,0,5,0,0,0,0,0,0,0.3,2.2,0.6,0.0,False,1,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Chelsea,5,0,0,1,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,4.0,-2.0
Eberechi Eze,MID,Crystal Palace,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Eberechi Eze,MID,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Eberechi Eze,MID,Crystal Palace,Leicester,32,0,0,0,0,8,0,0,0,0,0,0,2.4,4.8,16.8,2.0,False,1,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Leeds,78,0,0,0,1,11,0,0,0,0,0,0,5.5,15.0,22.4,18.0,True,3,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Southampton,83,1,0,1,0,29,0,0,0,0,0,0,8.9,36.6,17.1,35.0,False,9,2.0,3.0,-1.0
Eberechi Eze,MID,Crystal Palace,Watford,90,0,0,0,1,15,0,0,0,0,0,0,10.0,9.6,44.1,46.0,True,3,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Aston Villa,77,0,0,1,0,13,0,0,0,0,0,0,5.9,12.4,23.3,23.0,False,2,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Everton,90,0,1,3,0,24,0,0,0,0,0,0,6.0,30.6,27.1,2.0,False,5,2.0,2.0,0.0
Eberechi Eze,MID,Crystal Palace,Man Utd,11,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,4.0,-2.0
