name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Edouard Mendy,GK,Chelsea,Crystal Palace,90,0,0,0,1,20,0,0,0,1,0,0,1.1,11.2,0.0,0.0,True,6,4.0,2.0,2.0
Edouard Mendy,GK,Chelsea,Arsenal,90,0,0,0,1,32,0,0,0,3,0,0,2.2,22.4,0.0,0.0,False,8,4.0,4.0,0.0
Edouard Mendy,GK,Chelsea,Liverpool,90,0,0,1,0,19,1,0,0,6,0,0,4.0,40.0,0.0,0.0,False,3,4.0,5.0,-1.0
Edouard Mendy,GK,Chelsea,Aston Villa,90,0,0,0,1,34,0,0,0,6,0,0,5.2,52.4,0.0,0.0,True,9,4.0,2.0,2.0
Edouard Mendy,GK,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Edouard Mendy,GK,Chelsea,Man City,90,0,0,1,0,13,0,0,0,2,0,0,2.1,21.0,0.0,0.0,True,2,4.0,5.0,-1.0
Edouard Mendy,GK,Chelsea,Southampton,90,0,0,1,0,9,0,0,0,1,0,0,0.8,8.4,0.0,0.0,True,2,4.0,3.0,1.0
Edouard Mendy,GK,Chelsea,Brentford,90,0,0,0,1,32,0,0,0,6,0,0,4.7,47.2,0.0,0.0,False,9,4.0,2.0,2.0
Edouard Mendy,GK,Chelsea,Norwich,90,0,0,0,1,21,0,0,0,1,0,0,1.1,10.6,0.0,0.0,True,6,4.0,2.0,2.0
Edouard Mendy,GK,Chelsea,Newcastle,90,0,0,0,1,21,0,0,0,1,0,0,1.0,10.2,0.0,0.0,False,6,4.0,3.0,1.0
Edouard Mendy,GK,Chelsea,Burnley,90,0,0,1,0,9,0,0,0,1,0,0,1.2,11.8,0.0,0.0,True,2,4.0,2.0,2.0
