name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Erik Pieters,DEF,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Erik Pieters,DEF,Burnley,Liverpool,11,0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.9,2.0,False,1,2.0,5.0,-3.0
Erik Pieters,DEF,Burnley,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Erik Pieters,DEF,Burnley,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Erik Pieters,DEF,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Erik Pieters,DEF,Burnley,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Erik Pieters,DEF,Burnley,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Erik Pieters,DEF,Burnley,Man City,90,0,0,2,0,10,0,0,0,0,0,0,2.0,18.6,1.3,0.0,False,1,2.0,5.0,-3.0
Erik Pieters,DEF,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Erik Pieters,DEF,Burnley,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Erik Pieters,DEF,Burnley,Chelsea,2,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2.0,4.0,-2.0
Erik Pieters,DEF,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Erik Pieters,DEF,Burnley,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Erik Pieters,DEF,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Erik Pieters,DEF,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Erik Pieters,DEF,Burnley,Man Utd,6,0,0,0,0,3,0,0,0,0,0,0,0.5,2.2,0.3,2.0,False,1,2.0,4.0,-2.0
Erik Pieters,DEF,Burnley,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Erik Pieters,DEF,Burnley,Arsenal,90,0,0,0,1,23,0,0,0,0,0,0,3.0,28.2,0.8,1.0,False,6,2.0,4.0,-2.0
Erik Pieters,DEF,Burnley,Watford,90,0,0,0,1,20,0,0,0,0,0,0,4.5,12.4,5.8,27.0,True,6,2.0,2.0,0.0
Erik Pieters,DEF,Burnley,Man Utd,90,0,0,1,0,8,1,0,0,0,0,0,4.0,31.2,6.3,2.0,True,1,2.0,4.0,-2.0
Erik Pieters,DEF,Burnley,Liverpool,90,0,0,1,0,15,0,0,0,0,0,0,2.0,19.4,1.0,0.0,True,2,2.0,5.0,-3.0
