name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jacob Murphy,MID,Newcastle,West Ham,90,1,0,4,0,23,0,0,0,0,0,0,9.4,43.4,20.3,30.0,True,7,3.0,3.0,0.0
Jacob Murphy,MID,Newcastle,Aston Villa,90,0,0,2,0,2,1,0,0,0,0,0,0.9,7.4,1.2,0.0,False,1,3.0,2.0,1.0
Jacob Murphy,MID,Newcastle,Southampton,90,0,1,2,0,21,0,0,0,0,0,0,6.8,34.2,11.3,22.0,True,5,3.0,3.0,0.0
Jacob Murphy,MID,Newcastle,Man Utd,13,0,0,2,0,3,0,0,0,0,0,0,0.2,1.8,0.5,0.0,False,1,3.0,4.0,-1.0
Jacob Murphy,MID,Newcastle,Leeds,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,3.0,2.0,1.0
Jacob Murphy,MID,Newcastle,Watford,11,0,0,0,0,1,0,0,0,0,0,0,1.5,5.2,0.3,9.0,False,1,3.0,2.0,1.0
Jacob Murphy,MID,Newcastle,Wolves,20,0,0,0,0,2,0,0,0,0,0,0,0.7,2.6,0.8,4.0,False,1,3.0,3.0,0.0
Jacob Murphy,MID,Newcastle,Spurs,13,0,1,0,0,15,0,0,0,0,0,0,1.4,4.4,1.6,8.0,True,4,3.0,4.0,-1.0
Jacob Murphy,MID,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Jacob Murphy,MID,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Jacob Murphy,MID,Newcastle,Brighton,90,0,0,1,0,0,1,0,0,0,0,0,1.8,9.8,2.7,5.0,False,1,3.0,2.0,1.0
Jacob Murphy,MID,Newcastle,Brentford,90,0,0,3,0,12,0,0,0,0,0,0,5.5,21.8,30.0,3.0,True,2,3.0,2.0,1.0
