name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
James Milner,MID,Liverpool,Norwich,90,0,0,0,1,10,1,0,0,0,0,0,4.0,21.0,18.8,0.0,False,2,5.0,2.0,3.0
James Milner,MID,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
James Milner,MID,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,4.0,1.0
James Milner,MID,Liverpool,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
James Milner,MID,Liverpool,Crystal Palace,90,0,0,0,1,15,0,0,0,0,0,0,7.7,25.6,27.8,24.0,True,3,5.0,2.0,3.0
James Milner,MID,Liverpool,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
James Milner,MID,Liverpool,Man City,77,0,0,1,0,8,1,0,0,0,0,0,3.2,8.6,19.6,4.0,True,1,5.0,5.0,0.0
James Milner,MID,Liverpool,Watford,82,0,1,0,1,35,0,0,0,0,0,0,9.1,36.2,48.5,6.0,False,7,5.0,2.0,3.0
James Milner,MID,Liverpool,Man Utd,26,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,1,5.0,4.0,1.0
James Milner,MID,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
James Milner,MID,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
James Milner,MID,Liverpool,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,4.0,1.0
James Milner,MID,Liverpool,Southampton,23,0,0,0,0,3,0,0,0,0,0,0,0.5,1.4,2.2,1.0,True,1,5.0,3.0,2.0
James Milner,MID,Liverpool,Everton,15,0,0,0,0,5,0,0,0,0,0,0,0.5,4.4,0.8,0.0,False,1,5.0,2.0,3.0
James Milner,MID,Liverpool,Wolves,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,5.0,3.0,2.0
James Milner,MID,Liverpool,Aston Villa,6,0,0,0,0,3,0,0,0,0,0,0,0.2,1.0,0.6,0.0,True,1,5.0,2.0,3.0
James Milner,MID,Liverpool,Newcastle,1,0,0,0,0,3,0,0,0,0,0,0,0.2,1.0,0.5,0.0,True,1,5.0,3.0,2.0
James Milner,MID,Liverpool,Spurs,90,0,0,2,0,14,0,0,0,0,0,0,7.4,25.4,30.7,18.0,False,2,5.0,4.0,1.0
James Milner,MID,Liverpool,Leicester,26,0,0,0,0,13,0,0,0,0,0,0,3.3,14.4,16.6,2.0,False,1,5.0,3.0,2.0
James Milner,MID,Liverpool,Chelsea,68,0,0,2,0,10,0,0,0,0,0,0,2.7,25.8,1.2,0.0,False,2,5.0,4.0,1.0
James Milner,MID,Liverpool,Brentford,12,0,0,0,0,3,0,0,0,0,0,0,1.5,2.6,11.9,0.0,True,1,5.0,2.0,3.0
James Milner,MID,Liverpool,Crystal Palace,1,0,0,0,0,2,0,0,0,0,0,0,0.2,2.2,0.0,0.0,False,1,5.0,2.0,3.0
James Milner,MID,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
James Milner,MID,Liverpool,Burnley,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,5.0,2.0,3.0
James Milner,MID,Liverpool,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
James Milner,MID,Liverpool,Leeds,13,0,0,0,0,4,0,0,0,0,0,0,2.6,3.4,14.8,8.0,True,1,5.0,2.0,3.0
James Milner,MID,Liverpool,West Ham,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.1,0.0,True,1,5.0,3.0,2.0
James Milner,MID,Liverpool,Brighton,4,0,0,0,0,4,0,0,0,0,0,0,0.2,2.2,0.0,0.0,False,1,5.0,2.0,3.0
James Milner,MID,Liverpool,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,4.0,1.0
James Milner,MID,Liverpool,Watford,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.4,0.0,0.0,True,1,5.0,2.0,3.0
James Milner,MID,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,5.0,0.0
James Milner,MID,Liverpool,Man Utd,4,0,0,0,0,3,0,0,0,0,0,0,0.1,0.2,0.3,0.0,True,1,5.0,4.0,1.0
James Milner,MID,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
James Milner,MID,Liverpool,Newcastle,77,0,0,0,1,17,0,0,0,0,0,0,8.2,20.8,59.8,1.0,False,3,5.0,3.0,2.0
James Milner,MID,Liverpool,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,4.0,1.0
James Milner,MID,Liverpool,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
James Milner,MID,Liverpool,Southampton,90,0,0,1,0,21,0,0,0,0,0,0,11.6,32.4,73.3,10.0,False,2,5.0,3.0,2.0
James Milner,MID,Liverpool,Wolves,45,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,5.0,3.0,2.0
