name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
James Tarkowski,DEF,Burnley,Brighton,90,1,0,2,0,13,1,0,0,0,0,0,9.4,49.0,0.6,44.0,True,6,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Liverpool,90,0,0,2,0,7,0,0,0,0,0,0,3.2,19.2,0.3,12.0,False,1,2.0,5.0,-3.0
James Tarkowski,DEF,Burnley,Leeds,90,0,0,1,0,12,0,0,0,0,0,0,4.4,25.2,0.1,19.0,True,2,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Everton,90,0,0,3,0,13,0,0,0,0,0,0,1.4,14.2,0.2,0.0,False,1,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Arsenal,90,0,0,1,0,16,0,0,0,0,0,0,2.9,19.6,0.9,8.0,True,2,2.0,4.0,-2.0
James Tarkowski,DEF,Burnley,Leicester,90,0,0,2,0,4,1,0,0,0,0,0,2.3,18.8,0.3,4.0,False,0,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,Norwich,90,0,0,0,1,21,1,0,0,0,0,0,3.0,29.6,0.6,0.0,True,5,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Man City,90,0,0,2,0,17,0,0,0,0,0,0,3.1,24.8,0.3,6.0,False,1,2.0,5.0,-3.0
James Tarkowski,DEF,Burnley,Southampton,90,0,0,2,0,12,0,0,0,0,0,0,2.7,24.4,0.9,2.0,False,1,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,Brentford,90,0,0,1,0,9,0,0,0,0,0,0,3.2,24.4,0.3,7.0,True,2,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Chelsea,90,0,0,1,0,6,1,0,0,0,0,0,2.8,27.4,0.4,0.0,False,1,2.0,4.0,-2.0
James Tarkowski,DEF,Burnley,Crystal Palace,90,0,2,3,0,30,1,0,0,0,0,0,9.9,53.2,20.5,25.0,True,8,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,Newcastle,90,0,0,1,0,13,0,0,0,0,0,0,5.6,42.4,0.3,13.0,False,2,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,West Ham,90,0,0,0,1,21,0,0,0,0,0,0,3.9,17.6,0.0,21.0,True,6,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,Man Utd,90,0,0,3,0,12,0,0,0,0,0,0,5.2,25.2,0.5,26.0,False,1,2.0,4.0,-2.0
James Tarkowski,DEF,Burnley,Leeds,90,0,0,3,0,10,1,0,0,0,0,0,2.8,28.0,0.4,0.0,False,0,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Arsenal,90,0,0,0,1,26,0,0,0,0,0,0,4.0,23.6,10.3,6.0,False,8,2.0,4.0,-2.0
James Tarkowski,DEF,Burnley,Watford,90,0,0,0,1,24,0,0,0,0,0,0,3.8,23.8,10.3,4.0,True,6,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Man Utd,90,0,0,1,0,15,0,0,0,0,0,0,6.1,40.6,0.5,20.0,True,2,2.0,4.0,-2.0
James Tarkowski,DEF,Burnley,Liverpool,90,0,0,1,0,11,0,0,0,0,0,0,2.0,14.2,3.5,2.0,True,2,2.0,5.0,-3.0
James Tarkowski,DEF,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Spurs,90,0,0,0,1,26,0,0,0,0,0,0,3.3,28.6,0.4,4.0,True,6,2.0,4.0,-2.0
James Tarkowski,DEF,Burnley,Crystal Palace,90,0,0,1,0,7,1,0,0,0,0,0,2.6,17.8,0.4,8.0,False,1,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Leicester,90,0,0,2,0,14,0,0,0,0,0,0,3.0,23.6,0.3,6.0,True,1,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,Chelsea,90,0,0,4,0,6,0,0,0,0,0,0,2.1,20.8,0.2,0.0,True,0,2.0,4.0,-2.0
James Tarkowski,DEF,Burnley,Brentford,90,0,0,2,0,12,1,0,0,0,0,0,5.8,43.8,10.4,4.0,False,0,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Man City,90,0,0,2,0,15,0,0,0,0,0,0,2.9,29.0,0.0,0.0,True,1,2.0,5.0,-3.0
James Tarkowski,DEF,Burnley,Everton,90,0,0,2,0,15,0,0,0,0,0,0,5.2,43.0,0.7,8.0,True,1,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Norwich,90,0,0,2,0,12,0,0,0,0,0,0,3.0,29.8,0.5,0.0,False,1,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,West Ham,90,0,0,1,0,13,0,0,0,0,0,0,4.1,24.2,10.6,6.0,False,2,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,Southampton,90,0,0,0,1,20,1,0,0,0,0,0,4.0,16.0,0.3,24.0,True,5,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,Wolves,90,0,0,0,1,26,0,0,0,0,0,0,3.5,22.2,0.0,13.0,True,7,2.0,3.0,-1.0
James Tarkowski,DEF,Burnley,Watford,90,0,0,1,0,2,1,0,1,0,0,0,3.8,15.6,11.2,11.0,False,-1,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Aston Villa,46,0,0,2,0,7,0,0,0,0,0,0,0.7,4.4,0.1,2.0,True,0,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
James Tarkowski,DEF,Burnley,Aston Villa,90,0,0,1,0,12,0,0,0,0,0,0,4.0,17.4,20.5,2.0,False,2,2.0,2.0,0.0
James Tarkowski,DEF,Burnley,Newcastle,90,0,0,2,0,7,1,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
