name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kai Havertz,MID,Chelsea,Crystal Palace,8,0,0,0,0,1,0,0,0,0,0,0,0.2,0.0,0.8,2.0,True,1,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Arsenal,89,0,0,0,1,0,0,0,0,0,0,0,9.2,7.0,5.2,80.0,False,3,4.0,4.0,0.0
Kai Havertz,MID,Chelsea,Liverpool,45,1,0,1,0,21,0,0,0,0,0,0,7.4,37.2,1.8,35.0,False,7,4.0,5.0,-1.0
Kai Havertz,MID,Chelsea,Aston Villa,63,0,0,0,1,7,0,0,0,0,0,0,3.0,8.8,12.9,8.0,True,3,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Spurs,69,0,0,0,1,-1,0,0,0,0,0,0,3.5,0.0,9.8,27.0,False,3,4.0,4.0,0.0
Kai Havertz,MID,Chelsea,Man City,30,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.2,2.0,True,1,4.0,5.0,-1.0
Kai Havertz,MID,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Brentford,13,0,0,0,0,7,0,0,0,0,0,0,1.2,12.0,0.1,0.0,False,1,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Norwich,69,0,0,0,1,5,0,0,0,0,0,0,5.0,6.0,4.7,39.0,True,3,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Newcastle,90,0,1,0,1,18,0,0,0,0,0,0,6.4,9.6,15.0,39.0,False,6,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Burnley,90,1,0,1,0,23,0,0,0,0,0,0,9.1,33.2,6.3,51.0,True,8,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Leicester,61,0,0,0,1,3,0,0,0,0,0,0,1.2,0.0,4.8,8.0,False,3,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Kai Havertz,MID,Chelsea,Watford,90,0,1,1,0,20,0,0,0,0,0,0,8.5,32.8,26.7,25.0,False,5,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,West Ham,45,0,0,1,0,3,0,0,0,0,0,0,4.7,3.2,2.9,41.0,False,1,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Leeds,90,0,0,2,0,-2,0,0,0,0,0,0,6.6,9.0,6.1,51.0,True,2,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Liverpool,78,0,0,2,0,4,0,0,0,0,0,0,2.8,1.2,2.3,24.0,True,2,4.0,5.0,-1.0
Kai Havertz,MID,Chelsea,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Kai Havertz,MID,Chelsea,Brighton,10,0,0,0,0,3,0,0,0,0,0,0,0.3,2.2,1.0,0.0,False,1,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Kai Havertz,MID,Chelsea,Crystal Palace,90,0,0,0,1,-2,1,0,0,0,0,0,2.3,0.0,14.0,14.0,False,2,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Burnley,90,2,0,0,1,37,0,0,0,0,0,0,14.8,67.4,4.1,76.0,False,14,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Norwich,90,1,1,1,0,33,0,0,0,0,0,0,17.1,64.6,27.5,79.0,False,12,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Newcastle,90,1,0,0,1,20,1,0,0,0,0,0,11.2,40.2,14.9,57.0,True,7,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Brentford,90,0,0,4,0,4,0,0,0,0,0,0,9.8,11.0,29.7,57.0,True,2,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Southampton,45,1,0,0,0,24,0,0,0,0,0,0,10.0,40.4,24.0,36.0,False,6,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Arsenal,30,0,0,1,0,3,0,0,0,0,0,0,0.5,3.4,1.6,0.0,True,1,4.0,4.0,0.0
Kai Havertz,MID,Chelsea,West Ham,75,0,0,0,1,4,0,0,0,0,0,0,5.1,7.4,23.8,20.0,True,3,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Man Utd,69,0,1,1,0,9,0,0,0,0,0,0,13.7,21.0,46.0,70.0,False,5,4.0,4.0,0.0
Kai Havertz,MID,Chelsea,Everton,90,0,0,1,0,3,1,0,0,0,0,0,2.5,2.8,14.3,8.0,False,1,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Wolves,1,0,0,1,0,1,0,0,0,0,0,0,0.2,0.0,0.3,4.0,True,1,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Kai Havertz,MID,Chelsea,Leicester,12,0,0,0,0,-1,0,0,0,0,0,0,0.2,0.0,0.8,2.0,True,1,4.0,3.0,1.0
Kai Havertz,MID,Chelsea,Watford,90,1,0,1,0,24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,7,4.0,2.0,2.0
