name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kyle Walker-Peters,DEF,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kyle Walker-Peters,DEF,Southampton,Man Utd,11,0,0,0,0,7,0,0,0,0,0,0,0.6,5.4,0.6,0.0,True,1,3.0,4.0,-1.0
Kyle Walker-Peters,DEF,Southampton,Newcastle,90,0,0,2,0,13,1,0,0,0,0,0,4.8,11.8,27.3,9.0,False,0,3.0,3.0,0.0
Kyle Walker-Peters,DEF,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kyle Walker-Peters,DEF,Southampton,Man City,90,0,0,0,1,26,1,0,0,0,0,0,4.5,20.2,23.1,2.0,False,5,3.0,5.0,-2.0
Kyle Walker-Peters,DEF,Southampton,Wolves,73,0,0,1,0,15,0,0,0,0,0,0,4.5,7.6,3.4,34.0,True,2,3.0,3.0,0.0
Kyle Walker-Peters,DEF,Southampton,Chelsea,90,0,0,3,0,20,0,0,0,0,0,0,3.8,15.4,17.0,6.0,False,1,3.0,4.0,-1.0
Kyle Walker-Peters,DEF,Southampton,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kyle Walker-Peters,DEF,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kyle Walker-Peters,DEF,Southampton,Watford,90,0,0,0,1,34,0,0,0,0,0,0,6.2,23.0,28.7,10.0,False,9,3.0,2.0,1.0
Kyle Walker-Peters,DEF,Southampton,Aston Villa,90,0,0,0,1,20,0,0,0,0,0,0,1.9,3.4,5.3,10.0,True,6,3.0,2.0,1.0
Kyle Walker-Peters,DEF,Southampton,Norwich,90,0,0,2,0,13,1,0,0,0,0,0,5.0,14.2,21.4,14.0,False,0,3.0,2.0,1.0
Kyle Walker-Peters,DEF,Southampton,Liverpool,2,0,0,0,0,4,0,0,0,0,0,0,0.1,1.0,0.0,0.0,False,1,3.0,5.0,-2.0
Kyle Walker-Peters,DEF,Southampton,Leicester,90,0,0,2,0,4,0,0,0,0,0,0,3.0,7.6,1.8,21.0,True,1,3.0,3.0,0.0
Kyle Walker-Peters,DEF,Southampton,Brighton,90,0,0,1,0,12,0,0,0,0,0,0,1.5,8.0,3.3,4.0,True,2,3.0,2.0,1.0
Kyle Walker-Peters,DEF,Southampton,Arsenal,90,0,0,3,0,6,0,0,0,0,0,0,1.7,13.8,1.5,2.0,False,1,3.0,4.0,-1.0
