name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Luke Thomas,DEF,Leicester,Wolves,90,0,0,0,1,29,0,0,0,0,0,0,3.1,25.4,5.7,0.0,True,7,3.0,3.0,0.0
Luke Thomas,DEF,Leicester,West Ham,90,0,0,4,0,14,0,0,0,0,0,0,1.8,16.2,1.3,0.0,False,0,3.0,3.0,0.0
Luke Thomas,DEF,Leicester,Norwich,90,0,0,1,0,14,0,0,0,0,0,0,2.5,14.0,10.6,0.0,False,2,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Luke Thomas,DEF,Leicester,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Luke Thomas,DEF,Leicester,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Arsenal,90,0,0,2,0,13,0,0,0,0,0,0,3.1,8.4,14.8,8.0,True,1,3.0,4.0,-1.0
Luke Thomas,DEF,Leicester,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Luke Thomas,DEF,Leicester,Watford,90,0,0,2,0,22,0,0,0,0,0,0,3.9,19.2,17.7,2.0,True,1,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Southampton,90,0,1,2,0,23,0,0,0,0,0,0,4.7,30.4,12.1,4.0,False,4,3.0,3.0,0.0
Luke Thomas,DEF,Leicester,Aston Villa,90,0,0,2,0,15,0,0,0,0,0,0,4.7,21.8,20.3,5.0,False,1,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Newcastle,90,0,0,0,1,21,0,0,0,0,0,0,1.7,15.0,1.8,0.0,True,6,3.0,3.0,0.0
Luke Thomas,DEF,Leicester,Man City,90,0,0,6,0,10,0,0,0,0,0,0,2.9,15.8,10.7,2.0,False,-1,3.0,5.0,-2.0
Luke Thomas,DEF,Leicester,Liverpool,90,0,0,0,1,25,0,0,0,0,0,0,3.5,24.6,10.8,0.0,True,6,3.0,5.0,-2.0
Luke Thomas,DEF,Leicester,Spurs,52,0,0,1,0,15,0,0,0,0,0,0,2.7,23.0,3.7,0.0,True,1,3.0,4.0,-1.0
Luke Thomas,DEF,Leicester,Brighton,90,0,0,1,0,14,0,0,0,0,0,0,3.2,19.8,1.8,10.0,True,2,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Liverpool,90,0,0,2,0,10,0,0,0,0,0,0,3.0,18.8,11.3,0.0,False,1,3.0,5.0,-2.0
Luke Thomas,DEF,Leicester,West Ham,59,0,0,1,0,8,0,0,0,0,0,0,2.4,21.2,0.9,2.0,True,1,3.0,3.0,0.0
Luke Thomas,DEF,Leicester,Wolves,90,0,0,2,0,17,0,0,0,0,0,0,2.2,18.0,4.1,0.0,False,1,3.0,3.0,0.0
Luke Thomas,DEF,Leicester,Burnley,90,0,0,0,1,22,0,0,0,0,0,0,4.1,20.2,2.6,18.0,False,6,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Leeds,90,0,0,0,1,26,0,0,0,0,0,0,2.9,17.0,12.3,0.0,True,6,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Arsenal,90,0,0,2,0,9,0,0,0,0,0,0,3.2,24.8,2.7,4.0,False,1,3.0,4.0,-1.0
Luke Thomas,DEF,Leicester,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Luke Thomas,DEF,Leicester,Crystal Palace,90,0,0,1,0,12,1,0,0,0,0,0,4.4,24.2,19.8,0.0,True,1,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Newcastle,90,0,0,2,0,15,0,0,0,0,0,0,3.3,14.6,14.0,4.0,False,1,3.0,3.0,0.0
Luke Thomas,DEF,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Spurs,90,0,0,3,0,11,1,0,0,0,0,0,2.9,10.4,18.7,0.0,False,0,3.0,4.0,-1.0
Luke Thomas,DEF,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Luke Thomas,DEF,Leicester,Chelsea,90,0,0,1,0,4,0,0,0,0,0,0,0.4,3.4,0.8,0.0,False,2,3.0,4.0,-1.0
Luke Thomas,DEF,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
