name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mads Roerslev Rasmussen,DEF,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Mads Roerslev Rasmussen,DEF,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Brighton,29,0,0,1,0,7,0,0,0,0,0,0,0.5,5.2,0.2,0.0,True,1,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Wolves,15,0,0,0,0,3,0,0,0,0,0,0,0.7,6.2,0.3,0.0,False,1,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Mads Roerslev Rasmussen,DEF,Brentford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Mads Roerslev Rasmussen,DEF,Brentford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Burnley,13,0,0,0,0,4,0,0,0,0,0,0,0.9,4.2,4.8,0.0,False,1,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Newcastle,79,0,0,3,0,11,0,0,0,0,0,0,2.1,13.2,0.1,8.0,False,1,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Everton,13,0,0,0,0,3,0,0,0,0,0,0,0.4,4.0,0.0,0.0,True,1,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Mads Roerslev Rasmussen,DEF,Brentford,Leeds,90,0,0,2,0,12,0,0,0,0,0,0,3.5,18.0,15.4,2.0,False,1,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Watford,90,0,0,1,0,7,0,0,0,0,0,0,1.0,5.8,1.9,2.0,True,2,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Man City,90,0,0,1,0,9,0,0,0,0,0,0,0.5,4.2,0.5,0.0,True,2,2.0,5.0,-3.0
Mads Roerslev Rasmussen,DEF,Brentford,Aston Villa,90,1,1,1,0,32,0,0,0,0,0,0,12.0,58.2,11.2,51.0,True,14,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Southampton,90,0,0,4,0,10,0,0,0,0,0,0,2.6,12.0,13.8,0.0,False,0,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Liverpool,90,0,0,3,0,9,0,0,0,0,0,0,3.0,18.8,10.8,0.0,False,1,2.0,5.0,-3.0
Mads Roerslev Rasmussen,DEF,Brentford,Man Utd,90,0,0,3,0,9,0,0,0,0,0,0,1.5,6.8,2.3,6.0,True,1,2.0,4.0,-2.0
Mads Roerslev Rasmussen,DEF,Brentford,Wolves,32,0,0,1,0,2,0,0,0,0,0,0,0.2,0.4,1.1,0.0,True,1,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Man City,90,0,0,2,0,-1,0,0,0,0,0,0,2.4,7.2,14.6,2.0,False,1,2.0,5.0,-3.0
Mads Roerslev Rasmussen,DEF,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Mads Roerslev Rasmussen,DEF,Brentford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Norwich,15,0,0,1,0,-1,1,0,0,0,0,0,0.3,3.0,0.1,0.0,False,0,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Leicester,24,0,0,0,0,3,0,0,0,0,0,0,0.4,1.2,2.7,0.0,False,1,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Chelsea,90,0,0,1,0,9,0,0,0,0,0,0,1.1,8.4,1.0,2.0,False,2,2.0,4.0,-2.0
Mads Roerslev Rasmussen,DEF,Brentford,West Ham,7,0,0,0,0,3,0,0,0,0,0,0,0.3,0.2,0.3,2.0,True,1,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Spurs,90,0,0,0,1,28,0,0,0,0,0,0,2.6,8.8,15.0,2.0,True,7,2.0,4.0,-2.0
Mads Roerslev Rasmussen,DEF,Brentford,Man Utd,90,0,0,3,0,9,0,0,0,0,0,0,4.5,11.2,29.7,4.0,False,1,2.0,4.0,-2.0
Mads Roerslev Rasmussen,DEF,Brentford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Mads Roerslev Rasmussen,DEF,Brentford,Everton,15,0,0,0,0,2,0,0,0,0,0,0,0.3,3.2,0.0,0.0,False,1,2.0,2.0,0.0
Mads Roerslev Rasmussen,DEF,Brentford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
