name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Marc Cucurella,DEF,Brighton,Brentford,81,0,0,0,1,25,0,0,0,0,0,0,2.3,8.2,14.8,0.0,False,7,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Leicester,90,0,0,1,0,17,0,0,0,0,0,0,4.1,25.0,16.3,0.0,True,2,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Crystal Palace,90,0,0,1,0,8,1,0,0,0,0,0,2.8,17.6,8.1,2.0,False,1,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Arsenal,90,0,0,0,1,33,0,0,0,0,0,0,8.0,21.4,56.9,2.0,True,9,2.0,4.0,-2.0
Marc Cucurella,DEF,Brighton,Norwich,65,0,0,0,1,19,1,0,0,0,0,0,5.5,10.8,42.2,2.0,False,5,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Man City,90,0,0,4,0,13,0,0,0,0,0,0,2.8,8.6,13.6,6.0,True,0,2.0,5.0,-3.0
Marc Cucurella,DEF,Brighton,Liverpool,90,0,0,2,0,18,0,0,0,0,0,0,4.2,15.4,17.7,9.0,False,1,2.0,5.0,-3.0
Marc Cucurella,DEF,Brighton,Newcastle,90,0,0,1,0,14,0,0,0,0,0,0,5.2,11.6,30.3,10.0,True,2,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Aston Villa,63,0,0,0,1,17,1,0,0,0,0,0,1.0,1.2,6.8,2.0,False,5,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Leeds,90,0,0,0,1,35,0,0,0,0,0,0,5.3,24.8,22.8,5.0,True,9,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,West Ham,90,0,0,1,0,11,0,0,0,0,0,0,4.2,14.8,18.5,9.0,False,2,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Southampton,90,0,0,1,0,13,0,0,0,0,0,0,4.6,18.6,27.4,0.0,False,2,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Wolves,90,0,0,1,0,13,0,0,0,0,0,0,3.8,11.6,16.2,10.0,True,2,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Brentford,90,0,0,0,1,32,0,0,0,0,0,0,4.7,26.2,18.8,2.0,True,9,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Chelsea,90,0,1,1,0,30,0,0,0,0,0,0,6.8,41.0,21.5,5.0,False,8,2.0,4.0,-2.0
Marc Cucurella,DEF,Brighton,Everton,90,0,0,2,0,14,0,0,0,0,0,0,2.9,22.6,3.1,3.0,False,1,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Crystal Palace,90,0,0,1,0,20,0,0,0,0,0,0,4.3,16.4,24.2,2.0,True,3,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Chelsea,90,0,0,1,0,20,0,0,0,0,0,0,6.9,28.6,38.1,2.0,True,2,2.0,4.0,-2.0
Marc Cucurella,DEF,Brighton,Leicester,90,0,0,1,0,13,0,0,0,0,0,0,3.5,19.0,13.3,3.0,False,2,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Watford,90,0,0,0,1,21,0,0,0,0,0,0,4.8,15.4,13.3,19.0,False,6,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Man Utd,90,0,0,2,0,7,0,0,0,0,0,0,1.9,11.4,5.5,2.0,False,1,2.0,4.0,-2.0
Marc Cucurella,DEF,Brighton,Burnley,90,0,0,3,0,14,0,0,0,0,0,0,5.5,22.4,20.3,12.0,True,1,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Aston Villa,90,0,0,2,0,10,1,0,0,0,0,0,3.6,15.8,18.3,2.0,True,0,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Newcastle,90,0,0,2,0,20,0,0,0,0,0,0,4.6,15.4,24.7,6.0,False,1,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Liverpool,90,0,0,2,0,17,0,0,0,0,0,0,3.2,17.8,11.7,2.0,True,1,2.0,5.0,-3.0
Marc Cucurella,DEF,Brighton,Spurs,90,0,0,2,0,15,0,0,0,0,0,0,5.1,12.8,27.9,10.0,True,1,2.0,4.0,-2.0
Marc Cucurella,DEF,Brighton,Norwich,90,0,0,0,1,29,0,0,0,0,0,0,8.3,28.2,53.0,2.0,True,8,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,Arsenal,90,0,0,1,0,16,0,0,0,0,0,0,2.4,21.4,2.2,0.0,False,2,2.0,4.0,-2.0
Marc Cucurella,DEF,Brighton,Spurs,90,0,0,0,1,26,0,0,0,0,0,0,2.1,13.6,3.0,4.0,False,8,2.0,4.0,-2.0
Marc Cucurella,DEF,Brighton,Man City,90,0,0,3,0,11,0,0,0,0,0,0,2.9,26.6,2.1,0.0,False,1,2.0,5.0,-3.0
Marc Cucurella,DEF,Brighton,Southampton,90,0,0,2,0,14,1,0,0,0,0,0,5.3,23.6,25.8,4.0,True,0,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Wolves,90,0,0,0,1,30,1,0,0,0,0,0,2.9,16.4,9.1,3.0,False,6,2.0,3.0,-1.0
Marc Cucurella,DEF,Brighton,Man Utd,90,1,0,0,1,39,0,0,0,0,0,0,9.6,42.6,14.0,39.0,True,12,2.0,4.0,-2.0
Marc Cucurella,DEF,Brighton,Leeds,90,0,0,1,0,23,0,0,0,0,0,0,6.5,32.8,30.4,2.0,False,4,2.0,2.0,0.0
Marc Cucurella,DEF,Brighton,West Ham,90,0,0,1,0,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2,2.0,3.0,-1.0
