name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Marc Guéhi,DEF,Crystal Palace,Chelsea,90,0,0,3,0,14,0,0,0,0,0,0,2.8,13.8,11.9,2.0,False,1,2.0,4.0,-2.0
Marc Guéhi,DEF,Crystal Palace,Brentford,90,0,0,0,1,24,0,0,0,0,0,0,1.7,16.8,0.2,0.0,True,6,2.0,2.0,0.0
Marc Guéhi,DEF,Crystal Palace,West Ham,90,0,0,2,0,12,0,0,0,0,0,0,4.8,20.0,0.7,27.0,False,1,2.0,3.0,-1.0
Marc Guéhi,DEF,Crystal Palace,Spurs,90,0,0,0,1,28,0,0,0,0,0,0,1.4,13.4,0.7,0.0,True,6,2.0,4.0,-2.0
Marc Guéhi,DEF,Crystal Palace,Liverpool,90,0,0,3,0,13,0,0,0,0,0,0,2.9,28.4,0.6,0.0,False,1,2.0,5.0,-3.0
Marc Guéhi,DEF,Crystal Palace,Brighton,90,0,0,1,0,17,0,0,0,0,0,0,1.3,10.8,2.1,0.0,True,2,2.0,2.0,0.0
Marc Guéhi,DEF,Crystal Palace,Leicester,90,0,0,2,0,13,0,0,0,0,0,0,1.1,10.4,0.7,0.0,True,1,2.0,3.0,-1.0
Marc Guéhi,DEF,Crystal Palace,Arsenal,90,0,0,2,0,16,0,0,0,0,0,0,1.8,14.4,2.1,1.0,False,1,2.0,4.0,-2.0
Marc Guéhi,DEF,Crystal Palace,Newcastle,90,0,0,1,0,17,0,0,0,0,0,0,4.8,26.2,4.5,17.0,True,2,2.0,3.0,-1.0
Marc Guéhi,DEF,Crystal Palace,Man City,90,0,0,0,1,21,0,0,0,0,0,0,2.0,15.4,0.3,4.0,False,6,2.0,5.0,-3.0
Marc Guéhi,DEF,Crystal Palace,Wolves,90,0,0,0,1,26,1,0,0,0,0,0,1.6,15.6,0.6,0.0,True,7,2.0,3.0,-1.0
Marc Guéhi,DEF,Crystal Palace,Burnley,90,1,0,3,0,26,0,0,0,0,0,0,9.0,54.2,1.3,34.0,False,7,2.0,2.0,0.0
Marc Guéhi,DEF,Crystal Palace,Aston Villa,90,1,0,2,0,33,0,0,0,0,0,0,9.0,51.2,1.4,37.0,True,9,2.0,2.0,0.0
Marc Guéhi,DEF,Crystal Palace,Leeds,90,0,0,1,0,2,1,0,0,0,0,0,0.6,5.6,0.6,0.0,False,1,2.0,2.0,0.0
