name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Martin Dubravka,GK,Newcastle,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Martin Dubravka,GK,Newcastle,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Martin Dubravka,GK,Newcastle,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Martin Dubravka,GK,Newcastle,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Martin Dubravka,GK,Newcastle,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Martin Dubravka,GK,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Martin Dubravka,GK,Newcastle,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Arsenal,90,0,0,2,0,21,0,0,0,4,0,0,3.2,32.4,0.0,0.0,False,2,3.0,4.0,-1.0
Martin Dubravka,GK,Newcastle,Norwich,90,0,0,1,0,19,0,0,0,5,0,0,3.6,35.8,0.0,0.0,True,3,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Burnley,90,0,0,0,1,22,0,0,0,1,0,0,1.2,12.0,0.0,0.0,True,6,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Leicester,90,0,0,4,0,9,0,0,0,1,0,0,1.1,11.0,0.0,0.0,False,0,3.0,3.0,0.0
Martin Dubravka,GK,Newcastle,Liverpool,90,0,0,3,0,22,0,0,0,6,0,0,4.7,47.4,0.0,0.0,False,3,3.0,5.0,-2.0
Martin Dubravka,GK,Newcastle,Man City,90,0,0,4,0,18,0,0,0,3,0,0,2.8,27.6,0.0,0.0,True,1,3.0,5.0,-2.0
Martin Dubravka,GK,Newcastle,Man Utd,90,0,0,1,0,11,0,0,0,2,0,0,1.1,10.8,0.0,0.0,True,2,3.0,4.0,-1.0
Martin Dubravka,GK,Newcastle,Watford,90,0,0,1,0,17,0,0,0,4,0,0,3.5,34.8,0.0,0.0,True,3,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Leeds,90,0,0,0,1,30,0,0,0,4,0,0,3.2,32.4,0.0,0.0,False,9,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Everton,90,0,0,1,0,11,0,0,0,2,0,0,1.5,14.6,0.0,0.0,True,2,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,Aston Villa,90,0,0,0,1,22,0,0,0,1,0,0,0.9,9.4,0.0,0.0,True,9,3.0,2.0,1.0
Martin Dubravka,GK,Newcastle,West Ham,90,0,0,1,0,13,0,0,0,2,0,0,2.1,21.2,0.0,0.0,False,2,3.0,3.0,0.0
