name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Nicolas Pépé,MID,Arsenal,Brentford,90,0,0,2,0,9,0,0,0,0,0,0,10.3,7.6,43.9,51.0,False,2,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Chelsea,90,0,0,2,0,4,0,0,0,0,0,0,1.1,2.6,8.3,0.0,True,2,4.0,4.0,0.0
Nicolas Pépé,MID,Arsenal,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Nicolas Pépé,MID,Arsenal,Norwich,90,0,1,0,1,22,0,0,0,0,0,0,21.7,40.2,84.7,92.0,True,6,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Burnley,90,0,0,0,1,7,0,0,0,0,0,0,8.7,11.2,27.6,48.0,False,3,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Nicolas Pépé,MID,Arsenal,Brighton,27,0,0,0,0,3,0,0,0,0,0,0,1.3,2.4,6.6,4.0,False,1,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Crystal Palace,90,0,1,2,0,17,0,0,0,0,0,0,7.0,11.6,15.3,43.0,True,5,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Leicester,5,0,0,0,0,3,0,0,0,0,0,0,0.4,2.6,0.9,0.0,False,1,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Nicolas Pépé,MID,Arsenal,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Nicolas Pépé,MID,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Southampton,7,0,0,0,0,2,0,0,0,0,0,0,0.1,0.0,0.5,0.0,True,1,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Norwich,12,0,1,0,0,12,0,0,0,0,0,0,1.9,0.2,1.2,18.0,False,4,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Nicolas Pépé,MID,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Brentford,15,0,0,1,0,3,0,0,0,0,0,0,4.2,2.0,2.4,38.0,True,1,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Wolves,19,1,0,0,0,22,0,0,0,0,0,0,5.8,34.4,2.4,21.0,True,7,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Watford,17,0,0,1,0,2,0,0,0,0,0,0,0.6,0.0,0.3,8.0,False,1,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Leicester,5,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.0,True,1,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Liverpool,16,0,0,0,0,3,0,0,0,0,0,0,0.4,2.6,1.6,0.0,True,1,4.0,5.0,-1.0
Nicolas Pépé,MID,Arsenal,Aston Villa,21,0,0,0,0,-1,0,0,0,0,0,0,0.1,0.0,0.8,2.0,False,1,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Brighton,16,0,0,0,0,-1,0,0,0,0,0,0,5.8,0.4,1.6,56.0,True,1,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Southampton,20,0,0,0,0,3,0,0,0,0,0,0,0.9,0.0,3.1,6.0,False,1,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Nicolas Pépé,MID,Arsenal,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Nicolas Pépé,MID,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Leeds,22,0,0,0,0,-2,0,0,0,0,0,0,0.7,5.2,1.8,0.0,True,1,4.0,2.0,2.0
Nicolas Pépé,MID,Arsenal,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Nicolas Pépé,MID,Arsenal,Newcastle,17,0,0,1,0,1,0,0,0,0,0,0,1.0,4.2,1.8,4.0,False,1,4.0,3.0,1.0
Nicolas Pépé,MID,Arsenal,Everton,12,0,1,0,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,4,4.0,2.0,2.0
