name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Raphaël Varane,DEF,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Wolves,90,0,1,0,1,35,0,0,0,0,0,0,4.7,36.0,10.5,0.0,False,12,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Newcastle,90,0,0,1,0,12,0,0,0,0,0,0,2.6,15.4,2.2,8.0,True,2,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,West Ham,90,0,0,1,0,17,0,0,0,0,0,0,3.1,28.4,2.6,0.0,False,2,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Aston Villa,90,0,0,1,0,15,0,0,0,0,0,0,3.1,14.8,10.5,6.0,True,2,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Everton,90,0,0,1,0,12,0,0,0,0,0,0,2.0,14.6,1.3,4.0,True,2,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Raphaël Varane,DEF,Man Utd,Spurs,90,0,0,0,1,24,0,0,0,0,0,0,1.6,15.6,0.3,0.0,False,6,4.0,4.0,0.0
Raphaël Varane,DEF,Man Utd,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Raphaël Varane,DEF,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Raphaël Varane,DEF,Man Utd,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Raphaël Varane,DEF,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Newcastle,90,0,0,1,0,22,0,0,0,0,0,0,4.2,22.8,1.4,18.0,False,4,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Burnley,24,0,0,0,0,3,0,0,0,0,0,0,0.3,2.8,0.0,0.0,True,1,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Wolves,90,0,0,1,0,15,0,0,0,0,0,0,1.9,18.6,0.1,0.0,True,2,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Aston Villa,90,0,0,2,0,17,0,0,0,0,0,0,1.5,14.2,0.6,0.0,False,1,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Brentford,90,0,0,1,0,16,0,0,0,0,0,0,4.7,25.4,1.2,20.0,False,2,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,West Ham,90,0,0,0,1,25,0,0,0,0,0,0,1.8,12.8,0.7,4.0,True,8,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Burnley,90,0,0,1,0,13,0,0,0,0,0,0,5.5,17.6,1.3,36.0,False,2,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Southampton,90,0,0,1,0,14,0,0,0,0,0,0,0.9,8.8,0.5,0.0,True,2,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Leeds,5,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Watford,90,0,0,0,1,26,0,0,0,0,0,0,3.5,20.6,11.9,2.0,True,6,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Raphaël Varane,DEF,Man Utd,Spurs,90,0,0,2,0,15,0,0,0,0,0,0,1.6,13.6,1.9,0.0,True,1,4.0,4.0,0.0
Raphaël Varane,DEF,Man Utd,Leicester,90,0,0,1,0,17,0,0,0,0,0,0,1.5,14.0,0.9,0.0,True,2,4.0,3.0,1.0
Raphaël Varane,DEF,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Raphaël Varane,DEF,Man Utd,Arsenal,90,0,0,3,0,15,0,0,0,0,0,0,2.0,19.2,0.5,0.0,False,1,4.0,4.0,0.0
Raphaël Varane,DEF,Man Utd,Chelsea,90,0,0,1,0,9,0,0,0,0,0,0,3.6,21.4,10.5,4.0,True,2,4.0,4.0,0.0
Raphaël Varane,DEF,Man Utd,Brentford,90,1,0,0,1,38,0,0,0,0,0,0,6.4,46.2,0.5,17.0,True,14,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Brighton,90,0,0,4,0,15,0,0,0,0,0,0,2.0,19.6,0.6,0.0,False,0,4.0,2.0,2.0
Raphaël Varane,DEF,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
