name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Rayan Ait Nouri,DEF,Wolves,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Rayan Ait Nouri,DEF,Wolves,Spurs,6,0,0,0,0,5,0,0,0,0,0,0,1.0,2.2,0.1,8.0,True,1,3.0,4.0,-1.0
Rayan Ait Nouri,DEF,Wolves,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Rayan Ait Nouri,DEF,Wolves,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Rayan Ait Nouri,DEF,Wolves,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Rayan Ait Nouri,DEF,Wolves,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Leeds,82,0,0,0,1,18,0,0,0,0,0,0,4.1,20.6,1.4,19.0,False,6,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Everton,90,0,1,1,0,17,1,0,0,0,0,0,6.1,26.4,34.3,0.0,True,4,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Crystal Palace,90,0,0,2,0,7,0,0,0,0,0,0,3.0,17.2,6.3,6.0,False,1,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,West Ham,90,0,0,0,1,38,0,0,0,0,0,0,8.2,21.6,58.6,2.0,True,9,3.0,3.0,0.0
Rayan Ait Nouri,DEF,Wolves,Norwich,90,0,0,0,1,19,0,0,0,0,0,0,6.2,19.8,21.1,21.0,False,6,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Burnley,90,0,0,0,1,21,0,0,0,0,0,0,5.8,11.6,14.0,32.0,True,6,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Liverpool,90,0,0,0,1,26,0,0,0,0,0,0,2.8,20.0,1.5,6.0,True,6,3.0,5.0,-2.0
Rayan Ait Nouri,DEF,Wolves,Man City,90,0,0,1,0,15,0,0,0,0,0,0,3.9,25.0,14.3,0.0,False,2,3.0,5.0,-2.0
Rayan Ait Nouri,DEF,Wolves,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Rayan Ait Nouri,DEF,Wolves,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Rayan Ait Nouri,DEF,Wolves,Southampton,90,0,2,1,0,40,0,0,0,0,0,0,6.6,31.2,28.9,6.0,True,11,3.0,3.0,0.0
Rayan Ait Nouri,DEF,Wolves,Brentford,90,0,0,1,0,10,0,0,0,0,0,0,2.8,20.6,7.0,0.0,False,2,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Arsenal,27,0,0,0,0,2,0,0,0,0,0,0,0.3,2.4,1.0,0.0,True,1,3.0,4.0,-1.0
Rayan Ait Nouri,DEF,Wolves,Spurs,90,0,0,0,1,13,1,0,0,0,0,0,4.1,18.8,16.4,6.0,False,5,3.0,4.0,-1.0
Rayan Ait Nouri,DEF,Wolves,Leicester,87,0,0,1,0,3,1,0,0,0,0,0,3.6,8.8,19.2,8.0,True,1,3.0,3.0,0.0
Rayan Ait Nouri,DEF,Wolves,Arsenal,90,0,0,2,0,16,0,0,0,0,0,0,3.3,19.8,11.3,2.0,False,1,3.0,4.0,-1.0
Rayan Ait Nouri,DEF,Wolves,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Rayan Ait Nouri,DEF,Wolves,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Watford,90,0,1,0,1,32,1,0,0,0,0,0,3.3,6.0,22.7,4.0,True,9,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Leeds,90,0,0,3,0,8,0,0,0,0,0,0,3.7,10.6,15.9,10.0,True,1,3.0,2.0,1.0
Rayan Ait Nouri,DEF,Wolves,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
